TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4046.00000        8.30548
TAB:  Luxembourg Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Luxembourg Confirmed 1/23/2020     1        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .             2        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 1/25/2020     3        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .             4        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 1/27/2020     5        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .             6        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 1/29/2020     7        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .             8        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 1/31/2020     9        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            10        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/2/2020     11        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            12        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/4/2020     13        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            14        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/6/2020     15        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            16        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/8/2020     17        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            18        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/10/2020    19        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            20        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/12/2020    21        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            22        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/14/2020    23        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            24        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed 2/16/2020    25        0     4046        0        0        0        0        0
TAB:  Luxembourg Confirmed .            26        0     4046        0        0        0        0        0
