TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4834.00000        8.48343
TAB:  US_Washington_Yakima Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Yakima Confirmed 3/13/2020    51        2     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed .            52        4     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/15/2020    53        4     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed .            54        4     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/17/2020    55        5     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed .            56        7     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/19/2020    57        7     4834       89        1       89       89       89
TAB:  US_Washington_Yakima Confirmed .            58       10     4834       89        1       89       89       89
TAB:  US_Washington_Yakima Confirmed 3/21/2020    59       13     4834     1518        1     1518     1518     1518
TAB:  US_Washington_Yakima Confirmed .            60       16     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/23/2020    61       16     4834       89        2       89     1518      446
TAB:  US_Washington_Yakima Confirmed .            62       25     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/25/2020    63       47     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed .            64       61     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed 3/27/2020    65       66     4834       89        1       89       89       89
TAB:  US_Washington_Yakima Confirmed .            66       82     4834       89        2       89      446      446
TAB:  US_Washington_Yakima Confirmed 3/29/2020    67      140     4834        0        0        0        0        0
TAB:  US_Washington_Yakima Confirmed .            68      147     4834     3839        1     3839     3839     3839
TAB:  US_Washington_Yakima Confirmed 3/31/2020    69      161     4834      267        1      267     3839      982
TAB:  US_Washington_Yakima Confirmed .            70      161     4834       89        2       89    13840      803
TAB:  US_Washington_Yakima Confirmed 4/2/2020     71      224     4834      625        1      625     4018     1696
TAB:  US_Washington_Yakima Confirmed .            72      240     4834      625        2      446    29020     1160
TAB:  US_Washington_Yakima Confirmed 4/4/2020     73      289     4834      803        4      625     8125     1160
TAB:  US_Washington_Yakima Confirmed .            74      326     4834      803        5      803    11340     1518
TAB:  US_Washington_Yakima Confirmed 4/6/2020     75      363     4834      982        4      625    17591     1518
TAB:  US_Washington_Yakima Confirmed .            76      380     4834      982        5      446    22413     1339
TAB:  US_Washington_Yakima Confirmed 4/8/2020     77      400     4834      851        3      407     7518     1000
TAB:  US_Washington_Yakima Confirmed .            78      433     4834      775        3      522     3941      870
TAB:  US_Washington_Yakima Confirmed 4/10/2020    79      447     4834      558        2      522     2525      771
TAB:  US_Washington_Yakima Confirmed .            80      511     4834      842        3      815     2061      974
TAB:  US_Washington_Yakima Confirmed 4/12/2020    81      535     4834      982        9      803     2053     1339
TAB:  US_Washington_Yakima Confirmed .            82      538     4834      840        3      675     1503      902
TAB:  US_Washington_Yakima Confirmed 4/14/2020    83      614     4834      982       12      982     1696     1339
TAB:  US_Washington_Yakima Confirmed .            84      635     4834      982        9      982     4911     1339
TAB:  US_Washington_Yakima Confirmed 4/16/2020    85      674     4834     1160       10      982     4196     1518
TAB:  US_Washington_Yakima Confirmed .            86      707     4834     1160       12      803    28663     1518
TAB:  US_Washington_Yakima Confirmed 4/18/2020    87      759     4834     1160        9     1160    30806     1875
TAB:  US_Washington_Yakima Confirmed .            88      804     4834     1339       10     1160    31699     2589
TAB:  US_Washington_Yakima Confirmed 4/20/2020    89      835     4834     1339       14     1339    19555     3125
TAB:  US_Washington_Yakima Confirmed .            90      868     4834     1305        5     1121     7007     1710
TAB:  US_Washington_Yakima Confirmed 4/22/2020    91      873     4834     1298        3      954     3207     1470
TAB:  US_Washington_Yakima Confirmed .            92      879     4834     1467        3      880     2010     1334
TAB:  US_Washington_Yakima Confirmed 4/24/2020    93      923     4834     1292        3     1047     1673     1328
TAB:  US_Washington_Yakima Confirmed .            94      976     4834     1328        4     1274     1727     1428
TAB:  US_Washington_Yakima Confirmed 4/26/2020    95     1015     4834     1518       16     1339     1875     1696
TAB:  US_Washington_Yakima Confirmed .            96     1034     4834     1518       16     1339     1875     1696
TAB:  US_Washington_Yakima Confirmed 4/28/2020    97     1046     4834     1394        5     1069     1746     1500
TAB:  US_Washington_Yakima Confirmed .            98     1082     4834     1518       23     1160     1696     1518
TAB:  US_Washington_Yakima Confirmed 4/30/2020    99     1128     4834     1696       18     1518     6518     1875
TAB:  US_Washington_Yakima Confirmed .           100     1203     4834     1518       11     1518     3839     2053
TAB:  US_Washington_Yakima Confirmed 5/2/2020    101     1272     4834     1696       13     1696     7768     2589
TAB:  US_Washington_Yakima Confirmed .           102     1296     4834     1696       11     1696    12412     2946
TAB:  US_Washington_Yakima Confirmed 5/4/2020    103     1372     4834     1875       12     1875    25627     3303
TAB:  US_Washington_Yakima Confirmed .           104     1389     4834     1875       11     1696    28306     3482
TAB:  US_Washington_Yakima Confirmed 5/6/2020    105     1449     4834     1875        7     1875     7054     3839
TAB:  US_Washington_Yakima Confirmed .           106     1547     4834     2053       10     2053    13304     4732
TAB:  US_Washington_Yakima Confirmed 5/8/2020    107     1579     4834     2232       11     2232    17769     5089
TAB:  US_Washington_Yakima Confirmed .           108     1686     4834     2232        7     2232    26699     6161
TAB:  US_Washington_Yakima Confirmed 5/10/2020   109     1781     4834     2410        7     2410    18484     3839
TAB:  US_Washington_Yakima Confirmed .           110     1864     4834     2589        6     2589    35450     4375
TAB:  US_Washington_Yakima Confirmed 5/12/2020   111     1916     4834     2768        9     2768    32235     4911
TAB:  US_Washington_Yakima Confirmed .           112     1946     4834     2946        7     2053    23484     4196
TAB:  US_Washington_Yakima Confirmed 5/14/2020   113     2002     4834     2946        7     2232    24377     4375
TAB:  US_Washington_Yakima Confirmed .           114     2052     4834     2946        5     2232    35450     5089
TAB:  US_Washington_Yakima Confirmed 5/16/2020   115     2217     4834     3125        5     3125    32235     6161
TAB:  US_Washington_Yakima Confirmed .           116     2253     4834     3303        6     3303    30092     7947
TAB:  US_Washington_Yakima Confirmed 5/18/2020   117     2370     4834     3482        6     3482    35450     7054
TAB:  US_Washington_Yakima Confirmed .           118     2444     4834     3661        6     3303    34735     7054
TAB:  US_Washington_Yakima Confirmed 5/20/2020   119     2518     4834     3839        7     2946    31699     7232
TAB:  US_Washington_Yakima Confirmed .           120     2551     4834     3839        5     2768    34378     7054
TAB:  US_Washington_Yakima Confirmed 5/22/2020   121     2594     4834     4018        6     2768    33664     7232
TAB:  US_Washington_Yakima Confirmed .           122     2594     4834     4018        5     2589    32235     5982
TAB:  US_Washington_Yakima Confirmed 5/24/2020   123     2812     4834     4196        5     4196    33664     8304
TAB:  US_Washington_Yakima Confirmed .           124     2958     4834     4375        5     4375    34378     9733
TAB:  US_Washington_Yakima Confirmed 5/26/2020   125     3008     4834     4554        4     4554    29913    10626
TAB:  US_Washington_Yakima Confirmed .           126     3048     4834     4732        5     3125    35092    10626
TAB:  US_Washington_Yakima Confirmed 5/28/2020   127     3231     4834     4911        5     4911    32056    11161
TAB:  US_Washington_Yakima Confirmed .           128     3369     4834     5089        4     5089    29020    11161
TAB:  US_Washington_Yakima Confirmed 5/30/2020   129     3458     4834     5268        3     5268    32949    11161
TAB:  US_Washington_Yakima Confirmed .           130     3585     4834     5625        4     5446    34378     8483
TAB:  US_Washington_Yakima Confirmed 6/1/2020    131     3749     4834     5804        3     5804    28306     9018
TAB:  US_Washington_Yakima Confirmed .           132     3817     4834     6161        3     5982    30449     9554
TAB:  US_Washington_Yakima Confirmed 6/3/2020    133     3938     4834     6339        4     6161    32592    10090
TAB:  US_Washington_Yakima Confirmed .           134     4031     4834     6518        3     4732    34378     8840
TAB:  US_Washington_Yakima Confirmed 6/5/2020    135     4141     4834     5268        2     5268    30985     9197
TAB:  US_Washington_Yakima Confirmed .           136     4366     4834     7054        3     6875    32056    11519
TAB:  US_Washington_Yakima Confirmed 6/7/2020    137     4509     4834     7232        2     7232    34735    11340
TAB:  US_Washington_Yakima Confirmed .           138     4665     4834     7590        3     7590    29020    10804
TAB:  US_Washington_Yakima Confirmed 6/9/2020    139     4834     4834     7947        2     7947    29913    10268
AAA2     1 US_Washington_Yakima Confirmed cc1=  .913216 cc2=  .504968 lx=  4.48343 if=  51 il=  56 3/18/2020  n=   5 now=    4834 end=         88         7         0 U=    12.46 T=   67.6 p1= -98.2 p2=  5493.2 ed=    97 4/28/2020   x1=  51. x2=  56. y1=  1.33 y2=   .93     
GP: Confirmed US_Washington_Yakima 3/18/2020        56    4834       88       7        0     0    97 4/28/2020 
AAA1     1 US_Washington_Yakima Confirmed cc1=  .933438 cc2=  .555473 lx=  4.48343 if=  51 il=  57 3/19/2020  n=   6 now=    4834 end=         88         7        89 U=    14.95 T=   70.9 p1= -98.2 p2=  5493.2 ed=   106 5/7/2020    x1=  51. x2=  57. y1=  1.33 y2=   .93 BEST
AAA2     1 US_Washington_Yakima Confirmed cc1=  .933768 cc2=  .555473 lx=  4.38343 if=  51 il=  57 3/19/2020  n=   6 now=    4834 end=         88         7        89 U=    14.95 T=   70.9 p1= -98.2 p2=  5493.2 ed=   106 5/7/2020    x1=  51. x2=  57. y1=  1.33 y2=   .93 BEST
GP: Confirmed US_Washington_Yakima 3/19/2020        57    4834       88       7       89     1   106 5/7/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .915527 cc2=  .507278 lx= 10.48343 if=  52 il=  57 3/19/2020  n=   5 now=    4834 end=      35718         7        89 U=    78.75 T=  225.9 p1= 638.9 p2=    13.5 ed=   411 3/8/2021    x1=  52. x2=  57. y1=  2.21 y2=  2.14     
GP: Confirmed US_Washington_Yakima 3/19/2020        57    4834    -           7       89     1   411 3/8/2021  
AAA1     1 US_Washington_Yakima Confirmed cc1=  .954321 cc2=  .600768 lx=  4.48343 if=  51 il=  58 3/20/2020  n=   7 now=    4834 end=         88        10        89 U=    12.66 T=   67.9 p1= -98.2 p2=  5493.2 ed=    97 4/28/2020   x1=  51. x2=  58. y1=  1.33 y2=   .78 BEST
AAA2     1 US_Washington_Yakima Confirmed cc1=  .954353 cc2=  .600768 lx=  4.38343 if=  51 il=  58 3/20/2020  n=   7 now=    4834 end=         88        10        89 U=    12.66 T=   67.9 p1= -98.2 p2=  5493.2 ed=    97 4/28/2020   x1=  51. x2=  58. y1=  1.33 y2=   .78 BEST
GP: Confirmed US_Washington_Yakima 3/20/2020        58    4834       88      10       89     1    97 4/28/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .941272 cc2=  .563308 lx= 10.48343 if=  52 il=  58 3/20/2020  n=   6 now=    4834 end=      35718        10        89 U=    56.52 T=  176.8 p1= 638.9 p2=    13.5 ed=   310 11/27/2020  x1=  52. x2=  58. y1=  2.21 y2=  2.10     
GP: Confirmed US_Washington_Yakima 3/20/2020        58    4834    -          10       89     1   310 11/27/2020
AAA2     1 US_Washington_Yakima Confirmed cc1=  .965120 cc2=  .556871 lx= 10.48343 if=  53 il=  58 3/20/2020  n=   5 now=    4834 end=      35718        10        89 U=    47.10 T=  157.0 p1= 638.9 p2=    13.5 ed=   268 10/16/2020  x1=  53. x2=  58. y1=  2.21 y2=  2.10     
GP: Confirmed US_Washington_Yakima 3/20/2020        58    4834    -          10       89     1   268 10/16/2020
AAA1     1 US_Washington_Yakima Confirmed cc1=  .965396 cc2=  .632063 lx=  7.35343 if=  51 il=  59 3/21/2020  n=   8 now=    4834 end=       1561        13      1518 U=    24.25 T=   97.0 p1= -67.7 p2=   309.7 ed=   154 6/24/2020   x1=  51. x2=  59. y1=  1.90 y2=  1.57 BEST
AAA2     1 US_Washington_Yakima Confirmed cc1=  .965396 cc2=  .632063 lx=  7.35143 if=  51 il=  59 3/21/2020  n=   8 now=    4834 end=       1561        13      1518 U=    24.25 T=   97.0 p1= -67.7 p2=   309.7 ed=   154 6/24/2020   x1=  51. x2=  59. y1=  1.90 y2=  1.57 BEST
GP: Confirmed US_Washington_Yakima 3/21/2020        59    4834     1561      13     1518     1   154 6/24/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .955812 cc2=  .602258 lx= 10.48343 if=  52 il=  59 3/21/2020  n=   7 now=    4834 end=      35718        13      1518 U=    50.45 T=  163.4 p1= 638.9 p2=    13.5 ed=   282 10/30/2020  x1=  52. x2=  59. y1=  2.21 y2=  2.07     
GP: Confirmed US_Washington_Yakima 3/21/2020        59    4834    -          13     1518     1   282 10/30/2020
AAA2     1 US_Washington_Yakima Confirmed cc1=  .975275 cc2=  .597310 lx= 10.48343 if=  53 il=  59 3/21/2020  n=   6 now=    4834 end=      35718        13      1518 U=    43.24 T=  148.5 p1= 638.9 p2=    13.5 ed=   250 9/28/2020   x1=  53. x2=  59. y1=  2.21 y2=  2.07     
GP: Confirmed US_Washington_Yakima 3/21/2020        59    4834    -          13     1518     1   250 9/28/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .984195 cc2=  .575947 lx= 10.48343 if=  54 il=  59 3/21/2020  n=   5 now=    4834 end=      35718        13      1518 U=    36.03 T=  133.6 p1= 638.9 p2=    13.5 ed=   218 8/27/2020   x1=  54. x2=  59. y1=  2.21 y2=  2.07     
GP: Confirmed US_Washington_Yakima 3/21/2020        59    4834    -          13     1518     1   218 8/27/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .974374 cc2=  .658146 lx= 10.48343 if=  51 il=  60 3/22/2020  n=   9 now=    4834 end=      35718        16         0 U=    37.69 T=  137.0 p1= 638.9 p2=    13.5 ed=   225 9/3/2020    x1=  51. x2=  60. y1=  2.28 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/22/2020        60    4834    -          16        0     0   225 9/3/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .967392 cc2=  .634058 lx= 10.48343 if=  52 il=  60 3/22/2020  n=   8 now=    4834 end=      35718        16         0 U=    48.39 T=  158.8 p1= 638.9 p2=    13.5 ed=   273 10/21/2020  x1=  52. x2=  60. y1=  2.21 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/22/2020        60    4834    -          16        0     0   273 10/21/2020
AAA2     1 US_Washington_Yakima Confirmed cc1=  .982843 cc2=  .629289 lx= 10.48343 if=  53 il=  60 3/22/2020  n=   7 now=    4834 end=      35718        16         0 U=    42.34 T=  146.5 p1= 638.9 p2=    13.5 ed=   246 9/24/2020   x1=  53. x2=  60. y1=  2.21 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/22/2020        60    4834    -          16        0     0   246 9/24/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .990081 cc2=  .612117 lx= 10.48343 if=  54 il=  60 3/22/2020  n=   6 now=    4834 end=      35718        16         0 U=    36.29 T=  134.1 p1= 638.9 p2=    13.5 ed=   219 8/28/2020   x1=  54. x2=  60. y1=  2.21 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/22/2020        60    4834    -          16        0     0   219 8/28/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .984895 cc2=  .576647 lx= 10.48343 if=  55 il=  60 3/22/2020  n=   5 now=    4834 end=      35718        16         0 U=    35.59 T=  132.7 p1= 638.9 p2=    13.5 ed=   216 8/25/2020   x1=  55. x2=  60. y1=  2.18 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/22/2020        60    4834    -          16        0     0   216 8/25/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .978957 cc2=  .677446 lx=  7.27343 if=  51 il=  61 3/23/2020  n=  10 now=    4834 end=       1441        16        89 U=    26.33 T=  100.6 p1= -70.2 p2=   335.5 ed=   162 7/2/2020    x1=  51. x2=  61. y1=  1.88 y2=  1.50     
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834     1441      16       89     2   162 7/2/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .974569 cc2=  .658341 lx= 10.48343 if=  52 il=  61 3/23/2020  n=   9 now=    4834 end=      35718        16        89 U=    54.44 T=  172.2 p1= 638.9 p2=    13.5 ed=   300 11/17/2020  x1=  52. x2=  61. y1=  2.21 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834    -          16       89     2   300 11/17/2020
AAA2     1 US_Washington_Yakima Confirmed cc1=  .984147 cc2=  .650814 lx= 10.48343 if=  53 il=  61 3/23/2020  n=   8 now=    4834 end=      35718        16        89 U=    48.39 T=  159.8 p1= 638.9 p2=    13.5 ed=   274 10/22/2020  x1=  53. x2=  61. y1=  2.21 y2=  2.04     
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834    -          16       89     2   274 10/22/2020
AAA2     1 US_Washington_Yakima Confirmed cc1=  .986223 cc2=  .632670 lx=  6.25343 if=  54 il=  61 3/23/2020  n=   7 now=    4834 end=        519        16        89 U=    20.88 T=   87.0 p1= -89.3 p2=   931.4 ed=   136 6/6/2020    x1=  54. x2=  61. y1=  1.58 y2=  1.25     
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834      519      16       89     2   136 6/6/2020  
AAA1     1 US_Washington_Yakima Confirmed cc1=  .979878 cc2=  .601913 lx=  4.51343 if=  55 il=  61 3/23/2020  n=   6 now=    4834 end=         91        16        89 U=    11.73 T=   67.5 p1= -98.1 p2=  5312.1 ed=    95 4/26/2020   x1=  55. x2=  61. y1=  1.07 y2=   .55 BEST
AAA2     1 US_Washington_Yakima Confirmed cc1=  .979878 cc2=  .601913 lx=  4.51743 if=  55 il=  61 3/23/2020  n=   6 now=    4834 end=         91        16        89 U=    11.73 T=   67.5 p1= -98.1 p2=  5312.1 ed=    95 4/26/2020   x1=  55. x2=  61. y1=  1.07 y2=   .55 BEST
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834       91      16       89     2    95 4/26/2020 
AAA1     1 US_Washington_Yakima Confirmed cc1=  .968400 cc2=  .560152 lx=  4.48343 if=  56 il=  61 3/23/2020  n=   5 now=    4834 end=         88        16        89 U=    12.68 T=   67.8 p1= -98.2 p2=  5493.2 ed=    97 4/28/2020   x1=  56. x2=  61. y1=   .93 y2=   .54 BEST
AAA2     1 US_Washington_Yakima Confirmed cc1=  .968518 cc2=  .560152 lx=  4.38343 if=  56 il=  61 3/23/2020  n=   5 now=    4834 end=         88        16        89 U=    12.68 T=   67.8 p1= -98.2 p2=  5493.2 ed=    97 4/28/2020   x1=  56. x2=  61. y1=   .93 y2=   .54 BEST
GP: Confirmed US_Washington_Yakima 3/23/2020        61    4834       88      16       89     2    97 4/28/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .981740 cc2=  .693065 lx= 10.48343 if=  51 il=  62 3/24/2020  n=  11 now=    4834 end=      35718        25         0 U=    36.87 T=  135.1 p1= 638.9 p2=    13.5 ed=   222 8/31/2020   x1=  51. x2=  62. y1=  2.28 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   222 8/31/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .977255 cc2=  .675744 lx= 10.48343 if=  52 il=  62 3/24/2020  n=  10 now=    4834 end=      35718        25         0 U=    44.45 T=  150.2 p1= 638.9 p2=    13.5 ed=   255 10/3/2020   x1=  52. x2=  62. y1=  2.21 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   255 10/3/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .985792 cc2=  .669565 lx= 10.48343 if=  53 il=  62 3/24/2020  n=   9 now=    4834 end=      35718        25         0 U=    40.01 T=  141.3 p1= 638.9 p2=    13.5 ed=   235 9/13/2020   x1=  53. x2=  62. y1=  2.21 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   235 9/13/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .988250 cc2=  .654917 lx= 10.48343 if=  54 il=  62 3/24/2020  n=   8 now=    4834 end=      35718        25         0 U=    35.56 T=  132.5 p1= 638.9 p2=    13.5 ed=   216 8/25/2020   x1=  54. x2=  62. y1=  2.21 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   216 8/25/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .983472 cc2=  .629918 lx= 10.48343 if=  55 il=  62 3/24/2020  n=   7 now=    4834 end=      35718        25         0 U=    34.98 T=  131.4 p1= 638.9 p2=    13.5 ed=   213 8/22/2020   x1=  55. x2=  62. y1=  2.18 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   213 8/22/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .975385 cc2=  .597421 lx= 10.48343 if=  56 il=  62 3/24/2020  n=   6 now=    4834 end=      35718        25         0 U=    37.16 T=  135.7 p1= 638.9 p2=    13.5 ed=   223 9/1/2020    x1=  56. x2=  62. y1=  2.14 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   223 9/1/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .973975 cc2=  .565727 lx= 10.48343 if=  57 il=  62 3/24/2020  n=   5 now=    4834 end=      35718        25         0 U=    30.97 T=  123.4 p1= 638.9 p2=    13.5 ed=   196 8/5/2020    x1=  57. x2=  62. y1=  2.14 y2=  1.98     
GP: Confirmed US_Washington_Yakima 3/24/2020        62    4834    -          25        0     0   196 8/5/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .969014 cc2=  .691664 lx= 10.48343 if=  51 il=  63 3/25/2020  n=  12 now=    4834 end=      35718        47         0 U=    30.83 T=  121.3 p1= 638.9 p2=    13.5 ed=   194 8/3/2020    x1=  51. x2=  63. y1=  2.28 y2=  1.89     
GP: Confirmed US_Washington_Yakima 3/25/2020        63    4834    -          47        0     0   194 8/3/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .960632 cc2=  .671956 lx= 10.48343 if=  52 il=  63 3/25/2020  n=  11 now=    4834 end=      35718        47         0 U=    34.83 T=  128.9 p1= 638.9 p2=    13.5 ed=   211 8/20/2020   x1=  52. x2=  63. y1=  2.21 y2=  1.89     
GP: Confirmed US_Washington_Yakima 3/25/2020        63    4834    -          47        0     0   211 8/20/2020 
AAA2     1 US_Washington_Yakima Confirmed cc1=  .968262 cc2=  .666751 lx= 10.48343 if=  53 il=  63 3/25/2020  n=  10 now=    4834 end=      35718        47         0 U=    31.66 T=  122.9 p1= 638.9 p2=    13.5 ed=   197 8/6/2020    x1=  53. x2=  63. y1=  2.21 y2=  1.89     
GP: Confirmed US_Washington_Yakima 3/25/2020        63    4834    -          47        0     0   197 8/6/2020  
AAA2     1 US_Washington_Yakima Confirmed cc1=  .970365 cc2=  .654137 lx= 10.48343 if=  54 il=  63 3/25/2020  n=   9 now=    4834 end=      35718        47         0 U=    28.49 T=  116.9 p1= 638.9 p2=    13.5 ed=   184 7/24/2020   x1=  54. x2=  63. y1=  2.21 y2=  1.89     
GP: Confirmed US_Washington_Yakima 3/25/2020        63    4834    -          47        0     0   184 7/24/2020 
