TAB:  US_Louisiana_Jefferson Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Louisiana_Jefferson Confirmed 2/28/2020    37        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            38        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/1/2020     39        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            40        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/3/2020     41        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            42        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/5/2020     43        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            44        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/7/2020     45        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            46        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/9/2020     47        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            48        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/11/2020    49        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            50        2     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/13/2020    51        0     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            52       11     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/15/2020    53       12     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            54       16     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/17/2020    55       35     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            56       40     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed 3/19/2020    57       62     7940      733        1      733      733      733
TAB:  US_Louisiana_Jefferson Confirmed .            58      104     7940     6600        1     6600     6600     6600
TAB:  US_Louisiana_Jefferson Confirmed 3/21/2020    59      166     7940        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Confirmed .            60      209     7940    -            1    29774    29774    29774
TAB:  US_Louisiana_Jefferson Confirmed 3/23/2020    61      252     7940      440        1      440    19214     2200
TAB:  US_Louisiana_Jefferson Confirmed .            62      293     7940      378        1      378     6089      860
TAB:  US_Louisiana_Jefferson Confirmed 3/25/2020    63      359     7940      605        1      605     2897      879
TAB:  US_Louisiana_Jefferson Confirmed .            64      458     7940     1320        2     1026     3080     1613
TAB:  US_Louisiana_Jefferson Confirmed 3/27/2020    65      548     7940     1613        2     1320     3080     1906
TAB:  US_Louisiana_Jefferson Confirmed .            66      744     7940     3666        1     3666     5720     4546
TAB:  US_Louisiana_Jefferson Confirmed 3/29/2020    67      761     7940     3080        2     3080     4546     3666
TAB:  US_Louisiana_Jefferson Confirmed .            68      838     7940     2786        3     1026     4253     2786
TAB:  US_Louisiana_Jefferson Confirmed 3/31/2020    69     1193     7940     5426        2     5426     6600     5720
TAB:  US_Louisiana_Jefferson Confirmed .            70     1433     7940     8066        2     8066    11293     9533
TAB:  US_Louisiana_Jefferson Confirmed 4/2/2020     71     2178     7940    -            1    24494    40921    39454
TAB:  US_Louisiana_Jefferson Confirmed .            72     2495     7940    -            1    38574    38574    38574
TAB:  US_Louisiana_Jefferson Confirmed 4/4/2020     73     3008     7940     8360        1     8360    55295    55295
TAB:  US_Louisiana_Jefferson Confirmed .            74     3088     7940     3666        1     3666    52948     7186
TAB:  US_Louisiana_Jefferson Confirmed 4/6/2020     75     3530     7940     4546        1     4546    50602     5720
TAB:  US_Louisiana_Jefferson Confirmed .            76     3922     7940     5133        2     5133    55882     8947
TAB:  US_Louisiana_Jefferson Confirmed 4/8/2020     77     4092     7940     5133        3     5133    55295    26841
TAB:  US_Louisiana_Jefferson Confirmed .            78     4480     7940     5720        3     5720    58228    21267
TAB:  US_Louisiana_Jefferson Confirmed 4/10/2020    79     4678     7940     5742        3     5742    36696    12361
TAB:  US_Louisiana_Jefferson Confirmed .            80     4877     7940     5908        3     5772    26416     9439
TAB:  US_Louisiana_Jefferson Confirmed 4/12/2020    81     4990     7940     5812        3     5393    19950     6754
TAB:  US_Louisiana_Jefferson Confirmed .            82     5088     7940     5729        5     5305    16510     6408
TAB:  US_Louisiana_Jefferson Confirmed 4/14/2020    83     5188     7940     5510        4     5440    12811     6142
TAB:  US_Louisiana_Jefferson Confirmed .            84     5265     7940     5588        4     5468    11872     6132
TAB:  US_Louisiana_Jefferson Confirmed 4/16/2020    85     5346     7940     5646        7     5541    10216     6066
TAB:  US_Louisiana_Jefferson Confirmed .            86     5476     7940     5720       12     5720    11587     8066
TAB:  US_Louisiana_Jefferson Confirmed 4/18/2020    87     5543     7940     5720        8     5720    25667     7773
TAB:  US_Louisiana_Jefferson Confirmed .            88     5592     7940     5894        8     5817     7490     6322
TAB:  US_Louisiana_Jefferson Confirmed 4/20/2020    89     5761     7940     6013       13     6013    17454     6893
TAB:  US_Louisiana_Jefferson Confirmed .            90     5802     7940     6013       11     6013    22147     6893
TAB:  US_Louisiana_Jefferson Confirmed 4/22/2020    91     5860     7940     6120        6     6072     9528     6552
TAB:  US_Louisiana_Jefferson Confirmed .            92     5929     7940     6172        8     6132     7879     6569
TAB:  US_Louisiana_Jefferson Confirmed 4/24/2020    93     5985     7940     6237        8     6200     7347     6570
TAB:  US_Louisiana_Jefferson Confirmed .            94     6007     7940     6257        9     6117     6884     6501
TAB:  US_Louisiana_Jefferson Confirmed 4/26/2020    95     6059     7940     6241       12     6241     6681     6512
TAB:  US_Louisiana_Jefferson Confirmed .            96     6104     7940     6312        9     6245     6647     6446
TAB:  US_Louisiana_Jefferson Confirmed 4/28/2020    97     6135     7940     6320       13     6320     6637     6496
TAB:  US_Louisiana_Jefferson Confirmed .            98     6173     7940     6294       11     6294     6911     6512
TAB:  US_Louisiana_Jefferson Confirmed 4/30/2020    99     6197     7940     6383       11     6316     6582     6449
TAB:  US_Louisiana_Jefferson Confirmed .           100     6305     7940     6600       11     6306    10413     6893
TAB:  US_Louisiana_Jefferson Confirmed 5/2/2020    101     6362     7940     6600       16     6600     7480     7186
TAB:  US_Louisiana_Jefferson Confirmed .           102     6388     7940     6600       14     6600     7480     7186
TAB:  US_Louisiana_Jefferson Confirmed 5/4/2020    103     6426     7940     6600       15     6600    23320     7186
TAB:  US_Louisiana_Jefferson Confirmed .           104     6491     7940     6600        8     6600    44735     7480
TAB:  US_Louisiana_Jefferson Confirmed 5/6/2020    105     6554     7940     7186        7     6600     9240     7773
TAB:  US_Louisiana_Jefferson Confirmed .           106     6588     7940     7186        6     6600     8653     7480
TAB:  US_Louisiana_Jefferson Confirmed 5/8/2020    107     6610     7940     6893        7     6600    52068     8066
TAB:  US_Louisiana_Jefferson Confirmed .           108     6679     7940     7480        6     6893    38868     8653
TAB:  US_Louisiana_Jefferson Confirmed 5/10/2020   109     6709     7940     7480        6     6893    18920     8653
TAB:  US_Louisiana_Jefferson Confirmed .           110     6755     7940     7480        6     6893    48548     8947
TAB:  US_Louisiana_Jefferson Confirmed 5/12/2020   111     6789     7940     7773        7     6893    15693     8653
TAB:  US_Louisiana_Jefferson Confirmed .           112     6833     7940     7773       11     6893    12467     8653
TAB:  US_Louisiana_Jefferson Confirmed 5/14/2020   113     6860     7940     6994        5     6994    10322     7930
TAB:  US_Louisiana_Jefferson Confirmed .           114     6897     7940     7027        5     7027     9672     7958
TAB:  US_Louisiana_Jefferson Confirmed 5/16/2020   115     6982     7940     8066        4     7480    10707     8947
TAB:  US_Louisiana_Jefferson Confirmed .           116     7039     7940     7773        3     7480    42681    10120
TAB:  US_Louisiana_Jefferson Confirmed 5/18/2020   117     7059     7940     8066        4     7480    30654    10413
TAB:  US_Louisiana_Jefferson Confirmed .           118     7095     7940     8066        4     7186    27427     9827
TAB:  US_Louisiana_Jefferson Confirmed 5/20/2020   119     7128     7940     7186        3     7186    14813    10120
TAB:  US_Louisiana_Jefferson Confirmed .           120     7175     7940     7773        4     7480    16280    10120
TAB:  US_Louisiana_Jefferson Confirmed 5/22/2020   121     7232     7940     8066        4     7773    25961    10413
TAB:  US_Louisiana_Jefferson Confirmed .           122     7232     7940     7773        5     7773    20094    10413
TAB:  US_Louisiana_Jefferson Confirmed 5/24/2020   123     7248     7940     7954        3     7233    10219     8520
TAB:  US_Louisiana_Jefferson Confirmed .           124     7298     7940     9058        4     7645    10017     8604
TAB:  US_Louisiana_Jefferson Confirmed 5/26/2020   125     7332     7940     8066        8     7773     9827     8947
TAB:  US_Louisiana_Jefferson Confirmed .           126     7394     7940     9240       10     8066     9827     8947
TAB:  US_Louisiana_Jefferson Confirmed 5/28/2020   127     7424     7940     8653        8     8066     9827     8947
TAB:  US_Louisiana_Jefferson Confirmed .           128     7424     7940     9240        9     7480    32414     9240
TAB:  US_Louisiana_Jefferson Confirmed 5/30/2020   129     7536     7940    10120       12     8066    15107     9533
TAB:  US_Louisiana_Jefferson Confirmed .           130     7584     7940    10120        6     8066    23027    11293
TAB:  US_Louisiana_Jefferson Confirmed 6/1/2020    131     7652     7940    11000        6     8360    25080    11000
TAB:  US_Louisiana_Jefferson Confirmed .           132     7711     7940    12173        7     8360    26254    11000
TAB:  US_Louisiana_Jefferson Confirmed 6/3/2020    133     7738     7940    12760        5     7773    42095    11293
TAB:  US_Louisiana_Jefferson Confirmed .           134     7763     7940    13347        5     7773    46201    11587
TAB:  US_Louisiana_Jefferson Confirmed 6/5/2020    135     7803     7940     8066        5     8066    46201    11587
TAB:  US_Louisiana_Jefferson Confirmed .           136     7831     7940     8066        6     8066    37401    11880
TAB:  US_Louisiana_Jefferson Confirmed 6/7/2020    137     7862     7940     8066        7     8066    29481    11880
TAB:  US_Louisiana_Jefferson Confirmed .           138     7885     7940     8066        7     8066    50015    12467
TAB:  US_Louisiana_Jefferson Confirmed 6/9/2020    139     7940     7940     8360        6     8066    56468    12760
