TAB:  US_New_York_Rockland Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Rockland Deaths    3/1/2020     39        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            40        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/3/2020     41        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            42        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/5/2020     43        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            44        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/7/2020     45        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            46        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/9/2020     47        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            48        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/11/2020    49        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            50        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/13/2020    51        0      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            52        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/15/2020    53        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            54        1      657        0        0      246    13073    13073
TAB:  US_New_York_Rockland Deaths    3/17/2020    55        1      657        0        0      739     2219     2219
TAB:  US_New_York_Rockland Deaths    .            56        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/19/2020    57        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            58        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/21/2020    59        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            60        1      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    3/23/2020    61        1      657        0        0    22446    22446    22446
TAB:  US_New_York_Rockland Deaths    .            62        5      657        0        0      739     8633     1233
TAB:  US_New_York_Rockland Deaths    3/25/2020    63        5      657        0        0     2219    26886     3699
TAB:  US_New_York_Rockland Deaths    .            64        5      657        0        0     2713    58459     6166
TAB:  US_New_York_Rockland Deaths    3/27/2020    65        7      657        0        0     2713    10606     5179
TAB:  US_New_York_Rockland Deaths    .            66        8      657       11        5       11       24       15
TAB:  US_New_York_Rockland Deaths    3/29/2020    67        8      657       12        8       12       16       14
TAB:  US_New_York_Rockland Deaths    .            68        8      657       12       10       12       12       12
TAB:  US_New_York_Rockland Deaths    3/31/2020    69        8      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            70       18      657    -            1     2002     2002     2002
TAB:  US_New_York_Rockland Deaths    4/2/2020     71       18      657       60        2       60     1516      157
TAB:  US_New_York_Rockland Deaths    .            72       42      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    4/4/2020     73       69      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .            74       69      657      667        1      667      667      667
TAB:  US_New_York_Rockland Deaths    4/6/2020     75      119      657     1055        1     1055     1638     1638
TAB:  US_New_York_Rockland Deaths    .            76      135      657      230        1      230     2609      570
TAB:  US_New_York_Rockland Deaths    4/8/2020     77      154      657      206        1      206     3264      351
TAB:  US_New_York_Rockland Deaths    .            78      172      657      230        2      206     3094      279
TAB:  US_New_York_Rockland Deaths    4/10/2020    79      200      657      303        3      279      885      351
TAB:  US_New_York_Rockland Deaths    .            80      200      657      254        3      254      885      351
TAB:  US_New_York_Rockland Deaths    4/12/2020    81      200      657      254        3      254      958      351
TAB:  US_New_York_Rockland Deaths    .            82      241      657      327        2      303     1346      424
TAB:  US_New_York_Rockland Deaths    4/14/2020    83      263      657      327        2      327     3264      643
TAB:  US_New_York_Rockland Deaths    .            84      298      657      400        1      400     2973      643
TAB:  US_New_York_Rockland Deaths    4/16/2020    85      319      657      448        3      424     3118      570
TAB:  US_New_York_Rockland Deaths    .            86      319      657      424        4      351     4623      667
TAB:  US_New_York_Rockland Deaths    4/18/2020    87      334      657      424        4      351     2948      618
TAB:  US_New_York_Rockland Deaths    .            88      334      657      351        5      351     2803      570
TAB:  US_New_York_Rockland Deaths    4/20/2020    89      334      657      400        6      327     2609      521
TAB:  US_New_York_Rockland Deaths    .            90      401      657      521        2      521     2536      788
TAB:  US_New_York_Rockland Deaths    4/22/2020    91      418      657      546        2      546     2463      861
TAB:  US_New_York_Rockland Deaths    .            92      436      657      570        2      473     1638      740
TAB:  US_New_York_Rockland Deaths    4/24/2020    93      453      657      618        3      473     3749      788
TAB:  US_New_York_Rockland Deaths    .            94      453      657      618        3      473     1371      740
TAB:  US_New_York_Rockland Deaths    4/26/2020    95      453      657      473        3      473     1080      715
TAB:  US_New_York_Rockland Deaths    .            96      481      657      570        6      521      885      667
TAB:  US_New_York_Rockland Deaths    4/28/2020    97      481      657      570        9      497      813      643
TAB:  US_New_York_Rockland Deaths    .            98      500      657      570        8      546     1395      667
TAB:  US_New_York_Rockland Deaths    4/30/2020    99      511      657      618       10      546     1759      667
TAB:  US_New_York_Rockland Deaths    .           100      519      657      618       13      546     1055      667
TAB:  US_New_York_Rockland Deaths    5/2/2020    101      519      657      583        4      533      710      610
TAB:  US_New_York_Rockland Deaths    .           102      519      657      588        6      522      677      595
TAB:  US_New_York_Rockland Deaths    5/4/2020    103      536      657      594       19      570      667      618
TAB:  US_New_York_Rockland Deaths    .           104      551      657      618       20      594     1662      691
TAB:  US_New_York_Rockland Deaths    5/6/2020    105      551      657      618       21      594      861      667
TAB:  US_New_York_Rockland Deaths    .           106      557      657      618       22      570      715      643
TAB:  US_New_York_Rockland Deaths    5/8/2020    107      562      657      619       12      569      663      625
TAB:  US_New_York_Rockland Deaths    .           108      562      657      612       12      564      638      612
TAB:  US_New_York_Rockland Deaths    5/10/2020   109      562      657      606       10      565      632      600
TAB:  US_New_York_Rockland Deaths    .           110      576      657      606       12      606      638      625
TAB:  US_New_York_Rockland Deaths    5/12/2020   111      580      657      618       36      594      740      643
TAB:  US_New_York_Rockland Deaths    .           112      586      657      618       37      618      910      667
TAB:  US_New_York_Rockland Deaths    5/14/2020   113      594      657      618       35      618      715      667
TAB:  US_New_York_Rockland Deaths    .           114      602      657      643       22      618      910      740
TAB:  US_New_York_Rockland Deaths    5/16/2020   115      602      657      643       24      618      982      715
TAB:  US_New_York_Rockland Deaths    .           116      602      657      643       26      618     2463      715
TAB:  US_New_York_Rockland Deaths    5/18/2020   117      602      657      643       24      594     1031      691
TAB:  US_New_York_Rockland Deaths    .           118      611      657      644       19      630      759      671
TAB:  US_New_York_Rockland Deaths    5/20/2020   119      611      657      644       17      622      705      662
TAB:  US_New_York_Rockland Deaths    .           120      611      657      641       18      624      661      641
TAB:  US_New_York_Rockland Deaths    5/22/2020   121      611      657      630       40      606      654      630
TAB:  US_New_York_Rockland Deaths    .           122      618      657      643       50      618      715      667
TAB:  US_New_York_Rockland Deaths    5/24/2020   123      618      657      643       51      618      691      667
TAB:  US_New_York_Rockland Deaths    .           124      618      657      638       33      624      651      638
TAB:  US_New_York_Rockland Deaths    5/26/2020   125      618      657      643       42      618      643      643
TAB:  US_New_York_Rockland Deaths    .           126      626      657      643       54      643      813      788
TAB:  US_New_York_Rockland Deaths    5/28/2020   127      626      657      643       57      643     1080      740
TAB:  US_New_York_Rockland Deaths    .           128      631      657      643       49      643     4574      691
TAB:  US_New_York_Rockland Deaths    5/30/2020   129      631      657      643       48      643     1516      740
TAB:  US_New_York_Rockland Deaths    .           130      631      657      643       57      643     1274      764
TAB:  US_New_York_Rockland Deaths    6/1/2020    131      646      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    .           132      646      657        0        0        0        0        0
TAB:  US_New_York_Rockland Deaths    6/3/2020    133      646      657     1298        1     1298     1298     1298
TAB:  US_New_York_Rockland Deaths    .           134      655      657      691        1      691     1274      740
TAB:  US_New_York_Rockland Deaths    6/5/2020    135      655      657      667        3      667     1516      837
TAB:  US_New_York_Rockland Deaths    .           136      655      657      667        3      667     1371     1055
TAB:  US_New_York_Rockland Deaths    6/7/2020    137      657      657      667        6      667     1225      764
TAB:  US_New_York_Rockland Deaths    .           138      657      657      667        8      667     3409      788
TAB:  US_New_York_Rockland Deaths    6/9/2020    139      657      657      667        9      667     1880      764
