TAB:  US_California_Riverside Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_California_Riverside Deaths    .            36        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    2/28/2020    37        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            38        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/1/2020     39        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            40        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/3/2020     41        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            42        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/5/2020     43        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            44        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/7/2020     45        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            46        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/9/2020     47        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            48        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/11/2020    49        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            50        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/13/2020    51        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            52        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/15/2020    53        0      365        0        0      201      201      201
TAB:  US_California_Riverside Deaths    .            54        0      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/17/2020    55        3      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            56        3      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    3/19/2020    57        3      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            58        4      365        0        0      177     6554     1594
TAB:  US_California_Riverside Deaths    3/21/2020    59        4      365        0        0      177      531      531
TAB:  US_California_Riverside Deaths    .            60        6      365        0        0      177      177      177
TAB:  US_California_Riverside Deaths    3/23/2020    61        6      365        0        0      177     2657     2657
TAB:  US_California_Riverside Deaths    .            62        6      365       33        1       33       33       33
TAB:  US_California_Riverside Deaths    3/25/2020    63        7      365        6        3        6        6        6
TAB:  US_California_Riverside Deaths    .            64        8      365       11        2       10       16       11
TAB:  US_California_Riverside Deaths    3/27/2020    65        8      365        6        4        6       20       20
TAB:  US_California_Riverside Deaths    .            66        8      365        9        4        9       12       10
TAB:  US_California_Riverside Deaths    3/29/2020    67        8      365        9        3        8        9        9
TAB:  US_California_Riverside Deaths    .            68        9      365        9        5        9       11       11
TAB:  US_California_Riverside Deaths    3/31/2020    69       13      365        0        0    31355    31355    31355
TAB:  US_California_Riverside Deaths    .            70       13      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    4/2/2020     71       14      365       20        1       20       20       20
TAB:  US_California_Riverside Deaths    .            72       14      365       20        4       20      411      182
TAB:  US_California_Riverside Deaths    4/4/2020     73       15      365       20        4       20      775      195
TAB:  US_California_Riverside Deaths    .            74       19      365      559        1      559     1382      573
TAB:  US_California_Riverside Deaths    4/6/2020     75       25      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    .            76       28      365        0        0        0        0        0
TAB:  US_California_Riverside Deaths    4/8/2020     77       32      365      101        1      101      101      101
TAB:  US_California_Riverside Deaths    .            78       33      365       33        1       33       87       47
TAB:  US_California_Riverside Deaths    4/10/2020    79       39      365       74        1       74      128      128
TAB:  US_California_Riverside Deaths    .            80       41      365       60        1       60      384      222
TAB:  US_California_Riverside Deaths    4/12/2020    81       41      365       60        2       47     1139      235
TAB:  US_California_Riverside Deaths    .            82       41      365       47        2       47      788      128
TAB:  US_California_Riverside Deaths    4/14/2020    83       50      365       87        1       87      411      155
TAB:  US_California_Riverside Deaths    .            84       50      365       74        1       74      465      141
TAB:  US_California_Riverside Deaths    4/16/2020    85       54      365       74        2       60      856      155
TAB:  US_California_Riverside Deaths    .            86       69      365      411        2      384     1152      586
TAB:  US_California_Riverside Deaths    4/18/2020    87       69      365      424        2      303     1004      424
TAB:  US_California_Riverside Deaths    .            88       75      365      330        2      101     2326      465
TAB:  US_California_Riverside Deaths    4/20/2020    89       85      365      667        2      141     1449      654
TAB:  US_California_Riverside Deaths    .            90       85      365      586        2      101     2231      465
TAB:  US_California_Riverside Deaths    4/22/2020    91       93      365      114        1      114     1894      478
TAB:  US_California_Riverside Deaths    .            92      100      365      141        2      141     1732      505
TAB:  US_California_Riverside Deaths    4/24/2020    93      112      365      276        1      276     2137      694
TAB:  US_California_Riverside Deaths    .            94      112      365      222        2      222     1732      761
TAB:  US_California_Riverside Deaths    4/26/2020    95      118      365      195        2      128     2137      600
TAB:  US_California_Riverside Deaths    .            96      141      365      842        1      842     2164     1193
TAB:  US_California_Riverside Deaths    4/28/2020    97      141      365    -            2      775     2096     1112
TAB:  US_California_Riverside Deaths    .            98      143      365      694        2      141     2568      991
TAB:  US_California_Riverside Deaths    4/30/2020    99      149      365      155        2      155     2487      856
TAB:  US_California_Riverside Deaths    .           100      156      365      168        3      168     2056      748
TAB:  US_California_Riverside Deaths    5/2/2020    101      156      365      168        4      168     2016      640
TAB:  US_California_Riverside Deaths    .           102      161      365      168        4      168     2339      559
TAB:  US_California_Riverside Deaths    5/4/2020    103      181      365      343        5      330     2622      680
TAB:  US_California_Riverside Deaths    .           104      184      365      357        4      343     2514      680
TAB:  US_California_Riverside Deaths    5/6/2020    105      186      365      330        5      182     2434      613
TAB:  US_California_Riverside Deaths    .           106      192      365      316        7      195     1975      532
TAB:  US_California_Riverside Deaths    5/8/2020    107      192      365      276        5      195     1597      492
TAB:  US_California_Riverside Deaths    .           108      204      365      303        7      262     1368      505
TAB:  US_California_Riverside Deaths    5/10/2020   109      204      365      276        5      235     1166      451
TAB:  US_California_Riverside Deaths    .           110      217      365      316       10      303     1045      465
TAB:  US_California_Riverside Deaths    5/12/2020   111      225      365      343        8      330      950      492
TAB:  US_California_Riverside Deaths    .           112      225      365      343        7      262     1328      492
TAB:  US_California_Riverside Deaths    5/14/2020   113      235      365      357        7      289     1247      478
TAB:  US_California_Riverside Deaths    .           114      242      365      411        8      289     1274      478
TAB:  US_California_Riverside Deaths    5/16/2020   115      242      365      357       10      262      761      465
TAB:  US_California_Riverside Deaths    .           116      242      365      357        8      249      654      438
TAB:  US_California_Riverside Deaths    5/18/2020   117      261      365      384        7      370     1274      505
TAB:  US_California_Riverside Deaths    .           118      270      365      424       10      384     1921      532
TAB:  US_California_Riverside Deaths    5/20/2020   119      270      365      424       10      289     2056      546
TAB:  US_California_Riverside Deaths    .           120      284      365      438        9      357     1233      559
TAB:  US_California_Riverside Deaths    5/22/2020   121      290      365      465        9      316     1759      559
TAB:  US_California_Riverside Deaths    .           122      290      365      451        7      303     2272      573
TAB:  US_California_Riverside Deaths    5/24/2020   123      290      365      438        9      289     2191      546
TAB:  US_California_Riverside Deaths    .           124      292      365      443        9      289      838      509
TAB:  US_California_Riverside Deaths    5/26/2020   125      303      365      450        6      331      670      490
TAB:  US_California_Riverside Deaths    .           126      303      365      438       17      316      613      451
TAB:  US_California_Riverside Deaths    5/28/2020   127      313      365      438       16      343      573      451
TAB:  US_California_Riverside Deaths    .           128      323      365      451       13      397      613      505
TAB:  US_California_Riverside Deaths    5/30/2020   129      323      365      451       17      397     1112      492
TAB:  US_California_Riverside Deaths    .           130      323      365      451       13      343     1099      465
TAB:  US_California_Riverside Deaths    6/1/2020    131      331      365      451       15      343      761      478
TAB:  US_California_Riverside Deaths    .           132      342      365      465       18      438     1490      519
TAB:  US_California_Riverside Deaths    6/3/2020    133      342      365      465       22      438     1935      519
TAB:  US_California_Riverside Deaths    .           134      345      365      465       22      343     1166      492
TAB:  US_California_Riverside Deaths    6/5/2020    135      355      365      465       20      465     2326      559
TAB:  US_California_Riverside Deaths    .           136      355      365      465       20      384     1530      519
TAB:  US_California_Riverside Deaths    6/7/2020    137      355      365      465       25      370     1301      492
TAB:  US_California_Riverside Deaths    .           138      356      365      464       16      356      539      459
TAB:  US_California_Riverside Deaths    6/9/2020    139      365      365      465       30      397      815      478
