TAB:  US_Arizona_Pima Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Pima Deaths    3/15/2020    53        0      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            54        0      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    3/17/2020    55        0      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            56        0      212        0        0       58       58       58
TAB:  US_Arizona_Pima Deaths    3/19/2020    57        0      212        0        0       58     7649     7649
TAB:  US_Arizona_Pima Deaths    .            58        0      212        0        0       58      175      175
TAB:  US_Arizona_Pima Deaths    3/21/2020    59        0      212        0        0      175     9284      642
TAB:  US_Arizona_Pima Deaths    .            60        0      212        0        0     6014     6014     6014
TAB:  US_Arizona_Pima Deaths    3/23/2020    61        0      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            62        1      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    3/25/2020    63        1      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            64        1      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    3/27/2020    65        4      212        0        0     5079     5079     5079
TAB:  US_Arizona_Pima Deaths    .            66        4      212        0        0      408     7298     2160
TAB:  US_Arizona_Pima Deaths    3/29/2020    67        4      212        0        0      525     2627     1342
TAB:  US_Arizona_Pima Deaths    .            68        4      212        0        0      642     6598     1109
TAB:  US_Arizona_Pima Deaths    3/31/2020    69        4      212        0        0      408     5313      875
TAB:  US_Arizona_Pima Deaths    .            70        4      212        0        0      291     4145      642
TAB:  US_Arizona_Pima Deaths    4/2/2020     71       11      212        0        0      291    11035      875
TAB:  US_Arizona_Pima Deaths    .            72       11      212       58        1       58      168      168
TAB:  US_Arizona_Pima Deaths    4/4/2020     73       11      212       33        1       33       60       60
TAB:  US_Arizona_Pima Deaths    .            74       12      212       12        5       12       33       19
TAB:  US_Arizona_Pima Deaths    4/6/2020     75       13      212       12        3       12       21       14
TAB:  US_Arizona_Pima Deaths    .            76       13      212       11        8       11       19       19
TAB:  US_Arizona_Pima Deaths    4/8/2020     77       16      212       21        2       21       23       23
TAB:  US_Arizona_Pima Deaths    .            78       16      212       19        6       19       19       19
TAB:  US_Arizona_Pima Deaths    4/10/2020    79       16      212       19        7       19       19       19
TAB:  US_Arizona_Pima Deaths    .            80       16      212       19        8       19       19       19
TAB:  US_Arizona_Pima Deaths    4/12/2020    81       29      212        0        0      898     2116     1362
TAB:  US_Arizona_Pima Deaths    .            82       29      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    4/14/2020    83       29      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            84       29      212      238        1      238     1358     1358
TAB:  US_Arizona_Pima Deaths    4/16/2020    85       29      212       82        3       82     1358      160
TAB:  US_Arizona_Pima Deaths    .            86       29      212       74        2       66     1358       97
TAB:  US_Arizona_Pima Deaths    4/18/2020    87       56      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    .            88       56      212        0        0        0        0        0
TAB:  US_Arizona_Pima Deaths    4/20/2020    89       58      212       58        4       58      755      528
TAB:  US_Arizona_Pima Deaths    .            90       65      212       74        2       66      896      246
TAB:  US_Arizona_Pima Deaths    4/22/2020    91       68      212       74        4       66      912      379
TAB:  US_Arizona_Pima Deaths    .            92       70      212       74        5       74      833      505
TAB:  US_Arizona_Pima Deaths    4/24/2020    93       74      212       82        4       82     1491      528
TAB:  US_Arizona_Pima Deaths    .            94       76      212       82        6       82     1335      489
TAB:  US_Arizona_Pima Deaths    4/26/2020    95       76      212       82        7       74     1241      418
TAB:  US_Arizona_Pima Deaths    .            96       76      212       82        6       74     1194      434
TAB:  US_Arizona_Pima Deaths    4/28/2020    97       76      212       82        6       74      763      332
TAB:  US_Arizona_Pima Deaths    .            98       80      212       82        6       82      512      262
TAB:  US_Arizona_Pima Deaths    4/30/2020    99       80      212       82        8       82      371      207
TAB:  US_Arizona_Pima Deaths    .           100       81      212       82       14       82      277      152
TAB:  US_Arizona_Pima Deaths    5/2/2020    101       81      212       82       18       82      215      121
TAB:  US_Arizona_Pima Deaths    .           102       81      212       80        6       80      159       90
TAB:  US_Arizona_Pima Deaths    5/4/2020    103       81      212       81       10       81      139       91
TAB:  US_Arizona_Pima Deaths    .           104      105      212      170        2      165      173      170
TAB:  US_Arizona_Pima Deaths    5/6/2020    105      116      212      205        2      205      215      208
TAB:  US_Arizona_Pima Deaths    .           106      118      212      215        4      129      246      223
TAB:  US_Arizona_Pima Deaths    5/8/2020    107      131      212      262        4      160      301      254
TAB:  US_Arizona_Pima Deaths    .           108      133      212      277        3      144      332      277
TAB:  US_Arizona_Pima Deaths    5/10/2020   109      134      212      285        3      137      332      270
TAB:  US_Arizona_Pima Deaths    .           110      134      212      137        4      137      403      277
TAB:  US_Arizona_Pima Deaths    5/12/2020   111      136      212      137        5      137      309      270
TAB:  US_Arizona_Pima Deaths    .           112      144      212      270        4      160      309      270
TAB:  US_Arizona_Pima Deaths    5/14/2020   113      152      212      285        5      176      309      277
TAB:  US_Arizona_Pima Deaths    .           114      155      212      285        5      176      411      285
TAB:  US_Arizona_Pima Deaths    5/16/2020   115      157      212      285        6      160      677      254
TAB:  US_Arizona_Pima Deaths    .           116      157      212      285        6      160      309      230
TAB:  US_Arizona_Pima Deaths    5/18/2020   117      157      212      277        6      160      356      238
TAB:  US_Arizona_Pima Deaths    .           118      158      212      158        6      158      285      214
TAB:  US_Arizona_Pima Deaths    5/20/2020   119      167      212      205        3      184      280      253
TAB:  US_Arizona_Pima Deaths    .           120      174      212      270        9      199      426      262
TAB:  US_Arizona_Pima Deaths    5/22/2020   121      174      212      270        9      199      411      254
TAB:  US_Arizona_Pima Deaths    .           122      173      212      262        9      176      395      238
TAB:  US_Arizona_Pima Deaths    5/24/2020   123      172      212      254        9      176      285      230
TAB:  US_Arizona_Pima Deaths    .           124      173      212      172        5      172      257      219
TAB:  US_Arizona_Pima Deaths    5/26/2020   125      173      212      247        6      173      252      218
TAB:  US_Arizona_Pima Deaths    .           126      175      212      242        4      187      247      208
TAB:  US_Arizona_Pima Deaths    5/28/2020   127      180      212      240        5      188      242      222
TAB:  US_Arizona_Pima Deaths    .           128      185      212      238       10      199      403      230
TAB:  US_Arizona_Pima Deaths    5/30/2020   129      185      212      223       11      199      293      230
TAB:  US_Arizona_Pima Deaths    .           130      185      212      223       13      199      246      223
TAB:  US_Arizona_Pima Deaths    6/1/2020    131      185      212      199       11      191     1319      223
TAB:  US_Arizona_Pima Deaths    .           132      191      212      223       14      199      270      230
TAB:  US_Arizona_Pima Deaths    6/3/2020    133      196      212      223       16      207      387      270
TAB:  US_Arizona_Pima Deaths    .           134      202      212      230       16      223     1405      270
TAB:  US_Arizona_Pima Deaths    6/5/2020    135      202      212      238       25      223      716      270
TAB:  US_Arizona_Pima Deaths    .           136      205      212      238       22      207     1053      270
TAB:  US_Arizona_Pima Deaths    6/7/2020    137      205      212      238       18      207      880      270
TAB:  US_Arizona_Pima Deaths    .           138      205      212      238       18      207     1053      293
TAB:  US_Arizona_Pima Deaths    6/9/2020    139      212      212      246       30      238     1507      309
