TAB:  US_Massachusetts_Worcester Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Worcester Confirmed .            34        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 2/26/2020    35        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            36        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 2/28/2020    37        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            38        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/1/2020     39        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            40        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/3/2020     41        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            42        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/5/2020     43        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            44        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/7/2020     45        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            46        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/9/2020     47        0    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            48        1    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/11/2020    49        1    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            50        1    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/13/2020    51        2    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            52        2    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/15/2020    53        2    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            54        6    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/17/2020    55        8    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            56       10    11803      218        1      218      218      218
TAB:  US_Massachusetts_Worcester Confirmed 3/19/2020    57       14    11803      218        2      218      654      654
TAB:  US_Massachusetts_Worcester Confirmed .            58       19    11803      218        4      218      218      218
TAB:  US_Massachusetts_Worcester Confirmed 3/21/2020    59       24    11803      218        4      218    25509    25509
TAB:  US_Massachusetts_Worcester Confirmed .            60       37    11803      218        2      218     3270     1090
TAB:  US_Massachusetts_Worcester Confirmed 3/23/2020    61       42    11803      218        2      218    82198     1526
TAB:  US_Massachusetts_Worcester Confirmed .            62       73    11803     2834        1     2834    38591     5014
TAB:  US_Massachusetts_Worcester Confirmed 3/25/2020    63      129    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed .            64      166    11803        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Confirmed 3/27/2020    65      219    11803     1526        1     1526     1526     1526
TAB:  US_Massachusetts_Worcester Confirmed .            66      291    11803      654        1      654    15916     1526
TAB:  US_Massachusetts_Worcester Confirmed 3/29/2020    67      337    11803      654        2      654    23329     1962
TAB:  US_Massachusetts_Worcester Confirmed .            68      390    11803      654        4      654    18096     2834
TAB:  US_Massachusetts_Worcester Confirmed 3/31/2020    69      433    11803      654        5      654    81326     2834
TAB:  US_Massachusetts_Worcester Confirmed .            70      563    11803     1090        1     1090    60831     5450
TAB:  US_Massachusetts_Worcester Confirmed 4/2/2020     71      667    11803     1962        2     1962    34231    10247
TAB:  US_Massachusetts_Worcester Confirmed .            72      825    11803     2834        2     2834    54290    10683
TAB:  US_Massachusetts_Worcester Confirmed 4/4/2020     73      915    11803     2834        1     2834    48621     8939
TAB:  US_Massachusetts_Worcester Confirmed .            74      978    11803     2834        2     1090    50365     6322
TAB:  US_Massachusetts_Worcester Confirmed 4/6/2020     75     1077    11803     1251        2     1251    26553     4865
TAB:  US_Massachusetts_Worcester Confirmed .            76     1172    11803     1619        3     1619    16128     3591
TAB:  US_Massachusetts_Worcester Confirmed 4/8/2020     77     1296    11803     2834        3     1962    17224     5014
TAB:  US_Massachusetts_Worcester Confirmed .            78     1461    11803     2834        4     2834    12863     5450
TAB:  US_Massachusetts_Worcester Confirmed 4/10/2020    79     1678    11803     3706        4     3706    11119     5450
TAB:  US_Massachusetts_Worcester Confirmed .            80     1822    11803     4142        4     4142    10247     5886
TAB:  US_Massachusetts_Worcester Confirmed 4/12/2020    81     2032    11803     4578        4     4578    30306     7195
TAB:  US_Massachusetts_Worcester Confirmed .            82     2128    11803     5886        4     2834    19404     6759
TAB:  US_Massachusetts_Worcester Confirmed 4/14/2020    83     2246    11803     5014        4     2834    11991     6322
TAB:  US_Massachusetts_Worcester Confirmed .            84     2350    11803     4700        3     2737     8110     5733
TAB:  US_Massachusetts_Worcester Confirmed 4/16/2020    85     2503    11803     3575        2     3176     7211     5294
TAB:  US_Massachusetts_Worcester Confirmed .            86     2765    11803     5014        7     5014    19840     6759
TAB:  US_Massachusetts_Worcester Confirmed 4/18/2020    87     2952    11803     5450        6     5450    11119     6759
TAB:  US_Massachusetts_Worcester Confirmed .            88     3069    11803     5886        6     5450    45568     7195
TAB:  US_Massachusetts_Worcester Confirmed 4/20/2020    89     3205    11803     5886        9     3706    50801     7195
TAB:  US_Massachusetts_Worcester Confirmed .            90     3341    11803     5967        6     4003    11859     6722
TAB:  US_Massachusetts_Worcester Confirmed 4/22/2020    91     3456    11803     5751        4     3998     7248     6116
TAB:  US_Massachusetts_Worcester Confirmed .            92     3798    11803     7369        7     6157    18271     7773
TAB:  US_Massachusetts_Worcester Confirmed 4/24/2020    93     4227    11803     7195        8     6759    28562    11119
TAB:  US_Massachusetts_Worcester Confirmed .            94     4460    11803     7631       10     7631    69988    13299
TAB:  US_Massachusetts_Worcester Confirmed 4/26/2020    95     4572    11803     8067        7     5450    65191    11991
TAB:  US_Massachusetts_Worcester Confirmed .            96     4744    11803     8067       10     5014    49929    11555
TAB:  US_Massachusetts_Worcester Confirmed 4/28/2020    97     4999    11803     8503       11     5886    43388    12863
TAB:  US_Massachusetts_Worcester Confirmed .            98     5300    11803     8939       12     7631    44696    12863
TAB:  US_Massachusetts_Worcester Confirmed 4/30/2020    99     5550    11803     9375        9     8503    74349    14172
TAB:  US_Massachusetts_Worcester Confirmed .           100     5787    11803     9375       10     9375    69988    15044
TAB:  US_Massachusetts_Worcester Confirmed 5/2/2020    101     6129    11803     9811        7     9811    71296    18096
TAB:  US_Massachusetts_Worcester Confirmed .           102     6288    11803    10247        9     9811    71296    18532
TAB:  US_Massachusetts_Worcester Confirmed 5/4/2020    103     6471    11803    10683        8     7631    60831    19404
TAB:  US_Massachusetts_Worcester Confirmed .           104     6597    11803    10636        6     7059    36991    15154
TAB:  US_Massachusetts_Worcester Confirmed 5/6/2020    105     6992    11803    10827        5    10661    32812    15786
TAB:  US_Massachusetts_Worcester Confirmed .           106     7197    11803    11069        5    11069    28222    15760
TAB:  US_Massachusetts_Worcester Confirmed 5/8/2020    107     7410    11803    11555        8    11119    26381    17224
TAB:  US_Massachusetts_Worcester Confirmed .           108     7611    11803    11457        4     9153    23581    15458
TAB:  US_Massachusetts_Worcester Confirmed 5/10/2020   109     7743    11803    11566        4     8308    21124    14390
TAB:  US_Massachusetts_Worcester Confirmed .           110     7818    11803    11704        5     8139    18736    13438
TAB:  US_Massachusetts_Worcester Confirmed 5/12/2020   111     7959    11803    11723        6     8323    17301    12507
TAB:  US_Massachusetts_Worcester Confirmed .           112     8241    11803    11779        4     9973    16129    12928
TAB:  US_Massachusetts_Worcester Confirmed 5/14/2020   113     8555    11803    11906        9    11824    16132    13693
TAB:  US_Massachusetts_Worcester Confirmed .           114     8786    11803    12427        7    11991    18096    14608
TAB:  US_Massachusetts_Worcester Confirmed 5/16/2020   115     9067    11803    12427        8    12427    30306    15044
TAB:  US_Massachusetts_Worcester Confirmed .           116     9252    11803    16352        8    11119    37719    15044
TAB:  US_Massachusetts_Worcester Confirmed 5/18/2020   117     9442    11803    12863       10    10683    41644    15480
TAB:  US_Massachusetts_Worcester Confirmed .           118     9582    11803    12863        8    10247    30742    15044
TAB:  US_Massachusetts_Worcester Confirmed 5/20/2020   119     9780    11803    15916        8    11119    26381    15916
TAB:  US_Massachusetts_Worcester Confirmed .           120     9997    11803    16352       11    11555    24637    15480
TAB:  US_Massachusetts_Worcester Confirmed 5/22/2020   121    10101    11803    16168       10    11600    21283    15437
TAB:  US_Massachusetts_Worcester Confirmed .           122    10251    11803    16071        7    11683    19032    14974
TAB:  US_Massachusetts_Worcester Confirmed 5/24/2020   123    10431    11803    13423        7    12049    18005    14889
TAB:  US_Massachusetts_Worcester Confirmed .           124    10505    11803    15960        7    11483    16457    14301
TAB:  US_Massachusetts_Worcester Confirmed 5/26/2020   125    10557    11803    15654        8    10765    15654    13840
TAB:  US_Massachusetts_Worcester Confirmed .           126    10647    11803    13412        7    10861    15345    13721
TAB:  US_Massachusetts_Worcester Confirmed 5/28/2020   127    10713    11803    15039        8    10982    15192    13584
TAB:  US_Massachusetts_Worcester Confirmed .           128    10816    11803    13736       17    11119    15044    13299
TAB:  US_Massachusetts_Worcester Confirmed 5/30/2020   129    10901    11803    14608       15    11555    15044    13299
TAB:  US_Massachusetts_Worcester Confirmed .           130    11018    11803    13299       15    11555    15044    13299
TAB:  US_Massachusetts_Worcester Confirmed 6/1/2020    131    11352    11803    13432        9    12631    14451    13578
TAB:  US_Massachusetts_Worcester Confirmed .           132    11438    11803    13723       12    13068    14451    13869
TAB:  US_Massachusetts_Worcester Confirmed 6/3/2020    133    11465    11803    13736       28    11555    14608    13736
TAB:  US_Massachusetts_Worcester Confirmed .           134    11529    11803    13736       29    11555    45568    13736
TAB:  US_Massachusetts_Worcester Confirmed 6/5/2020    135    11600    11803    13736       31    11555    23329    14172
TAB:  US_Massachusetts_Worcester Confirmed .           136    11696    11803    13736       27    11991    73040    14172
TAB:  US_Massachusetts_Worcester Confirmed 6/7/2020    137    11732    11803    13736       26    11991    46004    14608
TAB:  US_Massachusetts_Worcester Confirmed .           138    11758    11803    13584       12    11901    14886    13431
TAB:  US_Massachusetts_Worcester Confirmed 6/9/2020    139    11803    11803    13325       12    11926    13815    13045
