TAB:  US_New_Jersey_Passaic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Passaic Confirmed .            32        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 2/24/2020    33        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            34        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 2/26/2020    35        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            36        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 2/28/2020    37        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            38        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/1/2020     39        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            40        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/3/2020     41        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            42        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/5/2020     43        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            44        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/7/2020     45        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            46        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/9/2020     47        0    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            48        1    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/11/2020    49        1    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            50        1    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/13/2020    51        2    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            52        2    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/15/2020    53        2    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            54        8    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed 3/17/2020    55       10    16492        0        0        0        0        0
TAB:  US_New_Jersey_Passaic Confirmed .            56       18    16492      304        1      304      304      304
TAB:  US_New_Jersey_Passaic Confirmed 3/19/2020    57       38    16492    30769        1    30769    30769    30769
TAB:  US_New_Jersey_Passaic Confirmed .            58       49    16492      304        1      304     1523     1523
TAB:  US_New_Jersey_Passaic Confirmed 3/21/2020    59       67    16492      304        3      304     6397     6397
TAB:  US_New_Jersey_Passaic Confirmed .            60       95    16492      304        3      304     2741      913
TAB:  US_New_Jersey_Passaic Confirmed 3/23/2020    61      141    16492      913        2      913    61843     2741
TAB:  US_New_Jersey_Passaic Confirmed .            62      216    16492     2132        1     2132    64890    15537
TAB:  US_New_Jersey_Passaic Confirmed 3/25/2020    63      255    16492    10662        2     2132    39299     9444
TAB:  US_New_Jersey_Passaic Confirmed .            64      399    16492     5788        1     5788    78295    23458
TAB:  US_New_Jersey_Passaic Confirmed 3/27/2020    65      484    16492     6397        1     6397    67936    21020
TAB:  US_New_Jersey_Passaic Confirmed .            66      608    16492     3351        1     3351    38081    14318
TAB:  US_New_Jersey_Passaic Confirmed 3/29/2020    67      831    16492    23458        2    10662    63062    32597
TAB:  US_New_Jersey_Passaic Confirmed .            68     1091    16492    16755        1    16755    95964    55750
TAB:  US_New_Jersey_Passaic Confirmed 3/31/2020    69     1294    16492    18583        1    18583   112415    42955
TAB:  US_New_Jersey_Passaic Confirmed .            70     1494    16492    19802        2     3351    77076    21630
TAB:  US_New_Jersey_Passaic Confirmed 4/2/2020     71     1750    16492     6208        2     3252    54694    17443
TAB:  US_New_Jersey_Passaic Confirmed .            72     2216    16492    18269        2    11151    51010    22065
TAB:  US_New_Jersey_Passaic Confirmed 4/4/2020     73     2856    16492    42346        2    25895   102667    47220
TAB:  US_New_Jersey_Passaic Confirmed .            74     3227    16492    -            3    28941    94136    46611
TAB:  US_New_Jersey_Passaic Confirmed 4/6/2020     75     3756    16492    46002        2    12490    91090    50267
TAB:  US_New_Jersey_Passaic Confirmed .            76     4104    16492    38081        4     5788   118508    41127
TAB:  US_New_Jersey_Passaic Confirmed 4/8/2020     77     4372    16492    27485        3     5324    43027    28349
TAB:  US_New_Jersey_Passaic Confirmed .            78     4690    16492     5602        2     5602    36016    20466
TAB:  US_New_Jersey_Passaic Confirmed 4/10/2020    79     5017    16492     6209        2     6209    30121    16404
TAB:  US_New_Jersey_Passaic Confirmed .            80     5295    16492     6601        2     6449    25419    12823
TAB:  US_New_Jersey_Passaic Confirmed 4/12/2020    81     5590    16492     7542        2     6781    21866    11852
TAB:  US_New_Jersey_Passaic Confirmed .            82     5950    16492    14892        2     7364    19147    10965
TAB:  US_New_Jersey_Passaic Confirmed 4/14/2020    83     6438    16492     8834        4     8225    67936    13099
TAB:  US_New_Jersey_Passaic Confirmed .            84     6750    16492     9444        6     8834    64890    13099
TAB:  US_New_Jersey_Passaic Confirmed 4/16/2020    85     7317    16492    10662        9    10662    16755    13709
TAB:  US_New_Jersey_Passaic Confirmed .            86     7604    16492    11272        8    10662    19192    13709
TAB:  US_New_Jersey_Passaic Confirmed 4/18/2020    87     7936    16492    11272        8    10662    82560    14318
TAB:  US_New_Jersey_Passaic Confirmed .            88     8288    16492    11944        7    11080    44754    13958
TAB:  US_New_Jersey_Passaic Confirmed 4/20/2020    89     8479    16492    11832        6     9505    25670    12867
TAB:  US_New_Jersey_Passaic Confirmed .            90     8479    16492    11513        7     8879    15846    12108
TAB:  US_New_Jersey_Passaic Confirmed 4/22/2020    91     9392    16492    12507        5    12507    21874    13609
TAB:  US_New_Jersey_Passaic Confirmed .            92     9874    16492    13709       11    13099    28332    19192
TAB:  US_New_Jersey_Passaic Confirmed 4/24/2020    93    10291    16492    14318       12    13709    32597    17974
TAB:  US_New_Jersey_Passaic Confirmed .            94    10738    16492    14927       16    13099   102667    23458
TAB:  US_New_Jersey_Passaic Confirmed 4/26/2020    95    11137    16492    14927       14    12490    75857    21630
TAB:  US_New_Jersey_Passaic Confirmed .            96    11349    16492    15537       12    12490    46002    20411
TAB:  US_New_Jersey_Passaic Confirmed 4/28/2020    97    11755    16492    15537       13    13709    81950    21020
TAB:  US_New_Jersey_Passaic Confirmed .            98    12185    16492    16184       14    15273    47643    21200
TAB:  US_New_Jersey_Passaic Confirmed 4/30/2020    99    12449    16492    16146       13    15537    35034    24067
TAB:  US_New_Jersey_Passaic Confirmed .           100    12814    16492    16554       12    16064    43042    21459
TAB:  US_New_Jersey_Passaic Confirmed 5/2/2020    101    13082    16492    16590        6    15391    26452    19389
TAB:  US_New_Jersey_Passaic Confirmed .           102    13364    16492    16795        6    15908    25161    18823
TAB:  US_New_Jersey_Passaic Confirmed 5/4/2020    103    13496    16492    16772        7    14624    23696    18086
TAB:  US_New_Jersey_Passaic Confirmed .           104    13797    16492    17032        7    15541    22766    18637
TAB:  US_New_Jersey_Passaic Confirmed 5/6/2020    105    13971    16492    16965        8    15656    21657    18275
TAB:  US_New_Jersey_Passaic Confirmed .           106    14133    16492    17138       10    15566    20807    18082
TAB:  US_New_Jersey_Passaic Confirmed 5/8/2020    107    14280    16492    17171        8    15258    19991    17474
TAB:  US_New_Jersey_Passaic Confirmed .           108    14428    16492    17153        8    15100    19401    17348
TAB:  US_New_Jersey_Passaic Confirmed 5/10/2020   109    14543    16492    17025        8    15223    18827    17120
TAB:  US_New_Jersey_Passaic Confirmed .           110    14645    16492    16967       12    15200    18454    16781
TAB:  US_New_Jersey_Passaic Confirmed 5/12/2020   111    14716    16492    17007       12    15112    17909    16466
TAB:  US_New_Jersey_Passaic Confirmed .           112    14757    16492    16846       13    14901    17554    16139
TAB:  US_New_Jersey_Passaic Confirmed 5/14/2020   113    14887    16492    16854       15    15365    17379    16329
TAB:  US_New_Jersey_Passaic Confirmed .           114    14930    16492    16676       14    15405    17205    16358
TAB:  US_New_Jersey_Passaic Confirmed 5/16/2020   115    15031    16492    16755       30    15537    16755    16146
TAB:  US_New_Jersey_Passaic Confirmed .           116    15205    16492    16755       31    15537    28332    16755
TAB:  US_New_Jersey_Passaic Confirmed 5/18/2020   117    15278    16492    16755       29    16146    77076    17365
TAB:  US_New_Jersey_Passaic Confirmed .           118    15371    16492    16755       30    16146    20411    17365
TAB:  US_New_Jersey_Passaic Confirmed 5/20/2020   119    15426    16492    16755       30    15537    30769    17365
TAB:  US_New_Jersey_Passaic Confirmed .           120    15497    16492    16755       30    15537    22239    17365
TAB:  US_New_Jersey_Passaic Confirmed 5/22/2020   121    15604    16492    16755       34    16146   109369    18583
TAB:  US_New_Jersey_Passaic Confirmed .           122    15610    16492    16449       29    16034    20392    17175
TAB:  US_New_Jersey_Passaic Confirmed 5/24/2020   123    15686    16492    16522       30    16153    18086    16982
TAB:  US_New_Jersey_Passaic Confirmed .           124    15774    16492    16755       38    16146    20411    17974
TAB:  US_New_Jersey_Passaic Confirmed 5/26/2020   125    15826    16492    16508       34    16276    19752    17319
TAB:  US_New_Jersey_Passaic Confirmed .           126    15873    16492    16480       37    16301    17552    17016
TAB:  US_New_Jersey_Passaic Confirmed 5/28/2020   127    15959    16492    16755       52    16146    24067    18583
TAB:  US_New_Jersey_Passaic Confirmed .           128    16045    16492    16755       53    16755    27723    17974
TAB:  US_New_Jersey_Passaic Confirmed 5/30/2020   129    16099    16492    16755       52    16755    42346    23458
TAB:  US_New_Jersey_Passaic Confirmed .           130    16170    16492    16755       51    16755    38081    19802
TAB:  US_New_Jersey_Passaic Confirmed 6/1/2020    131    16200    16492    16755       52    16755    37471    21630
TAB:  US_New_Jersey_Passaic Confirmed .           132    16234    16492    16668       45    16366    19589    17474
TAB:  US_New_Jersey_Passaic Confirmed 6/3/2020    133    16277    16492    16614       43    16522    17902    17166
TAB:  US_New_Jersey_Passaic Confirmed .           134    16311    16492    16659       42    16480    17731    17195
TAB:  US_New_Jersey_Passaic Confirmed 6/5/2020    135    16387    16492    16755       54    16755    20411    17974
TAB:  US_New_Jersey_Passaic Confirmed .           136    16436    16492    16755       48    16755    17974    17365
TAB:  US_New_Jersey_Passaic Confirmed 6/7/2020    137    16449    16492    16755       50    16755    19802    17974
TAB:  US_New_Jersey_Passaic Confirmed .           138    16461    16492    16755       57    16755    17974    17365
TAB:  US_New_Jersey_Passaic Confirmed 6/9/2020    139    16492    16492    16854       48    16679    17379    17029
