TAB:  US_Tennessee_Davidson Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Tennessee_Davidson Deaths    2/26/2020    35        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            36        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    2/28/2020    37        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            38        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/1/2020     39        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            40        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/3/2020     41        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            42        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/5/2020     43        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            44        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/7/2020     45        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            46        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/9/2020     47        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            48        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/11/2020    49        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            50        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    3/13/2020    51        0       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            52        0       80        0        0      565      565      565
TAB:  US_Tennessee_Davidson Deaths    3/15/2020    53        0       80        0        0      111      111      111
TAB:  US_Tennessee_Davidson Deaths    .            54        0       80        0        0      112      112      112
TAB:  US_Tennessee_Davidson Deaths    3/17/2020    55        0       80        0        0      339     5996      791
TAB:  US_Tennessee_Davidson Deaths    .            56        0       80        0        0      565     9617     1244
TAB:  US_Tennessee_Davidson Deaths    3/19/2020    57        0       80        0        0      565     5770     1244
TAB:  US_Tennessee_Davidson Deaths    .            58        1       80        0        0      339     5091     1244
TAB:  US_Tennessee_Davidson Deaths    3/21/2020    59        1       80        0        0      791     6901     2375
TAB:  US_Tennessee_Davidson Deaths    .            60        2       80        0        0      417     3498     1315
TAB:  US_Tennessee_Davidson Deaths    3/23/2020    61        2       80        0        0      186     1506      733
TAB:  US_Tennessee_Davidson Deaths    .            62        2       80        0        0     1405     2975     1798
TAB:  US_Tennessee_Davidson Deaths    3/25/2020    63        2       80        0        0     1165     2034     1432
TAB:  US_Tennessee_Davidson Deaths    .            64        2       80        0        0     1018     1697     1470
TAB:  US_Tennessee_Davidson Deaths    3/27/2020    65        2       80        0        0      340     1073      767
TAB:  US_Tennessee_Davidson Deaths    .            66        2       80        0        0      763     1084      942
TAB:  US_Tennessee_Davidson Deaths    3/29/2020    67        2       80        0        0      565     1018      791
TAB:  US_Tennessee_Davidson Deaths    .            68        3       80        0        0      565     4412     1018
TAB:  US_Tennessee_Davidson Deaths    3/31/2020    69        3       80        0        0     1244     3054     1697
TAB:  US_Tennessee_Davidson Deaths    .            70        4       80       19        1       19       28       28
TAB:  US_Tennessee_Davidson Deaths    4/2/2020     71        5       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            72        6       80       39        1       39       39       39
TAB:  US_Tennessee_Davidson Deaths    4/4/2020     73        6       80       10        1       10       45       13
TAB:  US_Tennessee_Davidson Deaths    .            74        6       80        7        3        7       48       13
TAB:  US_Tennessee_Davidson Deaths    4/6/2020     75        7       80       10        3        7       39       13
TAB:  US_Tennessee_Davidson Deaths    .            76        9       80       39        1       39       93       93
TAB:  US_Tennessee_Davidson Deaths    4/8/2020     77       13       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            78       13       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    4/10/2020    79       13       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .            80       13       80       33        1       33      415      415
TAB:  US_Tennessee_Davidson Deaths    4/12/2020    81       13       80       19        1       19      299      137
TAB:  US_Tennessee_Davidson Deaths    .            82       16       80       19        2       19      199       69
TAB:  US_Tennessee_Davidson Deaths    4/14/2020    83       18       80       25        2       25      285       57
TAB:  US_Tennessee_Davidson Deaths    .            84       18       80       25        3       25      305       51
TAB:  US_Tennessee_Davidson Deaths    4/16/2020    85       19       80       25        3       19      335       39
TAB:  US_Tennessee_Davidson Deaths    .            86       19       80       22        5       19      314       36
TAB:  US_Tennessee_Davidson Deaths    4/18/2020    87       19       80       19        6       19      376       42
TAB:  US_Tennessee_Davidson Deaths    .            88       19       80       19        5       19      154       28
TAB:  US_Tennessee_Davidson Deaths    4/20/2020    89       19       80       19        5       19       86       26
TAB:  US_Tennessee_Davidson Deaths    .            90       20       80       22        8       19       75       33
TAB:  US_Tennessee_Davidson Deaths    4/22/2020    91       20       80       20        8       20       51       26
TAB:  US_Tennessee_Davidson Deaths    .            92       21       80       22        7       22       39       31
TAB:  US_Tennessee_Davidson Deaths    4/24/2020    93       21       80       22       16       22       54       31
TAB:  US_Tennessee_Davidson Deaths    .            94       22       80       25       10       22       57       28
TAB:  US_Tennessee_Davidson Deaths    4/26/2020    95       23       80       25       12       25       51       31
TAB:  US_Tennessee_Davidson Deaths    .            96       25       80       31        5       31       33       33
TAB:  US_Tennessee_Davidson Deaths    4/28/2020    97       25       80       31        5       31       39       36
TAB:  US_Tennessee_Davidson Deaths    .            98       25       80       31        7       31       60       36
TAB:  US_Tennessee_Davidson Deaths    4/30/2020    99       28       80       33        3       33       63       54
TAB:  US_Tennessee_Davidson Deaths    .           100       28       80       36        5       33       78       60
TAB:  US_Tennessee_Davidson Deaths    5/2/2020    101       28       80       36        5       33       75       60
TAB:  US_Tennessee_Davidson Deaths    .           102       28       80       36        8       33      134       57
TAB:  US_Tennessee_Davidson Deaths    5/4/2020    103       29       80       36       10       28      279       54
TAB:  US_Tennessee_Davidson Deaths    .           104       30       80       36       18       31      314       54
TAB:  US_Tennessee_Davidson Deaths    5/6/2020    105       31       80       36       15       33      107       57
TAB:  US_Tennessee_Davidson Deaths    .           106       31       80       36       15       33      122       57
TAB:  US_Tennessee_Davidson Deaths    5/8/2020    107       31       80       36       13       31      119       48
TAB:  US_Tennessee_Davidson Deaths    .           108       31       80       36       16       31      113       51
TAB:  US_Tennessee_Davidson Deaths    5/10/2020   109       31       80       36       19       31      285       45
TAB:  US_Tennessee_Davidson Deaths    .           110       32       80       36       10       33       95       43
TAB:  US_Tennessee_Davidson Deaths    5/12/2020   111       33       80       36       25       36       90       48
TAB:  US_Tennessee_Davidson Deaths    .           112       37       80       69        3       57      258       72
TAB:  US_Tennessee_Davidson Deaths    5/14/2020   113       40       80      125        1      125      234      134
TAB:  US_Tennessee_Davidson Deaths    .           114       41       80      214        1      214      223      223
TAB:  US_Tennessee_Davidson Deaths    5/16/2020   115       41       80       42        1       42      373      282
TAB:  US_Tennessee_Davidson Deaths    .           116       44       80       51        1       51      577      161
TAB:  US_Tennessee_Davidson Deaths    5/18/2020   117       44       80       51        2       48      193       54
TAB:  US_Tennessee_Davidson Deaths    .           118       46       80       51        3       51      240       69
TAB:  US_Tennessee_Davidson Deaths    5/20/2020   119       46       80       48        3       48      258       69
TAB:  US_Tennessee_Davidson Deaths    .           120       48       80       54        3       51      299       66
TAB:  US_Tennessee_Davidson Deaths    5/22/2020   121       48       80       51        4       51      311       69
TAB:  US_Tennessee_Davidson Deaths    .           122       54       80    -            1      285      530      530
TAB:  US_Tennessee_Davidson Deaths    5/24/2020   123       57       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    .           124       58       80        0        0        0        0        0
TAB:  US_Tennessee_Davidson Deaths    5/26/2020   125       60       80       63        1       63       69       69
TAB:  US_Tennessee_Davidson Deaths    .           126       60       80       60        1       60       66       63
TAB:  US_Tennessee_Davidson Deaths    5/28/2020   127       60       80       60        2       60      518       69
TAB:  US_Tennessee_Davidson Deaths    .           128       60       80       60        3       60      512      190
TAB:  US_Tennessee_Davidson Deaths    5/30/2020   129       62       80       63        4       63      518      140
TAB:  US_Tennessee_Davidson Deaths    .           130       62       80       63        5       63      503      137
TAB:  US_Tennessee_Davidson Deaths    6/1/2020    131       62       80       63        6       60      468      134
TAB:  US_Tennessee_Davidson Deaths    .           132       64       80       66        2       66      444      134
TAB:  US_Tennessee_Davidson Deaths    6/3/2020    133       65       80       69        3       69      424      134
TAB:  US_Tennessee_Davidson Deaths    .           134       66       80       69        3       69      403      134
TAB:  US_Tennessee_Davidson Deaths    6/5/2020    135       69       80       84        4       81      483      155
TAB:  US_Tennessee_Davidson Deaths    .           136       73       80      110        2      104      429      187
TAB:  US_Tennessee_Davidson Deaths    6/7/2020    137       73       80      113        2      104      492      181
TAB:  US_Tennessee_Davidson Deaths    .           138       73       80      104        2      104      524      184
TAB:  US_Tennessee_Davidson Deaths    6/9/2020    139       80       80      202        2      137      539      202
