TAB:  US_New_York_Suffolk Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Suffolk Deaths    .            26        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/18/2020    27        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            28        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/20/2020    29        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            30        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/22/2020    31        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            32        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/24/2020    33        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            34        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/26/2020    35        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            36        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    2/28/2020    37        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            38        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/1/2020     39        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            40        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/3/2020     41        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            42        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/5/2020     43        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            44        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/7/2020     45        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            46        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/9/2020     47        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            48        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/11/2020    49        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            50        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/13/2020    51        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            52        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/15/2020    53        0     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            54        2     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    3/17/2020    55        3     1935        0        0      746      746      746
TAB:  US_New_York_Suffolk Deaths    .            56        3     1935        0        0      746      746      746
TAB:  US_New_York_Suffolk Deaths    3/19/2020    57        3     1935        0        0      746    32111     2240
TAB:  US_New_York_Suffolk Deaths    .            58        7     1935        0        0    11201    23149    12695
TAB:  US_New_York_Suffolk Deaths    3/21/2020    59        9     1935        0        0    35098    82891    38085
TAB:  US_New_York_Suffolk Deaths    .            60        9     1935       35        1       35       35       35
TAB:  US_New_York_Suffolk Deaths    3/23/2020    61       13     1935       35        2       35       35       35
TAB:  US_New_York_Suffolk Deaths    .            62       17     1935       28        1       28      103       47
TAB:  US_New_York_Suffolk Deaths    3/25/2020    63       20     1935       35        2       35      464      107
TAB:  US_New_York_Suffolk Deaths    .            64       22     1935       34        2       34      139       64
TAB:  US_New_York_Suffolk Deaths    3/27/2020    65       30     1935      107        2      107     2037      393
TAB:  US_New_York_Suffolk Deaths    .            66       30     1935       70        1       70      427      116
TAB:  US_New_York_Suffolk Deaths    3/29/2020    67       40     1935      107        2      107     3181      321
TAB:  US_New_York_Suffolk Deaths    .            68       40     1935      107        3      107      393      321
TAB:  US_New_York_Suffolk Deaths    3/31/2020    69       44     1935       50        1       50      151      103
TAB:  US_New_York_Suffolk Deaths    .            70       53     1935      127        3      119      276      177
TAB:  US_New_York_Suffolk Deaths    4/2/2020     71       69     1935      250        2      250     1250      679
TAB:  US_New_York_Suffolk Deaths    .            72       84     1935      536        2      536    11616     5897
TAB:  US_New_York_Suffolk Deaths    4/4/2020     73      124     1935    -            2     5540     8256     7756
TAB:  US_New_York_Suffolk Deaths    .            74      175     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    4/6/2020     75      199     1935        0        0        0        0        0
TAB:  US_New_York_Suffolk Deaths    .            76      263     1935     2251        1     2251     2251     2251
TAB:  US_New_York_Suffolk Deaths    4/8/2020     77      323     1935     2394        1     2394    13903    13903
TAB:  US_New_York_Suffolk Deaths    .            78      362     1935      822        1      822     2323     1179
TAB:  US_New_York_Suffolk Deaths    4/10/2020    79      414     1935      822        2      750     3038      965
TAB:  US_New_York_Suffolk Deaths    .            80      458     1935      750        3      679     4038     1108
TAB:  US_New_York_Suffolk Deaths    4/12/2020    81      518     1935      965        3      893     7041     1179
TAB:  US_New_York_Suffolk Deaths    .            82      568     1935      965        3      965     9972     1751
TAB:  US_New_York_Suffolk Deaths    4/14/2020    83      608     1935      965        4      965    13617     1465
TAB:  US_New_York_Suffolk Deaths    .            84      653     1935     1036        5      965    13331     1322
TAB:  US_New_York_Suffolk Deaths    4/16/2020    85      693     1935     1036        5      965    13188     1465
TAB:  US_New_York_Suffolk Deaths    .            86      693     1935      965        6      822    11115     1250
TAB:  US_New_York_Suffolk Deaths    4/18/2020    87      693     1935      893        4      750     8185     1179
TAB:  US_New_York_Suffolk Deaths    .            88      693     1935      822        3      679    11258     1393
TAB:  US_New_York_Suffolk Deaths    4/20/2020    89      859     1935     1250        1     1250     9972     2609
TAB:  US_New_York_Suffolk Deaths    .            90      888     1935     1322        2     1322    10472     2609
TAB:  US_New_York_Suffolk Deaths    4/22/2020    91      926     1935      965        1      965     6826     1751
TAB:  US_New_York_Suffolk Deaths    .            92      959     1935     1036        2      965     4825     1894
TAB:  US_New_York_Suffolk Deaths    4/24/2020    93      993     1935     1322        3     1036     3752     1822
TAB:  US_New_York_Suffolk Deaths    .            94     1042     1935     1393        4     1179    12903     1894
TAB:  US_New_York_Suffolk Deaths    4/26/2020    95     1070     1935     1393        5     1179    10901     1965
TAB:  US_New_York_Suffolk Deaths    .            96     1102     1935     1441        3     1212     2835     1747
TAB:  US_New_York_Suffolk Deaths    4/28/2020    97     1131     1935     1424        3     1242     2184     1628
TAB:  US_New_York_Suffolk Deaths    .            98     1155     1935     1416        3     1266     2015     1523
TAB:  US_New_York_Suffolk Deaths    4/30/2020    99     1177     1935     1434        5     1283     1937     1504
TAB:  US_New_York_Suffolk Deaths    .           100     1203     1935     1445        4     1319     1861     1571
TAB:  US_New_York_Suffolk Deaths    5/2/2020    101     1227     1935     1445        5     1352     1807     1538
TAB:  US_New_York_Suffolk Deaths    .           102     1256     1935     1536       13     1393     5039     1679
TAB:  US_New_York_Suffolk Deaths    5/4/2020    103     1273     1935     1481        6     1414     2176     1600
TAB:  US_New_York_Suffolk Deaths    .           104     1296     1935     1582        7     1434     1952     1603
TAB:  US_New_York_Suffolk Deaths    5/6/2020    105     1522     1935     1997        1     1997     1997     1997
TAB:  US_New_York_Suffolk Deaths    .           106     1547     1935     2101        1     2101     2101     2101
TAB:  US_New_York_Suffolk Deaths    5/8/2020    107     1568     1935     1581        1     1581     2142     2142
TAB:  US_New_York_Suffolk Deaths    .           108     1597     1935     1613        1     1613     2186     2164
TAB:  US_New_York_Suffolk Deaths    5/10/2020   109     1617     1935     1635        2     1635     2186     1646
TAB:  US_New_York_Suffolk Deaths    .           110     1639     1935     1663        2     1663     2208     2186
TAB:  US_New_York_Suffolk Deaths    5/12/2020   111     1654     1935     1679        3     1679     2186     1878
TAB:  US_New_York_Suffolk Deaths    .           112     1680     1935     2164        2     1712     2186     2120
TAB:  US_New_York_Suffolk Deaths    5/14/2020   113     1697     1935     2162        4     1755     2213     2111
TAB:  US_New_York_Suffolk Deaths    .           114     1709     1935     2153        3     1728     2153     1935
TAB:  US_New_York_Suffolk Deaths    5/16/2020   115     1733     1935     2138        3     1762     2364     2138
TAB:  US_New_York_Suffolk Deaths    .           116     1748     1935     2071        3     1787     2252     2139
TAB:  US_New_York_Suffolk Deaths    5/18/2020   117     1754     1935     1808        3     1808     2142     1970
TAB:  US_New_York_Suffolk Deaths    .           118     1772     1935     1822        3     1822     2121     1972
TAB:  US_New_York_Suffolk Deaths    5/20/2020   119     1791     1935     1844        3     1844     2452     2092
TAB:  US_New_York_Suffolk Deaths    .           120     1802     1935     2108       10     1894     2323     2108
TAB:  US_New_York_Suffolk Deaths    5/22/2020   121     1814     1935     2108       10     1894     2180     2108
TAB:  US_New_York_Suffolk Deaths    .           122     1822     1935     2017        6     1860     2069     1996
TAB:  US_New_York_Suffolk Deaths    5/24/2020   123     1834     1935     2017        7     1881     2069     1996
TAB:  US_New_York_Suffolk Deaths    .           124     1840     1935     1893        5     1893     2049     1976
TAB:  US_New_York_Suffolk Deaths    5/26/2020   125     1851     1935     1997        5     1893     2049     1976
TAB:  US_New_York_Suffolk Deaths    .           126     1861     1935     1965       14     1894     2323     2108
TAB:  US_New_York_Suffolk Deaths    5/28/2020   127     1871     1935     1965       13     1894     3109     2037
TAB:  US_New_York_Suffolk Deaths    .           128     1879     1935     2037       21     1965     2609     2323
TAB:  US_New_York_Suffolk Deaths    5/30/2020   129     1892     1935     2037       21     1965     3395     2108
TAB:  US_New_York_Suffolk Deaths    .           130     1901     1935     2037       22     1965     4253     2108
TAB:  US_New_York_Suffolk Deaths    6/1/2020    131     1906     1935     2033       11     1958     3044     2109
TAB:  US_New_York_Suffolk Deaths    .           132     1909     1935     2030       15     1919     2208     2030
TAB:  US_New_York_Suffolk Deaths    6/3/2020    133     1915     1935     2038       16     1933     2069     2017
TAB:  US_New_York_Suffolk Deaths    .           134     1916     1935     2008       29     1937     2008     1978
TAB:  US_New_York_Suffolk Deaths    6/5/2020    135     1918     1935     2008       24     1937     2008     1978
TAB:  US_New_York_Suffolk Deaths    .           136     1923     1935     1997       20     1937     1997     1977
TAB:  US_New_York_Suffolk Deaths    6/7/2020    137     1931     1935     1965       43     1965     2037     2037
TAB:  US_New_York_Suffolk Deaths    .           138     1935     1935     1965       47     1965     2251     2037
TAB:  US_New_York_Suffolk Deaths    6/9/2020    139     1935     1935     1965       54     1965     2108     2037
