TAB:  US_Connecticut_Hartford Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_Hartford Deaths    2/22/2020    31        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            32        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    2/24/2020    33        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            34        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    2/26/2020    35        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            36        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    2/28/2020    37        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            38        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/1/2020     39        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            40        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/3/2020     41        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            42        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/5/2020     43        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            44        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/7/2020     45        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            46        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/9/2020     47        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            48        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/11/2020    49        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            50        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/13/2020    51        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            52        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/15/2020    53        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            54        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/17/2020    55        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            56        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    3/19/2020    57        0     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            58        0     1291        0        0     2262     2262     2262
TAB:  US_Connecticut_Hartford Deaths    3/21/2020    59        0     1291        0        0      197      201      201
TAB:  US_Connecticut_Hartford Deaths    .            60        1     1291        0        0     1002     7823     1404
TAB:  US_Connecticut_Hartford Deaths    3/23/2020    61        2     1291        0        0      550      916      819
TAB:  US_Connecticut_Hartford Deaths    .            62        2     1291        0        0      726     2341     1372
TAB:  US_Connecticut_Hartford Deaths    3/25/2020    63        2     1291        0        0     1063     4041     2623
TAB:  US_Connecticut_Hartford Deaths    .            64        2     1291        0        0      317     1792     1157
TAB:  US_Connecticut_Hartford Deaths    3/27/2020    65        2     1291        0        0     1002    10631     3811
TAB:  US_Connecticut_Hartford Deaths    .            66        2     1291        0        0     1404     7823     3811
TAB:  US_Connecticut_Hartford Deaths    3/29/2020    67        2     1291        0        0     1529     5867     3733
TAB:  US_Connecticut_Hartford Deaths    .            68        3     1291        0        0     1743     4692     3083
TAB:  US_Connecticut_Hartford Deaths    3/31/2020    69        7     1291        0        0     1305     4403     2671
TAB:  US_Connecticut_Hartford Deaths    .            70       11     1291        0        0     2607     5415     3811
TAB:  US_Connecticut_Hartford Deaths    4/2/2020     71       13     1291        0        0        0        0        0
TAB:  US_Connecticut_Hartford Deaths    .            72       18     1291       23        1       23       71       71
TAB:  US_Connecticut_Hartford Deaths    4/4/2020     73       26     1291       71        1       71     8227      262
TAB:  US_Connecticut_Hartford Deaths    .            74       29     1291       71        2       71      405      262
TAB:  US_Connecticut_Hartford Deaths    4/6/2020     75       31     1291       71        3       23     7988      119
TAB:  US_Connecticut_Hartford Deaths    .            76       48     1291      214        1      214     1168      357
TAB:  US_Connecticut_Hartford Deaths    4/8/2020     77       48     1291      166        1      166     1550      453
TAB:  US_Connecticut_Hartford Deaths    .            78       75     1291      453        1      453     8704     1836
TAB:  US_Connecticut_Hartford Deaths    4/10/2020    79       88     1291      643        1      643     2408     1073
TAB:  US_Connecticut_Hartford Deaths    .            80      101     1291      166        1      166     6653     1883
TAB:  US_Connecticut_Hartford Deaths    4/12/2020    81      116     1291      166        1      166     5270      691
TAB:  US_Connecticut_Hartford Deaths    .            82      133     1291      214        2      214     8799     1073
TAB:  US_Connecticut_Hartford Deaths    4/14/2020    83      153     1291      310        2      310     5461      882
TAB:  US_Connecticut_Hartford Deaths    .            84      213     1291     1263        1     1263     8990     2694
TAB:  US_Connecticut_Hartford Deaths    4/16/2020    85      243     1291     1788        1     1788     7273     2599
TAB:  US_Connecticut_Hartford Deaths    .            86      266     1291     1407        1     1407     9276     2742
TAB:  US_Connecticut_Hartford Deaths    4/18/2020    87      289     1291      357        1      357     9085     3267
TAB:  US_Connecticut_Hartford Deaths    .            88      295     1291     1645        2      310     6033     2551
TAB:  US_Connecticut_Hartford Deaths    4/20/2020    89      369     1291     2122        3     1693     9467     3314
TAB:  US_Connecticut_Hartford Deaths    .            90      402     1291     1788        2     1693     7750     2885
TAB:  US_Connecticut_Hartford Deaths    4/22/2020    91      442     1291     1740        2     1073     6510     2170
TAB:  US_Connecticut_Hartford Deaths    .            92      469     1291     1759        2      599     5354     1875
TAB:  US_Connecticut_Hartford Deaths    4/24/2020    93      511     1291     2249        2      729     4545     1783
TAB:  US_Connecticut_Hartford Deaths    .            94      553     1291     1428        2      890     5730     1798
TAB:  US_Connecticut_Hartford Deaths    4/26/2020    95      579     1291     1850        2      854     3474     1547
TAB:  US_Connecticut_Hartford Deaths    .            96      612     1291     1245        2      820     3052     1466
TAB:  US_Connecticut_Hartford Deaths    4/28/2020    97      643     1291     1322        3      841     2733     1322
TAB:  US_Connecticut_Hartford Deaths    .            98      670     1291      880        2      880     2442     1274
TAB:  US_Connecticut_Hartford Deaths    4/30/2020    99      698     1291      980        2      905     2216     1254
TAB:  US_Connecticut_Hartford Deaths    .           100      715     1291      922        3      844     2007     1180
TAB:  US_Connecticut_Hartford Deaths    5/2/2020    101      741     1291      966        3      905     1846     1178
TAB:  US_Connecticut_Hartford Deaths    .           102      741     1291      856        3      819     1690     1057
TAB:  US_Connecticut_Hartford Deaths    5/4/2020    103      773     1291      908        5      900     1576     1086
TAB:  US_Connecticut_Hartford Deaths    .           104      804     1291      977       10      977     1597     1263
TAB:  US_Connecticut_Hartford Deaths    5/6/2020    105      842     1291     1073        7     1025     4602     1311
TAB:  US_Connecticut_Hartford Deaths    .           106      867     1291     1120       10     1073     2265     1311
TAB:  US_Connecticut_Hartford Deaths    5/8/2020    107      884     1291     1120       12     1025     6987     1407
TAB:  US_Connecticut_Hartford Deaths    .           108      901     1291     1120       11      977     3028     1359
TAB:  US_Connecticut_Hartford Deaths    5/10/2020   109      909     1291     1127       10      936     1783     1195
TAB:  US_Connecticut_Hartford Deaths    .           110      921     1291     1113        8      948     1332     1181
TAB:  US_Connecticut_Hartford Deaths    5/12/2020   111      931     1291     1099        6      964     1267     1131
TAB:  US_Connecticut_Hartford Deaths    .           112      963     1291     1121        9     1108     1249     1178
TAB:  US_Connecticut_Hartford Deaths    5/14/2020   113      999     1291     1169        6     1154     1451     1243
TAB:  US_Connecticut_Hartford Deaths    .           114     1025     1291     1216       21     1168     1836     1502
TAB:  US_Connecticut_Hartford Deaths    5/16/2020   115     1044     1291     1216       18     1216     1979     1597
TAB:  US_Connecticut_Hartford Deaths    .           116     1069     1291     1263       20     1216     2217     1693
TAB:  US_Connecticut_Hartford Deaths    5/18/2020   117     1084     1291     1263       19     1168     2217     1597
TAB:  US_Connecticut_Hartford Deaths    .           118     1090     1291     1274       17     1125     1929     1443
TAB:  US_Connecticut_Hartford Deaths    5/20/2020   119     1116     1291     1288       13     1210     1920     1453
TAB:  US_Connecticut_Hartford Deaths    .           120     1133     1291     1306       14     1250     1872     1467
TAB:  US_Connecticut_Hartford Deaths    5/22/2020   121     1155     1291     1311       19     1311     4650     1693
TAB:  US_Connecticut_Hartford Deaths    .           122     1169     1291     1359       13     1311     5651     1645
TAB:  US_Connecticut_Hartford Deaths    5/24/2020   123     1175     1291     1346       14     1201     1781     1518
TAB:  US_Connecticut_Hartford Deaths    .           124     1187     1291     1345       13     1216     1695     1421
TAB:  US_Connecticut_Hartford Deaths    5/26/2020   125     1193     1291     1341       12     1218     1620     1415
TAB:  US_Connecticut_Hartford Deaths    .           126     1203     1291     1341       11     1237     1572     1412
TAB:  US_Connecticut_Hartford Deaths    5/28/2020   127     1208     1291     1342       13     1243     1518     1373
TAB:  US_Connecticut_Hartford Deaths    .           128     1222     1291     1359       25     1263     1645     1407
TAB:  US_Connecticut_Hartford Deaths    5/30/2020   129     1238     1291     1359       28     1311     1502     1407
TAB:  US_Connecticut_Hartford Deaths    .           130     1250     1291     1359       25     1359     1502     1454
TAB:  US_Connecticut_Hartford Deaths    6/1/2020    131     1251     1291     1359       28     1359     1454     1407
TAB:  US_Connecticut_Hartford Deaths    .           132     1253     1291     1359       32     1263     1454     1359
TAB:  US_Connecticut_Hartford Deaths    6/3/2020    133     1259     1291     1368       14     1262     1595     1384
TAB:  US_Connecticut_Hartford Deaths    .           134     1266     1291     1358       13     1286     1415     1358
TAB:  US_Connecticut_Hartford Deaths    6/5/2020    135     1277     1291     1359       38     1311     1407     1359
TAB:  US_Connecticut_Hartford Deaths    .           136     1279     1291     1359       41     1311     1407     1359
TAB:  US_Connecticut_Hartford Deaths    6/7/2020    137     1287     1291     1359       44     1359     1454     1407
TAB:  US_Connecticut_Hartford Deaths    .           138     1291     1291     1359       48     1311     2265     1407
TAB:  US_Connecticut_Hartford Deaths    6/9/2020    139     1291     1291     1373       23     1303     1540     1359
