TAB:  US_Illinois_Lake Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Lake Deaths    2/24/2020    33        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            34        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    2/26/2020    35        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            36        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    2/28/2020    37        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            38        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/1/2020     39        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            40        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/3/2020     41        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            42        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/5/2020     43        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            44        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/7/2020     45        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            46        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/9/2020     47        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            48        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/11/2020    49        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            50        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/13/2020    51        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            52        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/15/2020    53        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            54        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/17/2020    55        0      356        0        0      491      491      491
TAB:  US_Illinois_Lake Deaths    .            56        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/19/2020    57        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    .            58        0      356        0        0        0        0        0
TAB:  US_Illinois_Lake Deaths    3/21/2020    59        0      356        0        0      163     1473     1473
TAB:  US_Illinois_Lake Deaths    .            60        0      356        0        0      163      818      818
TAB:  US_Illinois_Lake Deaths    3/23/2020    61        0      356        0        0      163     7365      491
TAB:  US_Illinois_Lake Deaths    .            62        0      356        0        0      163     4746      818
TAB:  US_Illinois_Lake Deaths    3/25/2020    63        0      356        0        0      250     1254      585
TAB:  US_Illinois_Lake Deaths    .            64        0      356        0        0      221      569      292
TAB:  US_Illinois_Lake Deaths    3/27/2020    65        0      356        0        0     1129     1507     1507
TAB:  US_Illinois_Lake Deaths    .            66        1      356        0        0      818     2127     1473
TAB:  US_Illinois_Lake Deaths    3/29/2020    67        1      356        0        0     1145     9330     2127
TAB:  US_Illinois_Lake Deaths    .            68        1      356        0        0      491    21115     2127
TAB:  US_Illinois_Lake Deaths    3/31/2020    69        2      356        0        0      491     8675     1800
TAB:  US_Illinois_Lake Deaths    .            70        3      356        0        0     1473    64982     5728
TAB:  US_Illinois_Lake Deaths    4/2/2020     71        8      356        0        0     1145    26353     2782
TAB:  US_Illinois_Lake Deaths    .            72       13      356        0        0     1473    13913     4419
TAB:  US_Illinois_Lake Deaths    4/4/2020     73       13      356      282        1      282      282      282
TAB:  US_Illinois_Lake Deaths    .            74       13      356       19        2       19      900      900
TAB:  US_Illinois_Lake Deaths    4/6/2020     75       15      356       15        2       15       17       16
TAB:  US_Illinois_Lake Deaths    .            76       20      356       30        1       30       35       35
TAB:  US_Illinois_Lake Deaths    4/8/2020     77       23      356       32        5       32       98       98
TAB:  US_Illinois_Lake Deaths    .            78       27      356       32        3       32      203       46
TAB:  US_Illinois_Lake Deaths    4/10/2020    79       31      356       46        4       46      335       85
TAB:  US_Illinois_Lake Deaths    .            80       39      356       72        3       72      913       85
TAB:  US_Illinois_Lake Deaths    4/12/2020    81       42      356       85        3       72      374      203
TAB:  US_Illinois_Lake Deaths    .            82       45      356       85        3       59     1163       98
TAB:  US_Illinois_Lake Deaths    4/14/2020    83       58      356      111        2      111      953      151
TAB:  US_Illinois_Lake Deaths    .            84       62      356      124        2      124      611      177
TAB:  US_Illinois_Lake Deaths    4/16/2020    85       70      356      138        2      138     1965      506
TAB:  US_Illinois_Lake Deaths    .            86       71      356      138        2       85     1242      230
TAB:  US_Illinois_Lake Deaths    4/18/2020    87       75      356      136        2       79      530      148
TAB:  US_Illinois_Lake Deaths    .            88       75      356       77        2       77      265      133
TAB:  US_Illinois_Lake Deaths    4/20/2020    89       82      356      124        2      111      183      130
TAB:  US_Illinois_Lake Deaths    .            90       87      356      124        6      111      243      164
TAB:  US_Illinois_Lake Deaths    4/22/2020    91       89      356      124        6       98      177      138
TAB:  US_Illinois_Lake Deaths    .            92      100      356      138        6      138      164      151
TAB:  US_Illinois_Lake Deaths    4/24/2020    93      105      356      151        6      151      177      164
TAB:  US_Illinois_Lake Deaths    .            94      115      356      190        4      164      203      190
TAB:  US_Illinois_Lake Deaths    4/26/2020    95      118      356      203        4      164      309      203
TAB:  US_Illinois_Lake Deaths    .            96      118      356      190        7      124      269      190
TAB:  US_Illinois_Lake Deaths    4/28/2020    97      123      356      190        6      124     1268      190
TAB:  US_Illinois_Lake Deaths    .            98      128      356      180        5      143     1153      199
TAB:  US_Illinois_Lake Deaths    4/30/2020    99      138      356      203        6      177     1505      269
TAB:  US_Illinois_Lake Deaths    .           100      140      356      203        6      190     2005      309
TAB:  US_Illinois_Lake Deaths    5/2/2020    101      141      356      203        8      138      374      230
TAB:  US_Illinois_Lake Deaths    .           102      145      356      203       10      151      295      216
TAB:  US_Illinois_Lake Deaths    5/4/2020    103      151      356      202        3      178      276      209
TAB:  US_Illinois_Lake Deaths    .           104      151      356      203       12      164      243      203
TAB:  US_Illinois_Lake Deaths    5/6/2020    105      162      356      216       10      190     2531      256
TAB:  US_Illinois_Lake Deaths    .           106      165      356      216        8      203     2071      269
TAB:  US_Illinois_Lake Deaths    5/8/2020    107      170      356      230        6      203     2084      282
TAB:  US_Illinois_Lake Deaths    .           108      173      356      230        8      177      861      282
TAB:  US_Illinois_Lake Deaths    5/10/2020   109      173      356      230        8      177      401      256
TAB:  US_Illinois_Lake Deaths    .           110      173      356      221        3      175      288      229
TAB:  US_Illinois_Lake Deaths    5/12/2020   111      185      356      230        8      216      453      282
TAB:  US_Illinois_Lake Deaths    .           112      194      356      243        6      230      769      309
TAB:  US_Illinois_Lake Deaths    5/14/2020   113      202      356      256        5      243     2557      335
TAB:  US_Illinois_Lake Deaths    .           114      207      356      269        5      243     1624      335
TAB:  US_Illinois_Lake Deaths    5/16/2020   115      209      356      256        5      216     1558      348
TAB:  US_Illinois_Lake Deaths    .           116      215      356      282        5      230     1624      348
TAB:  US_Illinois_Lake Deaths    5/18/2020   117      215      356      282        5      230     2307      387
TAB:  US_Illinois_Lake Deaths    .           118      221      356      295        5      230     2281      414
TAB:  US_Illinois_Lake Deaths    5/20/2020   119      231      356      309        4      269     2360      440
TAB:  US_Illinois_Lake Deaths    .           120      237      356      309        4      282     2583      440
TAB:  US_Illinois_Lake Deaths    5/22/2020   121      249      356      309        3      295     2281      427
TAB:  US_Illinois_Lake Deaths    .           122      250      356      309        4      309     2373      453
TAB:  US_Illinois_Lake Deaths    5/24/2020   123      250      356      348        4      256     2610      493
TAB:  US_Illinois_Lake Deaths    .           124      250      356      348        4      256     2202      545
TAB:  US_Illinois_Lake Deaths    5/26/2020   125      250      356      466        4      256     1992      545
TAB:  US_Illinois_Lake Deaths    .           126      270      356      348        4      322     2399      637
TAB:  US_Illinois_Lake Deaths    5/28/2020   127      281      356      374        4      335     2610      677
TAB:  US_Illinois_Lake Deaths    .           128      287      356      348        3      335     2531      585
TAB:  US_Illinois_Lake Deaths    5/30/2020   129      288      356      387        3      295     2557      611
TAB:  US_Illinois_Lake Deaths    .           130      291      356      295        3      295     2478      624
TAB:  US_Illinois_Lake Deaths    6/1/2020    131      292      356      295        4      295     2281      716
TAB:  US_Illinois_Lake Deaths    .           132      307      356      414        3      361     2307      729
TAB:  US_Illinois_Lake Deaths    6/3/2020    133      315      356      374        2      374     2583      795
TAB:  US_Illinois_Lake Deaths    .           134      330      356      401        3      401     2426      703
TAB:  US_Illinois_Lake Deaths    6/5/2020    135      334      356      414        3      414     2176      729
TAB:  US_Illinois_Lake Deaths    .           136      342      356      427        4      374     2478      650
TAB:  US_Illinois_Lake Deaths    6/7/2020    137      344      356      427        3      348     2478      598
TAB:  US_Illinois_Lake Deaths    .           138      345      356      348        4      348     2399      637
TAB:  US_Illinois_Lake Deaths    6/9/2020    139      356      356      440        3      401     2583      690
