TAB:  US_Wisconsin_Milwaukee Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Wisconsin_Milwaukee Confirmed 2/24/2020    33        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            34        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/26/2020    35        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            36        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 2/28/2020    37        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            38        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/1/2020     39        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            40        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/3/2020     41        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            42        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/5/2020     43        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            44        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/7/2020     45        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            46        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/9/2020     47        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            48        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/11/2020    49        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            50        0     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/13/2020    51        2     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            52        6     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/15/2020    53        6     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            54       13     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/17/2020    55       24     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed .            56       47     8973        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Confirmed 3/19/2020    57       62     8973    25691        1    25691    25691    25691
TAB:  US_Wisconsin_Milwaukee Confirmed .            58       95     8973      477        1      477     6268     6268
TAB:  US_Wisconsin_Milwaukee Confirmed 3/21/2020    59      126     8973      434        1      434     1508      466
TAB:  US_Wisconsin_Milwaukee Confirmed .            60      182     8973      916        1      916     2320     1544
TAB:  US_Wisconsin_Milwaukee Confirmed 3/23/2020    61      204     8973      640        1      640     1290      667
TAB:  US_Wisconsin_Milwaukee Confirmed .            62      243     8973      391        1      391      780      549
TAB:  US_Wisconsin_Milwaukee Confirmed 3/25/2020    63      325     8973      873        1      873     1199     1074
TAB:  US_Wisconsin_Milwaukee Confirmed .            64      347     8973      788        1      788     1015      871
TAB:  US_Wisconsin_Milwaukee Confirmed 3/27/2020    65      411     8973      933        3      859     1158     1008
TAB:  US_Wisconsin_Milwaukee Confirmed .            66      541     8973     1491        4     1491    39283     2817
TAB:  US_Wisconsin_Milwaukee Confirmed 3/29/2020    67      606     8973     1491        2     1491    23039     3149
TAB:  US_Wisconsin_Milwaukee Confirmed .            68      617     8973     1519        3      956     3883     1744
TAB:  US_Wisconsin_Milwaukee Confirmed 3/31/2020    69      710     8973     1130        1     1130     2438     1623
TAB:  US_Wisconsin_Milwaukee Confirmed .            70      780     8973     1541        2     1088     2025     1541
TAB:  US_Wisconsin_Milwaukee Confirmed 4/2/2020     71      869     8973     1823        6     1491     2154     1823
TAB:  US_Wisconsin_Milwaukee Confirmed .            72     1023     8973     3480        4     1823     4806     3149
TAB:  US_Wisconsin_Milwaukee Confirmed 4/4/2020     73     1106     8973     2154        4     2154     5801     3812
TAB:  US_Wisconsin_Milwaukee Confirmed .            74     1190     8973     3812        4     2154     5138     3480
TAB:  US_Wisconsin_Milwaukee Confirmed 4/6/2020     75     1256     8973     2154        4     1491     7127     2817
TAB:  US_Wisconsin_Milwaukee Confirmed .            76     1323     8973     2313        2     1517     3345     2608
TAB:  US_Wisconsin_Milwaukee Confirmed 4/8/2020     77     1416     8973     1811        2     1811     3171     2678
TAB:  US_Wisconsin_Milwaukee Confirmed .            78     1484     8973     2377        2     1927     3086     2590
TAB:  US_Wisconsin_Milwaukee Confirmed 4/10/2020    79     1575     8973     2817       10     2154     9779     2817
TAB:  US_Wisconsin_Milwaukee Confirmed .            80     1653     8973     2793       12     2205     7791     4557
TAB:  US_Wisconsin_Milwaukee Confirmed 4/12/2020    81     1710     8973     2752        4     2357     3998     2668
TAB:  US_Wisconsin_Milwaukee Confirmed .            82     1743     8973     2476        3     1903     2681     2476
TAB:  US_Wisconsin_Milwaukee Confirmed 4/14/2020    83     1795     8973     2470        5     1980     2615     2377
TAB:  US_Wisconsin_Milwaukee Confirmed .            84     1870     8973     2497        4     2274     2602     2471
TAB:  US_Wisconsin_Milwaukee Confirmed 4/16/2020    85     1947     8973     2486       21     2486     2817     2817
TAB:  US_Wisconsin_Milwaukee Confirmed .            86     2013     8973     2486       12     2486     3480     3149
TAB:  US_Wisconsin_Milwaukee Confirmed 4/18/2020    87     2065     8973     2817       15     2486     3480     3149
TAB:  US_Wisconsin_Milwaukee Confirmed .            88     2150     8973     2817       19     2486     8121     3480
TAB:  US_Wisconsin_Milwaukee Confirmed 4/20/2020    89     2191     8973     2817       20     2817    26354     3480
TAB:  US_Wisconsin_Milwaukee Confirmed .            90     2234     8973     2836        7     2588     4162     3002
TAB:  US_Wisconsin_Milwaukee Confirmed 4/22/2020    91     2304     8973     2900        6     2762     4122     3095
TAB:  US_Wisconsin_Milwaukee Confirmed .            92     2382     8973     3149       11     2817     8121     4143
TAB:  US_Wisconsin_Milwaukee Confirmed 4/24/2020    93     2431     8973     3149       14     2817    13094     4475
TAB:  US_Wisconsin_Milwaukee Confirmed .            94     2525     8973     3149       16     2817     9116     5138
TAB:  US_Wisconsin_Milwaukee Confirmed 4/26/2020    95     2629     8973     3149       11     3149    36299     5469
TAB:  US_Wisconsin_Milwaukee Confirmed .            96     2674     8973     3480       11     3149    33647     5801
TAB:  US_Wisconsin_Milwaukee Confirmed 4/28/2020    97     2722     8973     3480       11     3149    64477     5801
TAB:  US_Wisconsin_Milwaukee Confirmed .            98     2815     8973     3480        9     3149    56521     6132
TAB:  US_Wisconsin_Milwaukee Confirmed 4/30/2020    99     2940     8973     3480        7     3480    61825     6132
TAB:  US_Wisconsin_Milwaukee Confirmed .           100     3044     8973     3812        8     3480    25691     6132
TAB:  US_Wisconsin_Milwaukee Confirmed 5/2/2020    101     3147     8973     3812        7     3812    55527     6795
TAB:  US_Wisconsin_Milwaukee Confirmed .           102     3244     8973     4143        6     3812    36962     6464
TAB:  US_Wisconsin_Milwaukee Confirmed 5/4/2020    103     3296     8973     4143        5     3812    40277     6795
TAB:  US_Wisconsin_Milwaukee Confirmed .           104     3353     8973     4143        7     3480    34973     6132
TAB:  US_Wisconsin_Milwaukee Confirmed 5/6/2020    105     3469     8973     4143        6     4143    36299     7127
TAB:  US_Wisconsin_Milwaukee Confirmed .           106     3573     8973     5138        5     4143    42598     8121
TAB:  US_Wisconsin_Milwaukee Confirmed 5/8/2020    107     3722     8973     4475        5     4475    58179     9116
TAB:  US_Wisconsin_Milwaukee Confirmed .           108     3854     8973     4806        3     4475    38620     8121
TAB:  US_Wisconsin_Milwaukee Confirmed 5/10/2020   109     3952     8973     5801        3     4806    49560     8784
TAB:  US_Wisconsin_Milwaukee Confirmed .           110     4022     8973     5138        3     4475    53869     8121
TAB:  US_Wisconsin_Milwaukee Confirmed 5/12/2020   111     4069     8973     5138        3     4143    65140     9447
TAB:  US_Wisconsin_Milwaukee Confirmed .           112     4215     8973     5138        3     5138    49560    11768
TAB:  US_Wisconsin_Milwaukee Confirmed 5/14/2020   113     4387     8973     6464        2     5138    60499    10773
TAB:  US_Wisconsin_Milwaukee Confirmed .           114     4535     8973     6464        2     6132    46576    10442
TAB:  US_Wisconsin_Milwaukee Confirmed 5/16/2020   115     4759     8973     7127        2     6795    46576    10442
TAB:  US_Wisconsin_Milwaukee Confirmed .           116     4945     8973     7458        2     7458    45250    10773
TAB:  US_Wisconsin_Milwaukee Confirmed 5/18/2020   117     5005     8973     7790        2     6464    53869    11105
TAB:  US_Wisconsin_Milwaukee Confirmed .           118     5076     8973     8784        2     5138    58179     9779
TAB:  US_Wisconsin_Milwaukee Confirmed 5/20/2020   119     5373     8973     8784        2     8453    49228    12431
TAB:  US_Wisconsin_Milwaukee Confirmed .           120     5556     8973     8784        1     8784    63151    14751
TAB:  US_Wisconsin_Milwaukee Confirmed 5/22/2020   121     5735     8973     9447        1     9447    47239    16077
TAB:  US_Wisconsin_Milwaukee Confirmed .           122     5987     8973    10442        1    10442    52543    16741
TAB:  US_Wisconsin_Milwaukee Confirmed 5/24/2020   123     6185     8973     9447        1     9447    40277    14420
TAB:  US_Wisconsin_Milwaukee Confirmed .           124     6352     8973     8784        1     8784    47239    15414
TAB:  US_Wisconsin_Milwaukee Confirmed 5/26/2020   125     6517     8973     8121        1     8121    54201    15083
TAB:  US_Wisconsin_Milwaukee Confirmed .           126     6748     8973     9779        1     9779    64477    16409
TAB:  US_Wisconsin_Milwaukee Confirmed 5/28/2020   127     6952     8973    13757        3    11105    49228    17404
TAB:  US_Wisconsin_Milwaukee Confirmed .           128     7429     8973    15083        1    15083    62488    21713
TAB:  US_Wisconsin_Milwaukee Confirmed 5/30/2020   129     7656     8973    16409        1    16409    51549    24034
TAB:  US_Wisconsin_Milwaukee Confirmed .           130     7750     8973     9447        1     9447    58842    23039
TAB:  US_Wisconsin_Milwaukee Confirmed 6/1/2020    131     7799     8973     7790        1     7790    63151    24365
TAB:  US_Wisconsin_Milwaukee Confirmed .           132     8004     8973     8453        1     8453    53869    22376
TAB:  US_Wisconsin_Milwaukee Confirmed 6/3/2020    133     8108     8973     8453        1     8453    55858    19393
TAB:  US_Wisconsin_Milwaukee Confirmed .           134     8388     8973    13425        2     9779    58842    21713
TAB:  US_Wisconsin_Milwaukee Confirmed 6/5/2020    135     8547     8973    10110        1    10110    61162    22376
TAB:  US_Wisconsin_Milwaukee Confirmed .           136     8688     8973    12762        2    10110    62488    19061
TAB:  US_Wisconsin_Milwaukee Confirmed 6/7/2020    137     8813     8973    10442        2     9447    63151    19724
TAB:  US_Wisconsin_Milwaukee Confirmed .           138     8900     8973    10110        2     9116    62488    15746
TAB:  US_Wisconsin_Milwaukee Confirmed 6/9/2020    139     8973     8973    10110        3     9116    61162    15083
