TAB:  US_New_Jersey_Union Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Union Confirmed .            36        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 2/28/2020    37        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            38        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/1/2020     39        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            40        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/3/2020     41        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            42        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/5/2020     43        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            44        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/7/2020     45        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            46        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/9/2020     47        0    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            48        1    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/11/2020    49        1    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            50        1    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/13/2020    51        1    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            52        1    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/15/2020    53        3    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            54        8    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed 3/17/2020    55       15    16302        0        0        0        0        0
TAB:  US_New_Jersey_Union Confirmed .            56       26    16302     8733        1     8733     8733     8733
TAB:  US_New_Jersey_Union Confirmed 3/19/2020    57       29    16302      301        2      301     2710     2710
TAB:  US_New_Jersey_Union Confirmed .            58       43    16302      301        4      301     5119     5119
TAB:  US_New_Jersey_Union Confirmed 3/21/2020    59       81    16302      903        2      301     3914      903
TAB:  US_New_Jersey_Union Confirmed .            60      124    16302     1505        1     1505    14153     5721
TAB:  US_New_Jersey_Union Confirmed 3/23/2020    61      189    16302     3312        1     3312    37642    21983
TAB:  US_New_Jersey_Union Confirmed .            62      246    16302     2107        1     2107    28006     6926
TAB:  US_New_Jersey_Union Confirmed 3/25/2020    63      262    16302      301        2      301    42460     4517
TAB:  US_New_Jersey_Union Confirmed .            64      432    16302     4517        1     4517    84620    14153
TAB:  US_New_Jersey_Union Confirmed 3/27/2020    65      519    16302     8130        2     3312    29812    11142
TAB:  US_New_Jersey_Union Confirmed .            66      742    16302     9335        2     7528    52097    24994
TAB:  US_New_Jersey_Union Confirmed 3/29/2020    67      896    16302    10539        2     8733   115938    23790
TAB:  US_New_Jersey_Union Confirmed .            68     1213    16302    43063        2     8733   108711    24994
TAB:  US_New_Jersey_Union Confirmed 3/31/2020    69     1418    16302    39449        2     6323    86427    24994
TAB:  US_New_Jersey_Union Confirmed .            70     1661    16302    35325        2     3431    64797    21599
TAB:  US_New_Jersey_Union Confirmed 4/2/2020     71     2010    16302     5760        1     5760    40590    21300
TAB:  US_New_Jersey_Union Confirmed .            72     2487    16302    23292        2    11739    51988    24783
TAB:  US_New_Jersey_Union Confirmed 4/4/2020     73     2916    16302    23790        2    15960   101484    29812
TAB:  US_New_Jersey_Union Confirmed .            74     3216    16302    19574        2    11142    43063    24994
TAB:  US_New_Jersey_Union Confirmed 4/6/2020     75     3685    16302    23788        2     7030    28796    20706
TAB:  US_New_Jersey_Union Confirmed .            76     4368    16302    29540        4    17724    37775    26317
TAB:  US_New_Jersey_Union Confirmed 4/8/2020     77     4831    16302    21983        3    18971    44267    26199
TAB:  US_New_Jersey_Union Confirmed .            78     5203    16302    22076        2    12556    27165    22076
TAB:  US_New_Jersey_Union Confirmed 4/10/2020    79     5575    16302    15806        2     6984    25070    17718
TAB:  US_New_Jersey_Union Confirmed .            80     5865    16302    17980        3     6783    22854    15214
TAB:  US_New_Jersey_Union Confirmed 4/12/2020    81     6180    16302     7301        2     7301    20737    13493
TAB:  US_New_Jersey_Union Confirmed .            82     6636    16302     8793        2     8654    21394    13778
TAB:  US_New_Jersey_Union Confirmed 4/14/2020    83     7265    16302    11744        5    11142   100881    15960
TAB:  US_New_Jersey_Union Confirmed .            84     7438    16302    11142        5    11142    29210    14755
TAB:  US_New_Jersey_Union Confirmed 4/16/2020    85     7904    16302    11744        7    11744    25596    14755
TAB:  US_New_Jersey_Union Confirmed .            86     8429    16302    12949        8    12346    34028    15358
TAB:  US_New_Jersey_Union Confirmed 4/18/2020    87     8959    16302    13551        8    13551    59926    16562
TAB:  US_New_Jersey_Union Confirmed .            88     9609    16302    15358        9    14755    25596    17767
TAB:  US_New_Jersey_Union Confirmed 4/20/2020    89     9972    16302    15960       13    15358   100881    18369
TAB:  US_New_Jersey_Union Confirmed .            90    10228    16302    15688       10    11704    98864    20171
TAB:  US_New_Jersey_Union Confirmed 4/22/2020    91    10484    16302    15765        6    11233    33135    16709
TAB:  US_New_Jersey_Union Confirmed .            92    10935    16302    15813        6    12691    26400    16491
TAB:  US_New_Jersey_Union Confirmed 4/24/2020    93    11208    16302    15960       20    12949    21983    16562
TAB:  US_New_Jersey_Union Confirmed .            94    11523    16302    15960       20    13551   106904    17164
TAB:  US_New_Jersey_Union Confirmed 4/26/2020    95    11853    16302    15960       20    14153    50290    17164
TAB:  US_New_Jersey_Union Confirmed .            96    12011    16302    15797        9    13360    17672    15985
TAB:  US_New_Jersey_Union Confirmed 4/28/2020    97    12188    16302    15832        9    12976    16504    15160
TAB:  US_New_Jersey_Union Confirmed .            98    12380    16302    15689        8    13081    16178    14467
TAB:  US_New_Jersey_Union Confirmed 4/30/2020    99    12578    16302    15533       11    13597    16017    14726
TAB:  US_New_Jersey_Union Confirmed .           100    12779    16302    15358       24    14153    15960    15358
TAB:  US_New_Jersey_Union Confirmed 5/2/2020    101    12996    16302    15358       29    14153    18369    15358
TAB:  US_New_Jersey_Union Confirmed .           102    13225    16302    15358       32    14755    25596    16562
TAB:  US_New_Jersey_Union Confirmed 5/4/2020    103    13357    16302    15358       33    14755    24392    17164
TAB:  US_New_Jersey_Union Confirmed .           104    13503    16302    15380       22    14453    19090    15689
TAB:  US_New_Jersey_Union Confirmed 5/6/2020    105    13604    16302    15319       24    13994    16820    15319
TAB:  US_New_Jersey_Union Confirmed .           106    13781    16302    15312       25    14888    16500    15482
TAB:  US_New_Jersey_Union Confirmed 5/8/2020    107    13917    16302    15358       44    15358    16562    15960
TAB:  US_New_Jersey_Union Confirmed .           108    13984    16302    15380       25    15037    15980    15466
TAB:  US_New_Jersey_Union Confirmed 5/10/2020   109    14057    16302    15389       31    14304    15389    14924
TAB:  US_New_Jersey_Union Confirmed .           110    14164    16302    15389       35    14769    15389    15079
TAB:  US_New_Jersey_Union Confirmed 5/12/2020   111    14203    16302    15234       28    14459    15389    14924
TAB:  US_New_Jersey_Union Confirmed .           112    14306    16302    15358       43    14755    15358    15358
TAB:  US_New_Jersey_Union Confirmed 5/14/2020   113    14385    16302    15358       44    14755    15960    15358
TAB:  US_New_Jersey_Union Confirmed .           114    14492    16302    15358       57    15358    21380    15960
TAB:  US_New_Jersey_Union Confirmed 5/16/2020   115    14569    16302    15358       54    15358    25596    15960
TAB:  US_New_Jersey_Union Confirmed .           116    14702    16302    15358       48    15358    18369    16562
TAB:  US_New_Jersey_Union Confirmed 5/18/2020   117    14903    16302    15358       35    15358    53301    17767
TAB:  US_New_Jersey_Union Confirmed .           118    15031    16302    15960       40    15960    84018    17767
TAB:  US_New_Jersey_Union Confirmed 5/20/2020   119    15122    16302    15960       37    15960    39449    17767
TAB:  US_New_Jersey_Union Confirmed .           120    15176    16302    15960       38    15358    36437    17767
TAB:  US_New_Jersey_Union Confirmed 5/22/2020   121    15181    16302    15960       37    15358    41858    18369
TAB:  US_New_Jersey_Union Confirmed .           122    15186    16302    15960       37    15358    38847    18971
TAB:  US_New_Jersey_Union Confirmed 5/24/2020   123    15169    16302    15960       38    15358    38244    17767
TAB:  US_New_Jersey_Union Confirmed .           124    15218    16302    15788       32    15348    20079    16448
TAB:  US_New_Jersey_Union Confirmed 5/26/2020   125    15293    16302    15795       35    15362    17180    16141
TAB:  US_New_Jersey_Union Confirmed .           126    15324    16302    15960       46    15358    16562    15960
TAB:  US_New_Jersey_Union Confirmed 5/28/2020   127    15475    16302    15960       47    15960    28608    16562
TAB:  US_New_Jersey_Union Confirmed .           128    15610    16302    15960       37    15960    18369    17164
TAB:  US_New_Jersey_Union Confirmed 5/30/2020   129    15764    16302    15960       27    15960    20778    17767
TAB:  US_New_Jersey_Union Confirmed .           130    15821    16302    16562       20    15960    26801    18369
TAB:  US_New_Jersey_Union Confirmed 6/1/2020    131    15858    16302    16562       26    15960    27403    18369
TAB:  US_New_Jersey_Union Confirmed .           132    15868    16302    16562       34    15960    23187    18369
TAB:  US_New_Jersey_Union Confirmed 6/3/2020    133    15911    16302    16562       37    15960    20778    18369
TAB:  US_New_Jersey_Union Confirmed .           134    15953    16302    16562       39    15960    83415    17767
TAB:  US_New_Jersey_Union Confirmed 6/5/2020    135    16038    16302    16562       42    16562    29812    18369
TAB:  US_New_Jersey_Union Confirmed .           136    16116    16302    16562       40    16562    25596    18369
TAB:  US_New_Jersey_Union Confirmed 6/7/2020    137    16186    16302    16562       39    16562    56313    18971
TAB:  US_New_Jersey_Union Confirmed .           138    16241    16302    16562       26    16562    24392    18971
TAB:  US_New_Jersey_Union Confirmed 6/9/2020    139    16302    16302    16562       17    16562    39449    18971
