TAB:  US_Maryland_Baltimore Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Baltimore Deaths    2/24/2020    33        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            34        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    2/26/2020    35        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            36        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    2/28/2020    37        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            38        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/1/2020     39        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            40        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/3/2020     41        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            42        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/5/2020     43        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            44        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/7/2020     45        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            46        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/9/2020     47        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            48        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/11/2020    49        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            50        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/13/2020    51        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            52        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/15/2020    53        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            54        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/17/2020    55        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            56        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/19/2020    57        0      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            58        1      398        0        0      126     4936     4936
TAB:  US_Maryland_Baltimore Deaths    3/21/2020    59        1      398        0        0      132     2170     2170
TAB:  US_Maryland_Baltimore Deaths    .            60        1      398        0        0     3670     7720     6202
TAB:  US_Maryland_Baltimore Deaths    3/23/2020    61        1      398        0        0     5442     9999     7720
TAB:  US_Maryland_Baltimore Deaths    .            62        1      398        0        0      379    23922     2911
TAB:  US_Maryland_Baltimore Deaths    3/25/2020    63        1      398        0        0      126    12277     1645
TAB:  US_Maryland_Baltimore Deaths    .            64        1      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/27/2020    65        1      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    .            66        1      398        0        0        0        0        0
TAB:  US_Maryland_Baltimore Deaths    3/29/2020    67        1      398        0        0      632      632      632
TAB:  US_Maryland_Baltimore Deaths    .            68        1      398        0        0      379    36326      886
TAB:  US_Maryland_Baltimore Deaths    3/31/2020    69        1      398        0        0      379     7720     3164
TAB:  US_Maryland_Baltimore Deaths    .            70        1      398        0        0     1139    43667     6708
TAB:  US_Maryland_Baltimore Deaths    4/2/2020     71        3      398        0        0     2404    41136    12530
TAB:  US_Maryland_Baltimore Deaths    .            72        3      398        0        0     4176    43161    16580
TAB:  US_Maryland_Baltimore Deaths    4/4/2020     73        4      398        0        0     2404    30503    14049
TAB:  US_Maryland_Baltimore Deaths    .            74        6      398       22        1       22      198       36
TAB:  US_Maryland_Baltimore Deaths    4/6/2020     75       11      398      374        1      374      374      374
TAB:  US_Maryland_Baltimore Deaths    .            76       11      398       80        1       80      404      404
TAB:  US_Maryland_Baltimore Deaths    4/8/2020     77       13      398       22        1       22      448       80
TAB:  US_Maryland_Baltimore Deaths    .            78       16      398       22        2       22      815       51
TAB:  US_Maryland_Baltimore Deaths    4/10/2020    79       21      398       51        3       51      507      110
TAB:  US_Maryland_Baltimore Deaths    .            80       26      398       80        2       80      521      154
TAB:  US_Maryland_Baltimore Deaths    4/12/2020    81       30      398       95        2       95     1594      154
TAB:  US_Maryland_Baltimore Deaths    .            82       31      398       80        3       36     2227      110
TAB:  US_Maryland_Baltimore Deaths    4/14/2020    83       41      398      139        3      124     1639      271
TAB:  US_Maryland_Baltimore Deaths    .            84       41      398      139        4      110     2197      316
TAB:  US_Maryland_Baltimore Deaths    4/16/2020    85       41      398       95        3       80     2109      139
TAB:  US_Maryland_Baltimore Deaths    .            86       37      398       36       11       36     2050      154
TAB:  US_Maryland_Baltimore Deaths    4/18/2020    87       45      398       80        2       80     1536      198
TAB:  US_Maryland_Baltimore Deaths    .            88       50      398       80        5       66     1227      139
TAB:  US_Maryland_Baltimore Deaths    4/20/2020    89       50      398       65        4       50      953      138
TAB:  US_Maryland_Baltimore Deaths    .            90       58      398       80        3       80      453      115
TAB:  US_Maryland_Baltimore Deaths    4/22/2020    91       67      398      110        4       95     1036      183
TAB:  US_Maryland_Baltimore Deaths    .            92       71      398      110        3      110     2329      213
TAB:  US_Maryland_Baltimore Deaths    4/24/2020    93       74      398      124        4       80     1918      198
TAB:  US_Maryland_Baltimore Deaths    .            94       79      398      124        7       95      448      183
TAB:  US_Maryland_Baltimore Deaths    4/26/2020    95       81      398      124        7       95      668      183
TAB:  US_Maryland_Baltimore Deaths    .            96       98      398      169        4      154     1844      227
TAB:  US_Maryland_Baltimore Deaths    4/28/2020    97      107      398      183        4      183      374      242
TAB:  US_Maryland_Baltimore Deaths    .            98      118      398      227        3      213      507      286
TAB:  US_Maryland_Baltimore Deaths    4/30/2020    99      123      398      242        5      154      595      345
TAB:  US_Maryland_Baltimore Deaths    .           100      129      398      257        5      139      624      330
TAB:  US_Maryland_Baltimore Deaths    5/2/2020    101      139      398      271        3      183     1918      345
TAB:  US_Maryland_Baltimore Deaths    .           102      147      398      286        3      198     1947      389
TAB:  US_Maryland_Baltimore Deaths    5/4/2020    103      151      398      301        5      198     1697      389
TAB:  US_Maryland_Baltimore Deaths    .           104      157      398      213        3      183     2388      389
TAB:  US_Maryland_Baltimore Deaths    5/6/2020    105      163      398      198        3      198     1080      374
TAB:  US_Maryland_Baltimore Deaths    .           106      169      398      213        4      198     1888      389
TAB:  US_Maryland_Baltimore Deaths    5/8/2020    107      177      398      316        5      227     1727      389
TAB:  US_Maryland_Baltimore Deaths    .           108      185      398      316        5      242     1124      389
TAB:  US_Maryland_Baltimore Deaths    5/10/2020   109      191      398      330        6      257      830      404
TAB:  US_Maryland_Baltimore Deaths    .           110      194      398      330        6      213      874      389
TAB:  US_Maryland_Baltimore Deaths    5/12/2020   111      204      398      330        6      271     1403      404
TAB:  US_Maryland_Baltimore Deaths    .           112      218      398      360        6      330      977      463
TAB:  US_Maryland_Baltimore Deaths    5/14/2020   113      223      398      360        6      345     1212      463
TAB:  US_Maryland_Baltimore Deaths    .           114      234      398      374        6      360     2285      507
TAB:  US_Maryland_Baltimore Deaths    5/16/2020   115      240      398      418        7      286     2197      477
TAB:  US_Maryland_Baltimore Deaths    .           116      250      398      433        6      330     2609      492
TAB:  US_Maryland_Baltimore Deaths    5/18/2020   117      255      398      448        7      316     1844      521
TAB:  US_Maryland_Baltimore Deaths    .           118      263      398      404        6      330     2271      536
TAB:  US_Maryland_Baltimore Deaths    5/20/2020   119      277      398      492        7      418     2506      580
TAB:  US_Maryland_Baltimore Deaths    .           120      286      398      433        5      433     2285      595
TAB:  US_Maryland_Baltimore Deaths    5/22/2020   121      292      398      448        5      433     2800      624
TAB:  US_Maryland_Baltimore Deaths    .           122      299      398      536        6      330     2609      624
TAB:  US_Maryland_Baltimore Deaths    5/24/2020   123      300      398      550        5      313     1446      541
TAB:  US_Maryland_Baltimore Deaths    .           124      307      398      458        3      325      967      527
TAB:  US_Maryland_Baltimore Deaths    5/26/2020   125      312      398      514        4      330      794      510
TAB:  US_Maryland_Baltimore Deaths    .           126      320      398      463        7      360      712      507
TAB:  US_Maryland_Baltimore Deaths    5/28/2020   127      323      398      507       10      360      654      507
TAB:  US_Maryland_Baltimore Deaths    .           128      336      398      521       11      433      639      536
TAB:  US_Maryland_Baltimore Deaths    5/30/2020   129      340      398      521       11      448      610      536
TAB:  US_Maryland_Baltimore Deaths    .           130      344      398      521       11      374     1256      521
TAB:  US_Maryland_Baltimore Deaths    6/1/2020    131      349      398      507       11      360     1697      492
TAB:  US_Maryland_Baltimore Deaths    .           132      358      398      477       13      463     2829      536
TAB:  US_Maryland_Baltimore Deaths    6/3/2020    133      366      398      521       15      477     1345      551
TAB:  US_Maryland_Baltimore Deaths    .           134      371      398      521       16      492     1036      565
TAB:  US_Maryland_Baltimore Deaths    6/5/2020    135      376      398      521       16      418     2770      565
TAB:  US_Maryland_Baltimore Deaths    .           136      384      398      536       18      448     2712      595
TAB:  US_Maryland_Baltimore Deaths    6/7/2020    137      386      398      533       14      423     1457      566
TAB:  US_Maryland_Baltimore Deaths    .           138      388      398      543        9      395      815      520
TAB:  US_Maryland_Baltimore Deaths    6/9/2020    139      398      398      531       10      469      794      540
