TAB:  US_Georgia_Cobb Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Georgia_Cobb Deaths    3/3/2020     41        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            42        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    3/5/2020     43        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            44        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    3/7/2020     45        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            46        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    3/9/2020     47        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            48        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    3/11/2020    49        0      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            50        1      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    3/13/2020    51        1      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            52        1      203        0        0       61       61       61
TAB:  US_Georgia_Cobb Deaths    3/15/2020    53        1      203        0        0       61       61       61
TAB:  US_Georgia_Cobb Deaths    .            54        1      203        0        0       58      492       91
TAB:  US_Georgia_Cobb Deaths    3/17/2020    55        1      203        0        0       61       73       70
TAB:  US_Georgia_Cobb Deaths    .            56        1      203        0        0       60       61       61
TAB:  US_Georgia_Cobb Deaths    3/19/2020    57        1      203        0        0       61      184      184
TAB:  US_Georgia_Cobb Deaths    .            58        1      203        0        0      184      554      431
TAB:  US_Georgia_Cobb Deaths    3/21/2020    59        2      203        0        0      184      308      308
TAB:  US_Georgia_Cobb Deaths    .            60        2      203        0        0      308     1417      678
TAB:  US_Georgia_Cobb Deaths    3/23/2020    61        2      203        0        0      431     3143     1294
TAB:  US_Georgia_Cobb Deaths    .            62        2      203        0        0      308     2034     1047
TAB:  US_Georgia_Cobb Deaths    3/25/2020    63        2      203      546        2      546     1292     1251
TAB:  US_Georgia_Cobb Deaths    .            64        2      203      462        1      462      939      754
TAB:  US_Georgia_Cobb Deaths    3/27/2020    65        2      203    -            2      749     1251     1122
TAB:  US_Georgia_Cobb Deaths    .            66        8      203        0        0     1294    14979     6349
TAB:  US_Georgia_Cobb Deaths    3/29/2020    67        9      203        0        0        0        0        0
TAB:  US_Georgia_Cobb Deaths    .            68        9      203       11        4       11       11       11
TAB:  US_Georgia_Cobb Deaths    3/31/2020    69       12      203       18        4       18       26       26
TAB:  US_Georgia_Cobb Deaths    .            70       15      203       18        2       18       48       33
TAB:  US_Georgia_Cobb Deaths    4/2/2020     71       17      203       18        2       18       56       33
TAB:  US_Georgia_Cobb Deaths    .            72       18      203       18        3       18      258       33
TAB:  US_Georgia_Cobb Deaths    4/4/2020     73       20      203       26        6       26       78       41
TAB:  US_Georgia_Cobb Deaths    .            74       23      203       33        3       33      266       63
TAB:  US_Georgia_Cobb Deaths    4/6/2020     75       25      203       33        5       33     1442       63
TAB:  US_Georgia_Cobb Deaths    .            76       29      203       41        2       41      296       78
TAB:  US_Georgia_Cobb Deaths    4/8/2020     77       29      203       41        4       41      475       78
TAB:  US_Georgia_Cobb Deaths    .            78       29      203       33        3       33      610       71
TAB:  US_Georgia_Cobb Deaths    4/10/2020    79       33      203       48        5       41      813       71
TAB:  US_Georgia_Cobb Deaths    .            80       33      203       41        8       41      813       86
TAB:  US_Georgia_Cobb Deaths    4/12/2020    81       33      203       41       11       33      708       71
TAB:  US_Georgia_Cobb Deaths    .            82       35      203       40        8       37      189       54
TAB:  US_Georgia_Cobb Deaths    4/14/2020    83       41      203       54        1       54      139       68
TAB:  US_Georgia_Cobb Deaths    .            84       43      203       63        3       56      161       86
TAB:  US_Georgia_Cobb Deaths    4/16/2020    85       47      203       71        2       63     1487       93
TAB:  US_Georgia_Cobb Deaths    .            86       51      203       78        3       78      565      116
TAB:  US_Georgia_Cobb Deaths    4/18/2020    87       51      203       78        4       63      408      108
TAB:  US_Georgia_Cobb Deaths    .            88       51      203       78        3       56     1292      108
TAB:  US_Georgia_Cobb Deaths    4/20/2020    89       56      203       78        4       71      648      116
TAB:  US_Georgia_Cobb Deaths    .            90       59      203       86        4       78      715      123
TAB:  US_Georgia_Cobb Deaths    4/22/2020    91       63      203       93        4       86      858      153
TAB:  US_Georgia_Cobb Deaths    .            92       66      203      116        4       93      708      183
TAB:  US_Georgia_Cobb Deaths    4/24/2020    93       72      203      108        4      101      993      168
TAB:  US_Georgia_Cobb Deaths    .            94       74      203      116        3      108      693      183
TAB:  US_Georgia_Cobb Deaths    4/26/2020    95       75      203      116        3       78     1090      183
TAB:  US_Georgia_Cobb Deaths    .            96       81      203      123        5      123     1165      221
TAB:  US_Georgia_Cobb Deaths    4/28/2020    97       81      203      123        5      123     1442      281
TAB:  US_Georgia_Cobb Deaths    .            98       88      203      131        5      131     1442      258
TAB:  US_Georgia_Cobb Deaths    4/30/2020    99       94      203      146        4      138     1113      363
TAB:  US_Georgia_Cobb Deaths    .           100       96      203      153        5      146     1060      333
TAB:  US_Georgia_Cobb Deaths    5/2/2020    101       96      203      153        5       93     1165      311
TAB:  US_Georgia_Cobb Deaths    .           102       97      203       97        3       97      674      231
TAB:  US_Georgia_Cobb Deaths    5/4/2020    103      101      203      150        3      108      488      221
TAB:  US_Georgia_Cobb Deaths    .           104      102      203      153        8      108      393      198
TAB:  US_Georgia_Cobb Deaths    5/6/2020    105      107      203      153        7      131      341      198
TAB:  US_Georgia_Cobb Deaths    .           106      108      203      153        7      123      296      198
TAB:  US_Georgia_Cobb Deaths    5/8/2020    107      113      203      161       10      146      281      198
TAB:  US_Georgia_Cobb Deaths    .           108      116      203      161       13      161      266      206
TAB:  US_Georgia_Cobb Deaths    5/10/2020   109      117      203      161       13      123      251      198
TAB:  US_Georgia_Cobb Deaths    .           110      118      203      161       15      116      565      183
TAB:  US_Georgia_Cobb Deaths    5/12/2020   111      124      203      168       15      168      873      213
TAB:  US_Georgia_Cobb Deaths    .           112      127      203      168        8      168     1008      213
TAB:  US_Georgia_Cobb Deaths    5/14/2020   113      129      203      176        8      168      708      221
TAB:  US_Georgia_Cobb Deaths    .           114      132      203      198       10      146     1015      228
TAB:  US_Georgia_Cobb Deaths    5/16/2020   115      132      203      198       10      138      730      206
TAB:  US_Georgia_Cobb Deaths    .           116      132      203      175        7      135      314      195
TAB:  US_Georgia_Cobb Deaths    5/18/2020   117      133      203      182        7      132      221      185
TAB:  US_Georgia_Cobb Deaths    .           118      135      203      174        8      138      205      177
TAB:  US_Georgia_Cobb Deaths    5/20/2020   119      135      203      174        7      137      198      171
TAB:  US_Georgia_Cobb Deaths    .           120      138      203      168       15      146      198      176
TAB:  US_Georgia_Cobb Deaths    5/22/2020   121      141      203      168       17      153      198      176
TAB:  US_Georgia_Cobb Deaths    .           122      141      203      168       20      153      243      176
TAB:  US_Georgia_Cobb Deaths    5/24/2020   123      142      203      168       19      146      206      176
TAB:  US_Georgia_Cobb Deaths    .           124      146      203      168       24      161      183      176
TAB:  US_Georgia_Cobb Deaths    5/26/2020   125      150      203      176       23      176      191      183
TAB:  US_Georgia_Cobb Deaths    .           126      157      203      183       14      183      243      206
TAB:  US_Georgia_Cobb Deaths    5/28/2020   127      168      203      198       15      198      910      288
TAB:  US_Georgia_Cobb Deaths    .           128      170      203      206       14      206      573      281
TAB:  US_Georgia_Cobb Deaths    5/30/2020   129      171      203      213       15      168      738      266
TAB:  US_Georgia_Cobb Deaths    .           130      175      203      213       12      183      993      273
TAB:  US_Georgia_Cobb Deaths    6/1/2020    131      183      203      273        9      221     1315      296
TAB:  US_Georgia_Cobb Deaths    .           132      183      203      281        6      206      828      303
TAB:  US_Georgia_Cobb Deaths    6/3/2020    133      186      203      288        7      198      940      296
TAB:  US_Georgia_Cobb Deaths    .           134      190      203      296        6      198     1075      303
TAB:  US_Georgia_Cobb Deaths    6/5/2020    135      191      203      303        6      198     1098      303
TAB:  US_Georgia_Cobb Deaths    .           136      193      203      206        4      198     1075      311
TAB:  US_Georgia_Cobb Deaths    6/7/2020    137      193      203      198        8      198      978      318
TAB:  US_Georgia_Cobb Deaths    .           138      196      203      206        7      198      888      318
TAB:  US_Georgia_Cobb Deaths    6/9/2020    139      203      203      318        6      228      910      333
