TAB:  El_Salvador Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  El_Salvador Confirmed .            36        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 2/28/2020    37        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            38        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/1/2020     39        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            40        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/3/2020     41        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            42        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/5/2020     43        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            44        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/7/2020     45        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            46        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/9/2020     47        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            48        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/11/2020    49        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            50        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/13/2020    51        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            52        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/15/2020    53        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            54        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/17/2020    55        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            56        0     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/19/2020    57        1     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            58        1     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/21/2020    59        3     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            60        3     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/23/2020    61        3     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed .            62        5     3191        0        0        0        0        0
TAB:  El_Salvador Confirmed 3/25/2020    63        9     3191      176        1      176      176      176
TAB:  El_Salvador Confirmed .            64       13     3191     1237        1     1237     1237     1237
TAB:  El_Salvador Confirmed 3/27/2020    65       13     3191       58        1       58     1827      176
TAB:  El_Salvador Confirmed .            66       19     3191       63        1       63      774      154
TAB:  El_Salvador Confirmed 3/29/2020    67       24     3191       58        1       58      516      102
TAB:  El_Salvador Confirmed .            68       30     3191       58        2       58      530      412
TAB:  El_Salvador Confirmed 3/31/2020    69       32     3191       58        1       58      166       88
TAB:  El_Salvador Confirmed .            70       32     3191       58        5       58       89       87
TAB:  El_Salvador Confirmed 4/2/2020     71       41     3191       96        2       66      118       82
TAB:  El_Salvador Confirmed .            72       46     3191       58        9       58      176      176
TAB:  El_Salvador Confirmed 4/4/2020     73       56     3191      176        7       58     9725      294
TAB:  El_Salvador Confirmed .            74       62     3191      176        7      176     8664     2652
TAB:  El_Salvador Confirmed 4/6/2020     75       69     3191      176        6       58     3006      294
TAB:  El_Salvador Confirmed .            76       78     3191      176        8      176     2416      412
TAB:  El_Salvador Confirmed 4/8/2020     77       93     3191      294        6      294     6071      648
TAB:  El_Salvador Confirmed .            78      103     3191      294        5      294     6071      884
TAB:  El_Salvador Confirmed 4/10/2020    79      117     3191      412        3      294     9608     1237
TAB:  El_Salvador Confirmed .            80      118     3191      294        5      176    13026      884
TAB:  El_Salvador Confirmed 4/12/2020    81      125     3191      323        3      138     1525      405
TAB:  El_Salvador Confirmed .            82      137     3191      217        2      179      836      330
TAB:  El_Salvador Confirmed 4/14/2020    83      149     3191      294       10      176      648      412
TAB:  El_Salvador Confirmed .            84      159     3191      294       12      294      884      530
TAB:  El_Salvador Confirmed 4/16/2020    85      164     3191      294       12      176      884      412
TAB:  El_Salvador Confirmed .            86      177     3191      294       13      294     1002      530
TAB:  El_Salvador Confirmed 4/18/2020    87      190     3191      412       14      294     3006      648
TAB:  El_Salvador Confirmed .            88      201     3191      412       20      412     3477     1002
TAB:  El_Salvador Confirmed 4/20/2020    89      218     3191      412       10      412     4656      648
TAB:  El_Salvador Confirmed .            90      225     3191      412       11      412     8311     1355
TAB:  El_Salvador Confirmed 4/22/2020    91      237     3191      528        8      341     6557      777
TAB:  El_Salvador Confirmed .            92      250     3191      430        5      430     2223      575
TAB:  El_Salvador Confirmed 4/24/2020    93      274     3191      530       10      412     9608     3241
TAB:  El_Salvador Confirmed .            94      274     3191      530       11      530     5481     1709
TAB:  El_Salvador Confirmed 4/26/2020    95      298     3191      648       10      530    11022     2180
TAB:  El_Salvador Confirmed .            96      323     3191      766        6      530    12083     1237
TAB:  El_Salvador Confirmed 4/28/2020    97      345     3191      648        6      648    12201     1237
TAB:  El_Salvador Confirmed .            98      377     3191      766        4      648     6307     1237
TAB:  El_Salvador Confirmed 4/30/2020    99      395     3191      766        5      766    10904     1473
TAB:  El_Salvador Confirmed .           100      424     3191     1473        4      766    22929     1473
TAB:  El_Salvador Confirmed 5/2/2020    101      446     3191      884        6      884    15974     1709
TAB:  El_Salvador Confirmed .           102      490     3191     1119        3     1002    18214     2180
TAB:  El_Salvador Confirmed 5/4/2020    103      555     3191     1237        2     1119    15148     2652
TAB:  El_Salvador Confirmed .           104      587     3191     1355        2     1355    13498     3477
TAB:  El_Salvador Confirmed 5/6/2020    105      633     3191     1709        2     1473    13852     3477
TAB:  El_Salvador Confirmed .           106      695     3191     1827        2     1709    12319     4067
TAB:  El_Salvador Confirmed 5/8/2020    107      742     3191     1945        3     1945    19157     5128
TAB:  El_Salvador Confirmed .           108      784     3191     1591        2     1591    20336     5128
TAB:  El_Salvador Confirmed 5/10/2020   109      889     3191     2652        1     2652    22693     5010
TAB:  El_Salvador Confirmed .           110      958     3191     3006        1     3006    14205     4656
TAB:  El_Salvador Confirmed 5/12/2020   111      998     3191     3477        1     3477    17978     5363
TAB:  El_Salvador Confirmed .           112     1037     3191     1119        1     1119    22458     5953
TAB:  El_Salvador Confirmed 5/14/2020   113     1112     3191     1709        1     1709    19510     5363
TAB:  El_Salvador Confirmed .           114     1210     3191     3831        1     3831    16917     6660
TAB:  El_Salvador Confirmed 5/16/2020   115     1265     3191     7368        3     3006    19510     5953
TAB:  El_Salvador Confirmed .           116     1338     3191     5481        2     3359    21986     7368
TAB:  El_Salvador Confirmed 5/18/2020   117     1413     3191     2180        1     2180    23401     6542
TAB:  El_Salvador Confirmed .           118     1498     3191     3006        1     3006    18921     7014
TAB:  El_Salvador Confirmed 5/20/2020   119     1571     3191     6071        2     3359    18331     6896
TAB:  El_Salvador Confirmed .           120     1640     3191     3124        1     3124    19510     7250
TAB:  El_Salvador Confirmed 5/22/2020   121     1725     3191     5599        2     3713    20689     7721
TAB:  El_Salvador Confirmed .           122     1819     3191     6307        3     4774    21986    10904
TAB:  El_Salvador Confirmed 5/24/2020   123     1915     3191     6778        2     6542    23165     9254
TAB:  El_Salvador Confirmed .           124     1983     3191     7132        3     6189    22693    10315
TAB:  El_Salvador Confirmed 5/26/2020   125     2042     3191     6307        3     2416    19157     7368
TAB:  El_Salvador Confirmed .           126     2109     3191     5128        2     2416    19746     6307
TAB:  El_Salvador Confirmed 5/28/2020   127     2194     3191     5717        3     3006    20925     6071
TAB:  El_Salvador Confirmed .           128     2278     3191     5599        4     3477    22458     6307
TAB:  El_Salvador Confirmed 5/30/2020   129     2395     3191     5953        5     5363    19510     8900
TAB:  El_Salvador Confirmed .           130     2517     3191     6660        5     6660    23401    10551
TAB:  El_Salvador Confirmed 6/1/2020    131     2582     3191     6896        3     6778    20453     9254
TAB:  El_Salvador Confirmed .           132     2653     3191     7014        4     3006    21986     9254
TAB:  El_Salvador Confirmed 6/3/2020    133     2705     3191     6778        6     2888    23401     8429
TAB:  El_Salvador Confirmed .           134     2781     3191     6542       10     3124    23401     8429
TAB:  El_Salvador Confirmed 6/5/2020    135     2849     3191     6307        6     3241    23401     7368
TAB:  El_Salvador Confirmed .           136     2934     3191     6189        6     3595    21161     7132
TAB:  El_Salvador Confirmed 6/7/2020    137     3015     3191     6071        6     3949    20336     7368
TAB:  El_Salvador Confirmed .           138     3104     3191     6071        6     4420    20689     7368
TAB:  El_Salvador Confirmed 6/9/2020    139     3191     3191     5953        7     4892    22929     8547
