TAB:  US_Delaware_New_Castle Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Delaware_New_Castle Confirmed 3/1/2020     39        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            40        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/3/2020     41        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            42        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/5/2020     43        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            44        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/7/2020     45        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            46        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/9/2020     47        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            48        0     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/11/2020    49        1     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            50        1     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/13/2020    51        4     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            52        6     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/15/2020    53        6     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            54        8     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed 3/17/2020    55       15     4125        0        0        0        0        0
TAB:  US_Delaware_New_Castle Confirmed .            56       17     4125       76        2       76       76       76
TAB:  US_Delaware_New_Castle Confirmed 3/19/2020    57       23     4125       76        2       76    27507    27507
TAB:  US_Delaware_New_Castle Confirmed .            58       27     4125       71        4       71       71       71
TAB:  US_Delaware_New_Castle Confirmed 3/21/2020    59       32     4125       74        3       74       81       75
TAB:  US_Delaware_New_Castle Confirmed .            60       39     4125       77        2       77      201       92
TAB:  US_Delaware_New_Castle Confirmed 3/23/2020    61       44     4125       80        1       80      156       96
TAB:  US_Delaware_New_Castle Confirmed .            62       71     4125      380        2      380    11810     6629
TAB:  US_Delaware_New_Castle Confirmed 3/25/2020    63       79     4125      380        2      380    12877     7848
TAB:  US_Delaware_New_Castle Confirmed .            64       86     4125      380        2       76     4190     2514
TAB:  US_Delaware_New_Castle Confirmed 3/27/2020    65      105     4125      533        2      228     3124     1904
TAB:  US_Delaware_New_Castle Confirmed .            66      130     4125      685        3      380     4800     3276
TAB:  US_Delaware_New_Castle Confirmed 3/29/2020    67      141     4125      685        2      380    11963     2057
TAB:  US_Delaware_New_Castle Confirmed .            68      156     4125      380        2      228     7086     1295
TAB:  US_Delaware_New_Castle Confirmed 3/31/2020    69      197     4125      838        2      838    11048     2362
TAB:  US_Delaware_New_Castle Confirmed .            70      226     4125     1142        2     1142    11810     2819
TAB:  US_Delaware_New_Castle Confirmed 4/2/2020     71      245     4125     1295        2     1142     6629     2666
TAB:  US_Delaware_New_Castle Confirmed .            72      279     4125     1295        2      533     8610     2819
TAB:  US_Delaware_New_Castle Confirmed 4/4/2020     73      400     4125     2666        1     2666    15010     9524
TAB:  US_Delaware_New_Castle Confirmed .            74      436     4125     3581        1     3581    26745    14553
TAB:  US_Delaware_New_Castle Confirmed 4/6/2020     75      496     4125     4495        1     4495    21106    18820
TAB:  US_Delaware_New_Castle Confirmed .            76      571     4125      838        1      838    27507     6781
TAB:  US_Delaware_New_Castle Confirmed 4/8/2020     77      636     4125      838        1      838    30250     7848
TAB:  US_Delaware_New_Castle Confirmed .            78      701     4125    -            2      990    29640     6933
TAB:  US_Delaware_New_Castle Confirmed 4/10/2020    79      751     4125     1142        3     1142    24916     6933
TAB:  US_Delaware_New_Castle Confirmed .            80      807     4125     1142        4     1142    27050     6781
TAB:  US_Delaware_New_Castle Confirmed 4/12/2020    81      880     4125     1447        3     1295    29640    15315
TAB:  US_Delaware_New_Castle Confirmed .            82      919     4125     1355        3     1355    17734    10033
TAB:  US_Delaware_New_Castle Confirmed 4/14/2020    83      947     4125     1241        5     1107    11108     5805
TAB:  US_Delaware_New_Castle Confirmed .            84      974     4125     1200        3     1026     7836     3732
TAB:  US_Delaware_New_Castle Confirmed 4/16/2020    85     1003     4125     1196        3     1072     6106     2781
TAB:  US_Delaware_New_Castle Confirmed .            86     1100     4125     1376        1     1376     4993     2713
TAB:  US_Delaware_New_Castle Confirmed 4/18/2020    87     1205     4125     4257        2     1719     4566     2929
TAB:  US_Delaware_New_Castle Confirmed .            88     1217     4125     3733        4     1752     4190     2971
TAB:  US_Delaware_New_Castle Confirmed 4/20/2020    89     1229     4125     3276        5     1295     3733     2514
TAB:  US_Delaware_New_Castle Confirmed .            90     1303     4125     1952        2     1696     3283     2259
TAB:  US_Delaware_New_Castle Confirmed 4/22/2020    91     1352     4125     1804        2     1613     3060     2154
TAB:  US_Delaware_New_Castle Confirmed .            92     1389     4125     1904        8     1600     2971     2362
TAB:  US_Delaware_New_Castle Confirmed 4/24/2020    93     1486     4125     2057        7     2057     2971     2514
TAB:  US_Delaware_New_Castle Confirmed .            94     1504     4125     2057        7     2057     8305     2514
TAB:  US_Delaware_New_Castle Confirmed 4/26/2020    95     1599     4125     2209        7     2209     3581     2666
TAB:  US_Delaware_New_Castle Confirmed .            96     1629     4125     2209        7     2209     3428     2666
TAB:  US_Delaware_New_Castle Confirmed 4/28/2020    97     1701     4125     2362       11     2362    13639     3428
TAB:  US_Delaware_New_Castle Confirmed .            98     1717     4125     2362        9     2057     7695     3124
TAB:  US_Delaware_New_Castle Confirmed 4/30/2020    99     1734     4125     2324        3     1756     3524     2493
TAB:  US_Delaware_New_Castle Confirmed .           100     1829     4125     2427        4     2404     3885     2677
TAB:  US_Delaware_New_Castle Confirmed 5/2/2020    101     1864     4125     2476        4     2456     3699     2845
TAB:  US_Delaware_New_Castle Confirmed .           102     1903     4125     2514       15     2514     3581     3124
TAB:  US_Delaware_New_Castle Confirmed 5/4/2020    103     1934     4125     2488        4     2038     3332     2713
TAB:  US_Delaware_New_Castle Confirmed .           104     1979     4125     2555        5     2196     3272     2841
TAB:  US_Delaware_New_Castle Confirmed 5/6/2020    105     2087     4125     2666       16     2666     7848     3428
TAB:  US_Delaware_New_Castle Confirmed .           106     2130     4125     2819       14     2666    16992     3886
TAB:  US_Delaware_New_Castle Confirmed 5/8/2020    107     2184     4125     2819       19     2819     5714     3886
TAB:  US_Delaware_New_Castle Confirmed .           108     2275     4125     2971       20     2971    11353     4343
TAB:  US_Delaware_New_Castle Confirmed 5/10/2020   109     2332     4125     2971       11     2971    20192     4648
TAB:  US_Delaware_New_Castle Confirmed .           110     2390     4125     3124       18     3124    30250     4952
TAB:  US_Delaware_New_Castle Confirmed 5/12/2020   111     2440     4125     3124       15     2819    29640     4952
TAB:  US_Delaware_New_Castle Confirmed .           112     2496     4125     3276       18     2819    25678     5105
TAB:  US_Delaware_New_Castle Confirmed 5/14/2020   113     2560     4125     3276       16     3276    23697     5410
TAB:  US_Delaware_New_Castle Confirmed .           114     2619     4125     3428       15     3276    21259     5867
TAB:  US_Delaware_New_Castle Confirmed 5/16/2020   115     2667     4125     3428       14     3428    17296     6019
TAB:  US_Delaware_New_Castle Confirmed .           116     2682     4125     3428       14     2819    23240     5410
TAB:  US_Delaware_New_Castle Confirmed 5/18/2020   117     2738     4125     3519       13     3022    13124     4926
TAB:  US_Delaware_New_Castle Confirmed .           118     2845     4125     3581       13     3581    15925     5867
TAB:  US_Delaware_New_Castle Confirmed 5/20/2020   119     2933     4125     3733       14     3581    21259     6933
TAB:  US_Delaware_New_Castle Confirmed .           120     3053     4125     3886        9     3733    18820     6933
TAB:  US_Delaware_New_Castle Confirmed 5/22/2020   121     3132     4125     4038       11     3886    27354     7695
TAB:  US_Delaware_New_Castle Confirmed .           122     3220     4125     4190        9     4038    29945     8000
TAB:  US_Delaware_New_Castle Confirmed 5/24/2020   123     3309     4125     4343        7     4190    21106     8153
TAB:  US_Delaware_New_Castle Confirmed .           124     3436     4125     4495        8     4343    30250     9219
TAB:  US_Delaware_New_Castle Confirmed 5/26/2020   125     3508     4125     4495        6     4495    28421     9981
TAB:  US_Delaware_New_Castle Confirmed .           126     3528     4125     4648        6     3733    29640     8762
TAB:  US_Delaware_New_Castle Confirmed 5/28/2020   127     3575     4125     4648        6     3733    28421     8915
TAB:  US_Delaware_New_Castle Confirmed .           128     3629     4125     4800        6     3733    26440     7086
TAB:  US_Delaware_New_Castle Confirmed 5/30/2020   129     3723     4125     4800        6     4190    25526     7695
TAB:  US_Delaware_New_Castle Confirmed .           130     3758     4125     4952        7     4190    28421     9219
TAB:  US_Delaware_New_Castle Confirmed 6/1/2020    131     3838     4125     4495        6     4495    29031     9219
TAB:  US_Delaware_New_Castle Confirmed .           132     3883     4125     5105        6     4495    29031     9981
TAB:  US_Delaware_New_Castle Confirmed 6/3/2020    133     3903     4125     4495        7     4038    28726     9981
TAB:  US_Delaware_New_Castle Confirmed .           134     3925     4125     4429        8     3930    23519     8921
TAB:  US_Delaware_New_Castle Confirmed 6/5/2020    135     3937     4125     4255        7     3980    17433     8007
TAB:  US_Delaware_New_Castle Confirmed .           136     3995     4125     4283        7     4139    13857     7234
TAB:  US_Delaware_New_Castle Confirmed 6/7/2020    137     4070     4125     4447        6     4447    12053     6716
TAB:  US_Delaware_New_Castle Confirmed .           138     4095     4125     4495        8     4495    10896     7238
TAB:  US_Delaware_New_Castle Confirmed 6/9/2020    139     4125     4125     5257        8     4343     9981     6629
