TAB:  US_Texas_El_Paso Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Texas_El_Paso Deaths    2/18/2020    27        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            28        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/20/2020    29        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            30        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/22/2020    31        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            32        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/24/2020    33        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            34        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/26/2020    35        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            36        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    2/28/2020    37        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            38        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/1/2020     39        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            40        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/3/2020     41        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            42        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/5/2020     43        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            44        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/7/2020     45        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            46        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/9/2020     47        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            48        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/11/2020    49        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            50        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/13/2020    51        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            52        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/15/2020    53        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            54        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/17/2020    55        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            56        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/19/2020    57        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            58        0       93        0        0       62       62       62
TAB:  US_Texas_El_Paso Deaths    3/21/2020    59        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            60        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/23/2020    61        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            62        0       93        0        0       64       64       64
TAB:  US_Texas_El_Paso Deaths    3/25/2020    63        0       93        0        0       64    24976     1621
TAB:  US_Texas_El_Paso Deaths    .            64        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    3/27/2020    65        0       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            66        0       93        0        0      194      194      194
TAB:  US_Texas_El_Paso Deaths    3/29/2020    67        0       93        0        0       64      194      194
TAB:  US_Texas_El_Paso Deaths    .            68        0       93        0        0       64    23938      194
TAB:  US_Texas_El_Paso Deaths    3/31/2020    69        0       93        0        0       64    10704      454
TAB:  US_Texas_El_Paso Deaths    .            70        0       93        0        0       64     3178      713
TAB:  US_Texas_El_Paso Deaths    4/2/2020     71        0       93        0        0      194    14856     2011
TAB:  US_Texas_El_Paso Deaths    .            72        0       93        0        0      194     9796     1751
TAB:  US_Texas_El_Paso Deaths    4/4/2020     73        0       93        0        0      324     9796     2400
TAB:  US_Texas_El_Paso Deaths    .            74        0       93        0        0      324     6292     2011
TAB:  US_Texas_El_Paso Deaths    4/6/2020     75        0       93        0        0      324     6552     2659
TAB:  US_Texas_El_Paso Deaths    .            76        0       93        0        0      194    15894     1492
TAB:  US_Texas_El_Paso Deaths    4/8/2020     77        0       93        0        0      194     2270     1232
TAB:  US_Texas_El_Paso Deaths    .            78        0       93        0        0      843     3438     2270
TAB:  US_Texas_El_Paso Deaths    4/10/2020    79        1       93        0        0     1492    10834     3438
TAB:  US_Texas_El_Paso Deaths    .            80        2       93        0        0     2011    21862     4087
TAB:  US_Texas_El_Paso Deaths    4/12/2020    81        2       93        0        0      324    17970     4087
TAB:  US_Texas_El_Paso Deaths    .            82        2       93        0        0      324    12650     3957
TAB:  US_Texas_El_Paso Deaths    4/14/2020    83        2       93        0        0      324    12780     3178
TAB:  US_Texas_El_Paso Deaths    .            84        4       93        0        0      550     7753     2451
TAB:  US_Texas_El_Paso Deaths    4/16/2020    85        6       93        0        0     1065     7885     3282
TAB:  US_Texas_El_Paso Deaths    .            86        7       93       32        1       32       32       32
TAB:  US_Texas_El_Paso Deaths    4/18/2020    87        7       93        8        2        8       15       15
TAB:  US_Texas_El_Paso Deaths    .            88        8       93        8        2        8       10        9
TAB:  US_Texas_El_Paso Deaths    4/20/2020    89        8       93        8        4        8        9        9
TAB:  US_Texas_El_Paso Deaths    .            90        9       93       10        2       10       11       11
TAB:  US_Texas_El_Paso Deaths    4/22/2020    91        9       93       10        3        8       12       10
TAB:  US_Texas_El_Paso Deaths    .            92       10       93       12        2       12       22       22
TAB:  US_Texas_El_Paso Deaths    4/24/2020    93       10       93       10        4       10       22       13
TAB:  US_Texas_El_Paso Deaths    .            94       10       93       11        4        9       11       11
TAB:  US_Texas_El_Paso Deaths    4/26/2020    95       12       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .            96       12       93      111        1      111      111      111
TAB:  US_Texas_El_Paso Deaths    4/28/2020    97       12       93       42        1       42      121      121
TAB:  US_Texas_El_Paso Deaths    .            98       14       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    4/30/2020    99       18       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .           100       21       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    5/2/2020    101       22       93      228        1      228      228      228
TAB:  US_Texas_El_Paso Deaths    .           102       22       93       22        2       22       60       60
TAB:  US_Texas_El_Paso Deaths    5/4/2020    103       22       93       22        4       22       22       22
TAB:  US_Texas_El_Paso Deaths    .           104       22       93       22        3       22       29       29
TAB:  US_Texas_El_Paso Deaths    5/6/2020    105       22       93       22        4       22       63       63
TAB:  US_Texas_El_Paso Deaths    .           106       23       93       22        6       22       22       22
TAB:  US_Texas_El_Paso Deaths    5/8/2020    107       30       93        0        0        0        0        0
TAB:  US_Texas_El_Paso Deaths    .           108       32       93      176        1      176      358      358
TAB:  US_Texas_El_Paso Deaths    5/10/2020   109       32       93       32        1       32      465      121
TAB:  US_Texas_El_Paso Deaths    .           110       33       93       32        4       32      455       91
TAB:  US_Texas_El_Paso Deaths    5/12/2020   111       33       93       32        6       32      424       80
TAB:  US_Texas_El_Paso Deaths    .           112       33       93       32        8       32      472       70
TAB:  US_Texas_El_Paso Deaths    5/14/2020   113       41       93      101        2       87      393      121
TAB:  US_Texas_El_Paso Deaths    .           114       43       93      111        2       97      578      152
TAB:  US_Texas_El_Paso Deaths    5/16/2020   115       45       93      163        2       49      664      180
TAB:  US_Texas_El_Paso Deaths    .           116       46       93       46        2       46      530      170
TAB:  US_Texas_El_Paso Deaths    5/18/2020   117       47       93       49        2       46      561      145
TAB:  US_Texas_El_Paso Deaths    .           118       52       93       94        2       87      626      183
TAB:  US_Texas_El_Paso Deaths    5/20/2020   119       54       93      152        2       77      616      204
TAB:  US_Texas_El_Paso Deaths    .           120       57       93       87        1       87      633      221
TAB:  US_Texas_El_Paso Deaths    5/22/2020   121       57       93      166        2       63      513      204
TAB:  US_Texas_El_Paso Deaths    .           122       57       93       94        3       56      654      187
TAB:  US_Texas_El_Paso Deaths    5/24/2020   123       58       93       56        3       56      626      163
TAB:  US_Texas_El_Paso Deaths    .           124       58       93       57        5       57      428      148
TAB:  US_Texas_El_Paso Deaths    5/26/2020   125       60       93       64        2       64      323      135
TAB:  US_Texas_El_Paso Deaths    .           126       68       93      141        3      108      323      165
TAB:  US_Texas_El_Paso Deaths    5/28/2020   127       72       93      173        3      139      386      200
TAB:  US_Texas_El_Paso Deaths    .           128       72       93      176        3      139      362      207
TAB:  US_Texas_El_Paso Deaths    5/30/2020   129       78       93      200        2      101      393      218
TAB:  US_Texas_El_Paso Deaths    .           130       78       93      197        2       84      376      231
TAB:  US_Texas_El_Paso Deaths    6/1/2020    131       80       93       84        3       84      358      218
TAB:  US_Texas_El_Paso Deaths    .           132       83       93      200        3       91      427      224
TAB:  US_Texas_El_Paso Deaths    6/3/2020    133       88       93      231        4      118      372      262
TAB:  US_Texas_El_Paso Deaths    .           134       89       93      242        3      111      664      252
TAB:  US_Texas_El_Paso Deaths    6/5/2020    135       90       93      231        4       91      341      231
TAB:  US_Texas_El_Paso Deaths    .           136       90       93      204        4       91      654      231
TAB:  US_Texas_El_Paso Deaths    6/7/2020    137       90       93       90        3       90      293      209
TAB:  US_Texas_El_Paso Deaths    .           138       90       93       90        3       90      259      187
TAB:  US_Texas_El_Paso Deaths    6/9/2020    139       93       93       96        3       96      245      166
