TAB:  US_Nevada_Clark Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Nevada_Clark Deaths    .            34        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    2/26/2020    35        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            36        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    2/28/2020    37        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            38        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/1/2020     39        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            40        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/3/2020     41        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            42        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/5/2020     43        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            44        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/7/2020     45        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            46        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/9/2020     47        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            48        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/11/2020    49        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            50        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    3/13/2020    51        0      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    .            52        0      365        0        0      720      720      720
TAB:  US_Nevada_Clark Deaths    3/15/2020    53        0      365        0        0      144      720      720
TAB:  US_Nevada_Clark Deaths    .            54        1      365        0        0      432     1584     1584
TAB:  US_Nevada_Clark Deaths    3/17/2020    55        1      365        0        0      144    15127     6771
TAB:  US_Nevada_Clark Deaths    .            56        1      365        0        0      144     2449      720
TAB:  US_Nevada_Clark Deaths    3/19/2020    57        1      365        0        0      432    10228     4177
TAB:  US_Nevada_Clark Deaths    .            58        2      365        0        0    19737    45381    45381
TAB:  US_Nevada_Clark Deaths    3/21/2020    59        2      365        0        0     9364    28093    18008
TAB:  US_Nevada_Clark Deaths    .            60        2      365        0        0     1296    33279    15991
TAB:  US_Nevada_Clark Deaths    3/23/2020    61        4      365        0        0      432    39906     6483
TAB:  US_Nevada_Clark Deaths    .            62        4      365       47        1       47       47       47
TAB:  US_Nevada_Clark Deaths    3/25/2020    63        6      365      222        1      222      222      222
TAB:  US_Nevada_Clark Deaths    .            64        6      365        6        1        6      316       33
TAB:  US_Nevada_Clark Deaths    3/27/2020    65       10      365      155        1      155      155      155
TAB:  US_Nevada_Clark Deaths    .            66       10      365       47        1       47      451      141
TAB:  US_Nevada_Clark Deaths    3/29/2020    67       14      365      101        1      101     1301      842
TAB:  US_Nevada_Clark Deaths    .            68       14      365       20        1       20     1112      235
TAB:  US_Nevada_Clark Deaths    3/31/2020    69       23      365    -            1     2231     2231     2231
TAB:  US_Nevada_Clark Deaths    .            70       28      365        0        0        0        0        0
TAB:  US_Nevada_Clark Deaths    4/2/2020     71       34      365    -            1     1409     1409     1409
TAB:  US_Nevada_Clark Deaths    .            72       39      365       60        1       60     1732      114
TAB:  US_Nevada_Clark Deaths    4/4/2020     73       41      365       47        2       47     1894      195
TAB:  US_Nevada_Clark Deaths    .            74       41      365       47        3       47     2568      289
TAB:  US_Nevada_Clark Deaths    4/6/2020     75       41      365       47        4       47     1409      249
TAB:  US_Nevada_Clark Deaths    .            76       54      365      101        2      101     1665      235
TAB:  US_Nevada_Clark Deaths    4/8/2020     77       65      365      168        1      168     1274      289
TAB:  US_Nevada_Clark Deaths    .            78       71      365      195        2      182     2056      330
TAB:  US_Nevada_Clark Deaths    4/10/2020    79       75      365      195        2       87     1220      262
TAB:  US_Nevada_Clark Deaths    .            80       75      365      155        2       74     1112      222
TAB:  US_Nevada_Clark Deaths    4/12/2020    81      100      365      330        2      316      883      384
TAB:  US_Nevada_Clark Deaths    .            82      101      365      330        2      316     2056      384
TAB:  US_Nevada_Clark Deaths    4/14/2020    83      106      365      303        2      114      654      357
TAB:  US_Nevada_Clark Deaths    .            84      115      365      303        3      128     2461      384
TAB:  US_Nevada_Clark Deaths    4/16/2020    85      115      365      289        3      125      779      300
TAB:  US_Nevada_Clark Deaths    .            86      124      365      276        4      141      465      289
TAB:  US_Nevada_Clark Deaths    4/18/2020    87      133      365      276        4      155      411      276
TAB:  US_Nevada_Clark Deaths    .            88      137      365      262        5      168     1072      276
TAB:  US_Nevada_Clark Deaths    4/20/2020    89      137      365      235        5      141      343      249
TAB:  US_Nevada_Clark Deaths    .            90      141      365      221        2      145      295      205
TAB:  US_Nevada_Clark Deaths    4/22/2020    91      150      365      218        4      176      283      223
TAB:  US_Nevada_Clark Deaths    .            92      163      365      235        8      222      303      262
TAB:  US_Nevada_Clark Deaths    4/24/2020    93      168      365      249        9      235      303      276
TAB:  US_Nevada_Clark Deaths    .            94      174      365      262       13      222      303      262
TAB:  US_Nevada_Clark Deaths    4/26/2020    95      174      365      262       17      182     1328      276
TAB:  US_Nevada_Clark Deaths    .            96      174      365      249        6      175      614      256
TAB:  US_Nevada_Clark Deaths    4/28/2020    97      186      365      262       12      222      519      289
TAB:  US_Nevada_Clark Deaths    .            98      196      365      262       13      262      910      519
TAB:  US_Nevada_Clark Deaths    4/30/2020    99      202      365      276       16      276     1233      586
TAB:  US_Nevada_Clark Deaths    .           100      206      365      276       12      222      775      505
TAB:  US_Nevada_Clark Deaths    5/2/2020    101      215      365      289       16      276     1233      519
TAB:  US_Nevada_Clark Deaths    .           102      218      365      289       11      262      694      465
TAB:  US_Nevada_Clark Deaths    5/4/2020    103      223      365      289        9      262      586      357
TAB:  US_Nevada_Clark Deaths    .           104      226      365      295        6      239      516      329
TAB:  US_Nevada_Clark Deaths    5/6/2020    105      238      365      302        9      302      553      395
TAB:  US_Nevada_Clark Deaths    .           106      245      365      316       13      316      896      505
TAB:  US_Nevada_Clark Deaths    5/8/2020    107      245      365      316       13      316      883      424
TAB:  US_Nevada_Clark Deaths    .           108      256      365      330        9      316     1058      478
TAB:  US_Nevada_Clark Deaths    5/10/2020   109      260      365      330       12      289      856      465
TAB:  US_Nevada_Clark Deaths    .           110      260      365      330        5      273      521      381
TAB:  US_Nevada_Clark Deaths    5/12/2020   111      267      365      333        5      290      498      386
TAB:  US_Nevada_Clark Deaths    .           112      275      365      343       15      343      519      424
TAB:  US_Nevada_Clark Deaths    5/14/2020   113      275      365      343       13      316      478      397
TAB:  US_Nevada_Clark Deaths    .           114      291      365      357       12      343     1112      465
TAB:  US_Nevada_Clark Deaths    5/16/2020   115      293      365      357       11      357     1422      505
TAB:  US_Nevada_Clark Deaths    .           116      296      365      357        8      303      856      492
TAB:  US_Nevada_Clark Deaths    5/18/2020   117      296      365      492        9      303      640      438
TAB:  US_Nevada_Clark Deaths    .           118      296      365      471        6      298      516      406
TAB:  US_Nevada_Clark Deaths    5/20/2020   119      314      365      370        9      370     2568      478
TAB:  US_Nevada_Clark Deaths    .           120      320      365      384       12      384      883      505
TAB:  US_Nevada_Clark Deaths    5/22/2020   121      322      365      384       10      330     1206      519
TAB:  US_Nevada_Clark Deaths    .           122      322      365      505       10      316     1490      478
TAB:  US_Nevada_Clark Deaths    5/24/2020   123      322      365      492       11      316      680      465
TAB:  US_Nevada_Clark Deaths    .           124      329      365      387        7      337      507      427
TAB:  US_Nevada_Clark Deaths    5/26/2020   125      329      365      386        5      333      478      410
TAB:  US_Nevada_Clark Deaths    .           126      331      365      384       10      330      465      411
TAB:  US_Nevada_Clark Deaths    5/28/2020   127      339      365      438       11      370      465      424
TAB:  US_Nevada_Clark Deaths    .           128      339      365      438       12      357     1314      424
TAB:  US_Nevada_Clark Deaths    5/30/2020   129      343      365      438       14      357      451      411
TAB:  US_Nevada_Clark Deaths    .           130      343      365      397       12      343      438      397
TAB:  US_Nevada_Clark Deaths    6/1/2020    131      343      365      397       13      343      775      397
TAB:  US_Nevada_Clark Deaths    .           132      343      365      411        9      342      428      383
TAB:  US_Nevada_Clark Deaths    6/3/2020    133      355      365      397       21      384      438      411
TAB:  US_Nevada_Clark Deaths    .           134      355      365      397       24      384      438      411
TAB:  US_Nevada_Clark Deaths    6/5/2020    135      357      365      397       30      357     2393      411
TAB:  US_Nevada_Clark Deaths    .           136      358      365      397       33      357      950      424
TAB:  US_Nevada_Clark Deaths    6/7/2020    137      359      365      397       31      357     1665      438
TAB:  US_Nevada_Clark Deaths    .           138      363      365      397       26      369      844      442
TAB:  US_Nevada_Clark Deaths    6/9/2020    139      365      365      399       22      372      652      411
