TAB:  US_Illinois_Kane Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Kane Confirmed 3/23/2020    61       18     6897        0        0        0        0        0
TAB:  US_Illinois_Kane Confirmed .            62       24     6897        0        0        0        0        0
TAB:  US_Illinois_Kane Confirmed 3/25/2020    63       38     6897        0        0        0        0        0
TAB:  US_Illinois_Kane Confirmed .            64       38     6897      382        1      382     1401     1401
TAB:  US_Illinois_Kane Confirmed 3/27/2020    65       75     6897        0        0        0        0        0
TAB:  US_Illinois_Kane Confirmed .            66       90     6897        0        0        0        0        0
TAB:  US_Illinois_Kane Confirmed 3/29/2020    67      100     6897      127        1      127    36310     9555
TAB:  US_Illinois_Kane Confirmed .            68      113     6897      127        3      127     2675      891
TAB:  US_Illinois_Kane Confirmed 3/31/2020    69      128     6897      127        4      127    20002      637
TAB:  US_Illinois_Kane Confirmed .            70      142     6897      127        4      127     6752      637
TAB:  US_Illinois_Kane Confirmed 4/2/2020     71      154     6897      127        6      127     5478      637
TAB:  US_Illinois_Kane Confirmed .            72      176     6897      382        5      127    45738      891
TAB:  US_Illinois_Kane Confirmed 4/4/2020     73      207     6897      382        5      382    11084      891
TAB:  US_Illinois_Kane Confirmed .            74      220     6897      382        8      382    43445     1146
TAB:  US_Illinois_Kane Confirmed 4/6/2020     75      234     6897      382        9      382    16435     1401
TAB:  US_Illinois_Kane Confirmed .            76      255     6897      382       10      382    10064     1656
TAB:  US_Illinois_Kane Confirmed 4/8/2020     77      296     6897      525        9      525    14425     2277
TAB:  US_Illinois_Kane Confirmed .            78      318     6897      637       11      637    16690     4713
TAB:  US_Illinois_Kane Confirmed 4/10/2020    79      339     6897      637       11      637     6497     2930
TAB:  US_Illinois_Kane Confirmed .            80      376     6897      637        8      637     9555     2930
TAB:  US_Illinois_Kane Confirmed 4/12/2020    81      403     6897      891        8      637     6752     2420
TAB:  US_Illinois_Kane Confirmed .            82      421     6897      732        2      696     3502     1138
TAB:  US_Illinois_Kane Confirmed 4/14/2020    83      448     6897      775        2      634     2414      992
TAB:  US_Illinois_Kane Confirmed .            84      463     6897      649        2      575     1597      944
TAB:  US_Illinois_Kane Confirmed 4/16/2020    85      490     6897      961        3      671     1534      906
TAB:  US_Illinois_Kane Confirmed .            86      538     6897      891       11      891     1911     1401
TAB:  US_Illinois_Kane Confirmed 4/18/2020    87      582     6897     1146        9      891    24843     1656
TAB:  US_Illinois_Kane Confirmed .            88      605     6897     1146        9      891    18218     1656
TAB:  US_Illinois_Kane Confirmed 4/20/2020    89      638     6897     1146       13      891    23315     2165
TAB:  US_Illinois_Kane Confirmed .            90      684     6897     1146       11     1146    21786     2420
TAB:  US_Illinois_Kane Confirmed 4/22/2020    91      764     6897     1401       13     1401     7007     3439
TAB:  US_Illinois_Kane Confirmed .            92      863     6897     1656       11     1656    26372     5733
TAB:  US_Illinois_Kane Confirmed 4/24/2020    93      962     6897     1911        9     1911    40132     3949
TAB:  US_Illinois_Kane Confirmed .            94     1049     6897     2420        6     2165    37329     4713
TAB:  US_Illinois_Kane Confirmed 4/26/2020    95     1109     6897     2675        6     1656    50070     3694
TAB:  US_Illinois_Kane Confirmed .            96     1185     6897     2930        6     1656    44209     4204
TAB:  US_Illinois_Kane Confirmed 4/28/2020    97     1308     6897     3439        7     2675    12358     4968
TAB:  US_Illinois_Kane Confirmed .            98     1412     6897     3694        6     3439    31469     4968
TAB:  US_Illinois_Kane Confirmed 4/30/2020    99     1526     6897     4204        4     3949    22295     6752
TAB:  US_Illinois_Kane Confirmed .           100     1677     6897     4713        5     4713    40387    10319
TAB:  US_Illinois_Kane Confirmed 5/2/2020    101     1803     6897     5478        4     5223    43445    10829
TAB:  US_Illinois_Kane Confirmed .           102     1935     6897     6242        5     5988    41661    12867
TAB:  US_Illinois_Kane Confirmed 5/4/2020    103     2115     6897     7007        4     6752    43954    11848
TAB:  US_Illinois_Kane Confirmed .           104     2206     6897     7516        5     4459    30194    11084
TAB:  US_Illinois_Kane Confirmed 5/6/2020    105     2331     6897     8281        4     3439    35800    10064
TAB:  US_Illinois_Kane Confirmed .           106     2498     6897     8790        4     5223    47522    12867
TAB:  US_Illinois_Kane Confirmed 5/8/2020    107     2668     6897     9810        6     7516    38603    17964
TAB:  US_Illinois_Kane Confirmed .           108     2818     6897    10319        5     8790    42935    15416
TAB:  US_Illinois_Kane Confirmed 5/10/2020   109     3003     6897    11084        5    11084    46502    19238
TAB:  US_Illinois_Kane Confirmed .           110     3126     6897    11848        7     5223    49560    16180
TAB:  US_Illinois_Kane Confirmed 5/12/2020   111     3592     6897    13377        5    13377    45228    21276
TAB:  US_Illinois_Kane Confirmed .           112     3744     6897    14651        4    14651    50579    19747
TAB:  US_Illinois_Kane Confirmed 5/14/2020   113     3995     6897    16180        4    15925    36310    18218
TAB:  US_Illinois_Kane Confirmed .           114     4159     6897    17199        3     4968    39622    17964
TAB:  US_Illinois_Kane Confirmed 5/16/2020   115     4263     6897    18218        2     4459    41406    18728
TAB:  US_Illinois_Kane Confirmed .           116     4396     6897     4713        2     4713    46502    21021
TAB:  US_Illinois_Kane Confirmed 5/18/2020   117     4584     6897    18983        2     5223    45993    26372
TAB:  US_Illinois_Kane Confirmed .           118     4682     6897    20002        3     5223    42680    20257
TAB:  US_Illinois_Kane Confirmed 5/20/2020   119     4813     6897     5478        3     5478    47012    19492
TAB:  US_Illinois_Kane Confirmed .           120     4981     6897     5733        3     5733    45738    17964
TAB:  US_Illinois_Kane Confirmed 5/22/2020   121     5327     6897    20002        4     7262    49050    17964
TAB:  US_Illinois_Kane Confirmed .           122     5484     6897    20002        4     8026    49560    18218
TAB:  US_Illinois_Kane Confirmed 5/24/2020   123     5645     6897    20512        3     8536    47522    16180
TAB:  US_Illinois_Kane Confirmed .           124     5761     6897     8790        3     6242    45228    15416
TAB:  US_Illinois_Kane Confirmed 5/26/2020   125     5866     6897    20257        4     6242    42680    13887
TAB:  US_Illinois_Kane Confirmed .           126     5947     6897    20002        5     6242    49050    14651
TAB:  US_Illinois_Kane Confirmed 5/28/2020   127     6083     6897     8281        4     6497    50579    12613
TAB:  US_Illinois_Kane Confirmed .           128     6188     6897    19238        6     6752    50579    13632
TAB:  US_Illinois_Kane Confirmed 5/30/2020   129     6259     6897     8026        4     6752    50579    14141
TAB:  US_Illinois_Kane Confirmed .           130     6338     6897     7771        7     6752    50070    16180
TAB:  US_Illinois_Kane Confirmed 6/1/2020    131     6404     6897     6869        5     6637    45760    15719
TAB:  US_Illinois_Kane Confirmed .           132     6467     6897     7044        7     6846    38597    13593
TAB:  US_Illinois_Kane Confirmed 6/3/2020    133     6518     6897     6917        8     6746    33221    12041
TAB:  US_Illinois_Kane Confirmed .           134     6581     6897     7053        8     6904    28881    10914
TAB:  US_Illinois_Kane Confirmed 6/5/2020    135     6672     6897     7516       12     7007    26118    12867
TAB:  US_Illinois_Kane Confirmed .           136     6734     6897     7516       16     7262    23315    12613
TAB:  US_Illinois_Kane Confirmed 6/7/2020    137     6787     6897     7516       17     7262    24079    13632
TAB:  US_Illinois_Kane Confirmed .           138     6850     6897     7516       18     7262    22295    12867
TAB:  US_Illinois_Kane Confirmed 6/9/2020    139     6897     6897     7472        8     7210    16999     9395
