TAB:  US_Texas_Travis Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Texas_Travis Confirmed 3/1/2020     39        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            40        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/3/2020     41        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            42        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/5/2020     43        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            44        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/7/2020     45        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            46        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/9/2020     47        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            48        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/11/2020    49        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            50        0     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/13/2020    51        2     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            52        3     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/15/2020    53        3     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            54        6     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/17/2020    55       10     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            56       23     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed 3/19/2020    57       41     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            58       58     3815    10218        1    10218    10218    10218
TAB:  US_Texas_Travis Confirmed 3/21/2020    59       62     3815       70        1       70     5708      211
TAB:  US_Texas_Travis Confirmed .            60       62     3815       76        3       76      177      177
TAB:  US_Texas_Travis Confirmed 3/23/2020    61       79     3815       95        1       95      114      100
TAB:  US_Texas_Travis Confirmed .            62       86     3815      105        2      100      126      105
TAB:  US_Texas_Travis Confirmed 3/25/2020    63       98     3815       70        6       70      211      211
TAB:  US_Texas_Travis Confirmed .            64      119     3815      211        1      211     1620     1620
TAB:  US_Texas_Travis Confirmed 3/27/2020    65      160     3815        0        0        0        0        0
TAB:  US_Texas_Travis Confirmed .            66      179     3815      352        1      352     1479     1479
TAB:  US_Texas_Travis Confirmed 3/29/2020    67      200     3815      352        1      352     1620      493
TAB:  US_Texas_Travis Confirmed .            68      206     3815      211        2      211     1057      493
TAB:  US_Texas_Travis Confirmed 3/31/2020    69      244     3815      493        4      352     1198      634
TAB:  US_Texas_Travis Confirmed .            70      244     3815      424        6      303    10129      788
TAB:  US_Texas_Travis Confirmed 4/2/2020     71      351     3815     4157        1     4157     4157     4157
TAB:  US_Texas_Travis Confirmed .            72      390     3815     8245        1     8245     8245     8245
TAB:  US_Texas_Travis Confirmed 4/4/2020     73      430     3815     1057        1     1057    10923     1902
TAB:  US_Texas_Travis Confirmed .            74      484     3815      634        1      634    13601     1620
TAB:  US_Texas_Travis Confirmed 4/6/2020     75      502     3815      634        2      634    25722     2184
TAB:  US_Texas_Travis Confirmed .            76      502     3815     1198        4      493    16138     1902
TAB:  US_Texas_Travis Confirmed 4/8/2020     77      554     3815      705        3      622    14974     1949
TAB:  US_Texas_Travis Confirmed .            78      597     3815     1199        3      734     5999     1522
TAB:  US_Texas_Travis Confirmed 4/10/2020    79      642     3815     1198        3      775     4439     1902
TAB:  US_Texas_Travis Confirmed .            80      690     3815     1338        3      916    11487     1761
TAB:  US_Texas_Travis Confirmed 4/12/2020    81      744     3815     1338        4     1198     5567     1902
TAB:  US_Texas_Travis Confirmed .            82      774     3815     1338        5     1198    13601     2043
TAB:  US_Texas_Travis Confirmed 4/14/2020    83      856     3815     1479        4     1479    20648     2184
TAB:  US_Texas_Travis Confirmed .            84      900     3815     1620        4     1620     5567     2325
TAB:  US_Texas_Travis Confirmed 4/16/2020    85      977     3815     2184        5     1761    19802     2466
TAB:  US_Texas_Travis Confirmed .            86     1074     3815     2748        4     1902     3453     2889
TAB:  US_Texas_Travis Confirmed 4/18/2020    87     1083     3815     2889        4     1902     3453     2889
TAB:  US_Texas_Travis Confirmed .            88     1092     3815     2748        5     1057    22621     2748
TAB:  US_Texas_Travis Confirmed 4/20/2020    89     1108     3815     2407        6     1063    16293     2631
TAB:  US_Texas_Travis Confirmed .            90     1174     3815     2365        3     1349     5414     2365
TAB:  US_Texas_Travis Confirmed 4/22/2020    91     1233     3815     2332        4     1558     3563     2272
TAB:  US_Texas_Travis Confirmed .            92     1312     3815     2466       10     2043     3875     2607
TAB:  US_Texas_Travis Confirmed 4/24/2020    93     1379     3815     2607       15     2184     4862     2889
TAB:  US_Texas_Travis Confirmed .            94     1379     3815     2466        9     1761     4580     2748
TAB:  US_Texas_Travis Confirmed 4/26/2020    95     1396     3815     2441        8     1405     3082     2441
TAB:  US_Texas_Travis Confirmed .            96     1412     3815     2355        4     1432     2640     2178
TAB:  US_Texas_Travis Confirmed 4/28/2020    97     1464     3815     2334        4     1600     2512     2132
TAB:  US_Texas_Travis Confirmed .            98     1539     3815     2333        5     2090     2746     2318
TAB:  US_Texas_Travis Confirmed 4/30/2020    99     1654     3815     2607       13     2325     5426     2889
TAB:  US_Texas_Travis Confirmed .           100     1683     3815     2607       11     2325    14728     3030
TAB:  US_Texas_Travis Confirmed 5/2/2020    101     1714     3815     2748       10     1761     8809     3030
TAB:  US_Texas_Travis Confirmed .           102     1756     3815     2748       14     1902    27977     3171
TAB:  US_Texas_Travis Confirmed 5/4/2020    103     1816     3815     2748       10     2043    19238     3453
TAB:  US_Texas_Travis Confirmed .           104     1876     3815     2889       12     2325    17547     3594
TAB:  US_Texas_Travis Confirmed 5/6/2020    105     1946     3815     2889        9     2607    27695     4298
TAB:  US_Texas_Travis Confirmed .           106     2002     3815     3030       10     2748    25017     4016
TAB:  US_Texas_Travis Confirmed 5/8/2020    107     2071     3815     3171        6     2748    18675     4439
TAB:  US_Texas_Travis Confirmed .           108     2095     3815     3171        8     2466    22198     4862
TAB:  US_Texas_Travis Confirmed 5/10/2020   109     2127     3815     3171        8     2184    25722     4439
TAB:  US_Texas_Travis Confirmed .           110     2171     3815     3220        6     2339     9882     3661
TAB:  US_Texas_Travis Confirmed 5/12/2020   111     2235     3815     3267        7     2727     8586     3853
TAB:  US_Texas_Travis Confirmed .           112     2288     3815     3312       10     3030     7963     4721
TAB:  US_Texas_Travis Confirmed 5/14/2020   113     2345     3815     3453       12     3030     7540     4721
TAB:  US_Texas_Travis Confirmed .           114     2381     3815     3453       12     3030    24031     4439
TAB:  US_Texas_Travis Confirmed 5/16/2020   115     2425     3815     3453       10     2748     8245     4439
TAB:  US_Texas_Travis Confirmed .           116     2425     3815     3444        5     2551     5536     3695
TAB:  US_Texas_Travis Confirmed 5/18/2020   117     2459     3815     3444        6     2536     4958     3545
TAB:  US_Texas_Travis Confirmed .           118     2537     3815     3489        6     3195     4812     3661
TAB:  US_Texas_Travis Confirmed 5/20/2020   119     2595     3815     3735        9     3312     5708     4298
TAB:  US_Texas_Travis Confirmed .           120     2644     3815     3735        8     3312     9513     4439
TAB:  US_Texas_Travis Confirmed 5/22/2020   121     2702     3815     4157       10     3312    12473     4580
TAB:  US_Texas_Travis Confirmed .           122     2761     3815     3735        8     3453    12191     4580
TAB:  US_Texas_Travis Confirmed 5/24/2020   123     2788     3815     4298        8     3171    24453     4580
TAB:  US_Texas_Travis Confirmed .           124     2847     3815     3735        9     3453    26568     4862
TAB:  US_Texas_Travis Confirmed 5/26/2020   125     2933     3815     3875        7     3594    11064     5003
TAB:  US_Texas_Travis Confirmed .           126     2984     3815     5426        7     3594    15292     5285
TAB:  US_Texas_Travis Confirmed 5/28/2020   127     3057     3815     4016        5     3735    12614     5285
TAB:  US_Texas_Travis Confirmed .           128     3121     3815     4157        7     3875    17970     5567
TAB:  US_Texas_Travis Confirmed 5/30/2020   129     3186     3815     4157        5     3875    26850     5849
TAB:  US_Texas_Travis Confirmed .           130     3232     3815     4298        7     4016    16138     5990
TAB:  US_Texas_Travis Confirmed 6/1/2020    131     3272     3815     4439        5     3453    20225     6131
TAB:  US_Texas_Travis Confirmed .           132     3360     3815     4439        5     4157    23326     6835
TAB:  US_Texas_Travis Confirmed 6/3/2020    133     3433     3815     4580        4     4157    27977     6976
TAB:  US_Texas_Travis Confirmed .           134     3501     3815     4721        5     4298    20225     6835
TAB:  US_Texas_Travis Confirmed 6/5/2020    135     3562     3815     4862        4     4439    23044     7258
TAB:  US_Texas_Travis Confirmed .           136     3616     3815     4862        5     4016    24453     7399
TAB:  US_Texas_Travis Confirmed 6/7/2020    137     3662     3815     5003        4     4016    27977     8245
TAB:  US_Texas_Travis Confirmed .           138     3697     3815     5003        4     3875    24313     7258
TAB:  US_Texas_Travis Confirmed 6/9/2020    139     3815     3815     5144        5     4721    24031     8527
