TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Confirmed 3/11/2020    49        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            50        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/13/2020    51        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            52        3     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/15/2020    53        3     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            54        7     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/17/2020    55       11     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            56       20     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/19/2020    57       28     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            58       47     6595      852        1      852      852      852
TAB:  US_New_York_Erie Confirmed 3/21/2020    59       50     6595      209        1      209      275      275
TAB:  US_New_York_Erie Confirmed .            60       56     6595      119        3      119      119      119
TAB:  US_New_York_Erie Confirmed 3/23/2020    61       87     6595      279        1      279      417      380
TAB:  US_New_York_Erie Confirmed .            62      114     6595      609        2      365    20344      852
TAB:  US_New_York_Erie Confirmed 3/25/2020    63      122     6595      365        2      365     1583     1096
TAB:  US_New_York_Erie Confirmed .            64      206     6595     1827        1     1827    15959     5238
TAB:  US_New_York_Erie Confirmed 3/27/2020    65      245     6595     2558        1     2558    27654     8405
TAB:  US_New_York_Erie Confirmed .            66      318     6595     4263        1     4263    15471     5482
TAB:  US_New_York_Erie Confirmed 3/29/2020    67      414     6595     4994        1     4994    33989     9380
TAB:  US_New_York_Erie Confirmed .            68      443     6595      609        1      609    44466     6213
TAB:  US_New_York_Erie Confirmed 3/31/2020    69      499     6595      609        2      609    16933     4994
TAB:  US_New_York_Erie Confirmed .            70      582     6595      851        1      851    12593     4168
TAB:  US_New_York_Erie Confirmed 4/2/2020     71      617     6595      865        2      865     4696     2568
TAB:  US_New_York_Erie Confirmed .            72      734     6595     1340        2     1340     4020     3045
TAB:  US_New_York_Erie Confirmed 4/4/2020     73      808     6595     3289        4     1340     4020     2801
TAB:  US_New_York_Erie Confirmed .            74     1059     6595     4020        3     4020    23024     5238
TAB:  US_New_York_Erie Confirmed 4/6/2020     75     1148     6595     4994        4     4751    35451     6213
TAB:  US_New_York_Erie Confirmed .            76     1234     6595     4994        4     1827    21563     5969
TAB:  US_New_York_Erie Confirmed 4/8/2020     77     1335     6595     4507        3     1583    20588     5482
TAB:  US_New_York_Erie Confirmed .            78     1432     6595     4263        4     1827    38374     4994
TAB:  US_New_York_Erie Confirmed 4/10/2020    79     1498     6595     1763        1     1763     6998     3925
TAB:  US_New_York_Erie Confirmed .            80     1506     6595     3548        2     1633     4110     3236
TAB:  US_New_York_Erie Confirmed 4/12/2020    81     1571     6595     1707        2     1689     3645     2685
TAB:  US_New_York_Erie Confirmed .            82     1661     6595     2581        2     1865     3348     2496
TAB:  US_New_York_Erie Confirmed 4/14/2020    83     1730     6595     2314        6     2071     6700     2801
TAB:  US_New_York_Erie Confirmed .            84     1812     6595     2558        7     2071     3289     2801
TAB:  US_New_York_Erie Confirmed 4/16/2020    85     1951     6595     2558        7     2558     6456     3045
TAB:  US_New_York_Erie Confirmed .            86     2023     6595     2801       11     2558     9624     3045
TAB:  US_New_York_Erie Confirmed 4/18/2020    87     2107     6595     2801       11     2801    34720     6700
TAB:  US_New_York_Erie Confirmed .            88     2192     6595     3045       19     2801    19126     5482
TAB:  US_New_York_Erie Confirmed 4/20/2020    89     2238     6595     3045       19     2558    24243     4263
TAB:  US_New_York_Erie Confirmed .            90     2284     6595     3022       14     2460    26498     4709
TAB:  US_New_York_Erie Confirmed 4/22/2020    91     2284     6595     2973        6     2344     4728     2999
TAB:  US_New_York_Erie Confirmed .            92     2450     6595     3101        6     3045     5076     3908
TAB:  US_New_York_Erie Confirmed 4/24/2020    93     2603     6595     3294       12     3294    11573     5684
TAB:  US_New_York_Erie Confirmed .            94     2773     6595     3532       10     3532    26192     9136
TAB:  US_New_York_Erie Confirmed 4/26/2020    95     2954     6595     4020        7     3776    20101     4263
TAB:  US_New_York_Erie Confirmed .            96     3021     6595     4020        9     4020    28385     4751
TAB:  US_New_York_Erie Confirmed 4/28/2020    97     3089     6595     4263        7     3289    29359     4751
TAB:  US_New_York_Erie Confirmed .            98     3196     6595     4263        8     3532    29359     4751
TAB:  US_New_York_Erie Confirmed 4/30/2020    99     3319     6595     4507        6     3776    29847     5238
TAB:  US_New_York_Erie Confirmed .           100     3481     6595     4751        6     4507    35451     5725
TAB:  US_New_York_Erie Confirmed 5/2/2020    101     3598     6595     4751        5     4751    38618     5969
TAB:  US_New_York_Erie Confirmed .           102     3710     6595     4994        7     4751    39593     6456
TAB:  US_New_York_Erie Confirmed 5/4/2020    103     3802     6595     5238        5     4507    36182     6700
TAB:  US_New_York_Erie Confirmed .           104     3891     6595     5238        6     4263    31065     6700
TAB:  US_New_York_Erie Confirmed 5/6/2020    105     4008     6595     5238        5     4994    41055     8162
TAB:  US_New_York_Erie Confirmed .           106     4136     6595     5969        6     5238    42760    10111
TAB:  US_New_York_Erie Confirmed 5/8/2020    107     4255     6595     5725        5     5482    48364    12060
TAB:  US_New_York_Erie Confirmed .           108     4337     6595     5725        4     5482    34963     9867
TAB:  US_New_York_Erie Confirmed 5/10/2020   109     4453     6595     5787        4     5597    34630    10151
TAB:  US_New_York_Erie Confirmed .           110     4483     6595     6384        4     4882    20657     7672
TAB:  US_New_York_Erie Confirmed 5/12/2020   111     4530     6595     6120        4     4685    16249     7217
TAB:  US_New_York_Erie Confirmed .           112     4606     6595     6160        4     4878    14136     7157
TAB:  US_New_York_Erie Confirmed 5/14/2020   113     4671     6595     6036        5     5045    12165     7150
TAB:  US_New_York_Erie Confirmed .           114     4782     6595     5969       12     5482    11329     7674
TAB:  US_New_York_Erie Confirmed 5/16/2020   115     4867     6595     5969       15     5969    10598     7918
TAB:  US_New_York_Erie Confirmed .           116     4954     6595     6213       15     5969    11817     7918
TAB:  US_New_York_Erie Confirmed 5/18/2020   117     4993     6595     6213       15     5482     9380     7431
TAB:  US_New_York_Erie Confirmed .           118     5037     6595     6213       16     5238    14009     7431
TAB:  US_New_York_Erie Confirmed 5/20/2020   119     5131     6595     6354       16     5768    16522     7528
TAB:  US_New_York_Erie Confirmed .           120     5270     6595     6456       13     6213    32039     7674
TAB:  US_New_York_Erie Confirmed 5/22/2020   121     5397     6595     7187        9     6456    14009     7918
TAB:  US_New_York_Erie Confirmed .           122     5552     6595     7431        7     6456    18639     8405
TAB:  US_New_York_Erie Confirmed 5/24/2020   123     5626     6595     7674        7     6700    34232     8649
TAB:  US_New_York_Erie Confirmed .           124     5700     6595     7918        7     5969    47877     8649
TAB:  US_New_York_Erie Confirmed 5/26/2020   125     5753     6595     7918        7     5969    39105     8649
TAB:  US_New_York_Erie Confirmed .           126     5810     6595     7918        7     5969    27654     8405
TAB:  US_New_York_Erie Confirmed 5/28/2020   127     5886     6595     7918        8     6213    21563     8405
TAB:  US_New_York_Erie Confirmed .           128     5935     6595     8162        9     6213    32283     8893
TAB:  US_New_York_Erie Confirmed 5/30/2020   129     6014     6595     8162       11     6456    20588     8893
TAB:  US_New_York_Erie Confirmed .           130     6070     6595     8162       11     6456    36912     9867
TAB:  US_New_York_Erie Confirmed 6/1/2020    131     6123     6595     8091        7     6620    15446     8385
TAB:  US_New_York_Erie Confirmed .           132     6173     6595     8541        7     6675    11573     8075
TAB:  US_New_York_Erie Confirmed 6/3/2020    133     6234     6595     8217        6     6732    10060     7961
TAB:  US_New_York_Erie Confirmed .           134     6308     6595     8162       13     6944    17664     8893
TAB:  US_New_York_Erie Confirmed 6/5/2020    135     6359     6595     8162       14     6944    15228     8893
TAB:  US_New_York_Erie Confirmed .           136     6429     6595     8162       17     7187    13766     8649
TAB:  US_New_York_Erie Confirmed 6/7/2020    137     6486     6595     8162       17     7187    14740     8649
TAB:  US_New_York_Erie Confirmed .           138     6531     6595     8162       19     7187    22050     8893
TAB:  US_New_York_Erie Confirmed 6/9/2020    139     6595     6595     8237       20     7381    13585     9092
