TAB:  US_Virginia_Fairfax Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Virginia_Fairfax Confirmed 2/28/2020    37        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            38        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/1/2020     39        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            40        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/3/2020     41        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            42        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/5/2020     43        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            44        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/7/2020     45        0    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            46        2    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/9/2020     47        2    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            48        3    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/11/2020    49        3    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            50        5    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/13/2020    51        6    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            52       10    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/15/2020    53       10    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            54       10    12695      234        2      234      703      703
TAB:  US_Virginia_Fairfax Confirmed 3/17/2020    55       12    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            56       14    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/19/2020    57       16    12695      234        6      234      234      234
TAB:  US_Virginia_Fairfax Confirmed .            58       16    12695      234        7      234      234      234
TAB:  US_Virginia_Fairfax Confirmed 3/21/2020    59       22    12695      234        6      234      234      234
TAB:  US_Virginia_Fairfax Confirmed .            60       31    12695      703        3      234      703      703
TAB:  US_Virginia_Fairfax Confirmed 3/23/2020    61       43    12695    -            1    67304    67304    67304
TAB:  US_Virginia_Fairfax Confirmed .            62       46    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/25/2020    63       76    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            64       79    12695    11490        1    11490    77622    77622
TAB:  US_Virginia_Fairfax Confirmed 3/27/2020    65      124    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed .            66      156    12695        0        0        0        0        0
TAB:  US_Virginia_Fairfax Confirmed 3/29/2020    67      188    12695      703        1      703    52295    52295
TAB:  US_Virginia_Fairfax Confirmed .            68      224    12695      703        2      703    66835    28375
TAB:  US_Virginia_Fairfax Confirmed 3/31/2020    69      244    12695      234        3      234    89348     3048
TAB:  US_Virginia_Fairfax Confirmed .            70      288    12695      703        4      703     8676     1641
TAB:  US_Virginia_Fairfax Confirmed 4/2/2020     71      328    12695      703        3      703    16181     1641
TAB:  US_Virginia_Fairfax Confirmed .            72      372    12695      703        3      703    48543     2579
TAB:  US_Virginia_Fairfax Confirmed 4/4/2020     73      387    12695      703        7      703    33065     2579
TAB:  US_Virginia_Fairfax Confirmed .            74      426    12695      703       10      703    41977     3048
TAB:  US_Virginia_Fairfax Confirmed 4/6/2020     75      488    12695     1172        5      703    76684     2110
TAB:  US_Virginia_Fairfax Confirmed .            76      532    12695     1172        8     1172    71525     3048
TAB:  US_Virginia_Fairfax Confirmed 4/8/2020     77      570    12695     1172        7     1172    59331     3517
TAB:  US_Virginia_Fairfax Confirmed .            78      690    12695     1641        7     1641    41508     6331
TAB:  US_Virginia_Fairfax Confirmed 4/10/2020    79      777    12695     2110        6     2110    84658     8676
TAB:  US_Virginia_Fairfax Confirmed .            80      946    12695     3517        4     3517    76684    10083
TAB:  US_Virginia_Fairfax Confirmed 4/12/2020    81     1008    12695     3986        3     3986    58392     8676
TAB:  US_Virginia_Fairfax Confirmed .            82     1164    12695     5393        2     3048    89348    13367
TAB:  US_Virginia_Fairfax Confirmed 4/14/2020    83     1207    12695     1641        2     1641    65428    12898
TAB:  US_Virginia_Fairfax Confirmed .            84     1298    12695     1641        3     1641    49481     9614
TAB:  US_Virginia_Fairfax Confirmed 4/16/2020    85     1375    12695     1641        4     1641    37756     9145
TAB:  US_Virginia_Fairfax Confirmed .            86     1476    12695     2110        5     2110    93100    11021
TAB:  US_Virginia_Fairfax Confirmed 4/18/2020    87     1633    12695     3048        3     2579    76684    11960
TAB:  US_Virginia_Fairfax Confirmed .            88     1809    12695     6331        4     3986    76684    11960
TAB:  US_Virginia_Fairfax Confirmed 4/20/2020    89     1925    12695     7269        3     4455    69649    12429
TAB:  US_Virginia_Fairfax Confirmed .            90     2077    12695     7269        3     5393    49950    13836
TAB:  US_Virginia_Fairfax Confirmed 4/22/2020    91     2256    12695     9145        3     5393    43384    13836
TAB:  US_Virginia_Fairfax Confirmed .            92     2362    12695     8207        3     3986    33534    14305
TAB:  US_Virginia_Fairfax Confirmed 4/24/2020    93     2534    12695     9614        3     4924    51826    13367
TAB:  US_Virginia_Fairfax Confirmed .            94     2745    12695     9145        5     8207    70118    15712
TAB:  US_Virginia_Fairfax Confirmed 4/26/2020    95     2889    12695     9614        5     8676    33534    14774
TAB:  US_Virginia_Fairfax Confirmed .            96     3002    12695     9610        4     5034    54155    13271
TAB:  US_Virginia_Fairfax Confirmed 4/28/2020    97     3278    12695    11021        4    10083    65897    16181
TAB:  US_Virginia_Fairfax Confirmed .            98     3448    12695    12898        4    10552    89348    17119
TAB:  US_Virginia_Fairfax Confirmed 4/30/2020    99     3611    12695    11021        4    11021    44322    17119
TAB:  US_Virginia_Fairfax Confirmed .           100     3897    12695    11490        4    11490    59331    18526
TAB:  US_Virginia_Fairfax Confirmed 5/2/2020    101     4046    12695    17119        4    11490    53233    17588
TAB:  US_Virginia_Fairfax Confirmed .           102     4340    12695    12429        4    12429    91224    20402
TAB:  US_Virginia_Fairfax Confirmed 5/4/2020    103     4615    12695    13367        3    12898    53233    19933
TAB:  US_Virginia_Fairfax Confirmed .           104     4834    12695    13836        5    13836    60269    22747
TAB:  US_Virginia_Fairfax Confirmed 5/6/2020    105     5016    12695    14305        4     7738    84189    23216
TAB:  US_Virginia_Fairfax Confirmed .           106     5045    12695    14029        2     5315    32502    18211
TAB:  US_Virginia_Fairfax Confirmed 5/8/2020    107     5338    12695    22052        3     6756    27696    18043
TAB:  US_Virginia_Fairfax Confirmed .           108     5610    12695    21115        3     8654    25823    18069
TAB:  US_Virginia_Fairfax Confirmed 5/10/2020   109     5892    12695    14774        5    11490    26968    18526
TAB:  US_Virginia_Fairfax Confirmed .           110     6200    12695    15243        4    15243    46198    20402
TAB:  US_Virginia_Fairfax Confirmed 5/12/2020   111     6470    12695    17119        5    15712    28844    21809
TAB:  US_Virginia_Fairfax Confirmed .           112     6666    12695    16181        5     9145    85596    22278
TAB:  US_Virginia_Fairfax Confirmed 5/14/2020   113     6951    12695    16650        6    10083    75277    23216
TAB:  US_Virginia_Fairfax Confirmed .           114     7159    12695    21340        5     9614    43384    21809
TAB:  US_Virginia_Fairfax Confirmed 5/16/2020   115     7386    12695    17119        6    10083    92162    21809
TAB:  US_Virginia_Fairfax Confirmed .           116     7643    12695    21173        4    11183    42237    21607
TAB:  US_Virginia_Fairfax Confirmed 5/18/2020   117     7843    12695    22416        4    11241    25343    20287
TAB:  US_Virginia_Fairfax Confirmed .           118     8020    12695    18420        5    10517    23648    19149
TAB:  US_Virginia_Fairfax Confirmed 5/20/2020   119     8163    12695    20324        6     8988    22500    18149
TAB:  US_Virginia_Fairfax Confirmed .           120     8580    12695    18057        9    12898    29313    19464
TAB:  US_Virginia_Fairfax Confirmed 5/22/2020   121     8734    12695    20402        9    12898    26030    18995
TAB:  US_Virginia_Fairfax Confirmed .           122     8945    12695    19933       10    13367    71056    18526
TAB:  US_Virginia_Fairfax Confirmed 5/24/2020   123     8989    12695    18889        6     9261    20773    17528
TAB:  US_Virginia_Fairfax Confirmed .           124     9482    12695    18057        9    14774    85596    19464
TAB:  US_Virginia_Fairfax Confirmed 5/26/2020   125     9839    12695    19933       14    17588    43384    19933
TAB:  US_Virginia_Fairfax Confirmed .           126    10069    12695    20402       15    18526    66835    20871
TAB:  US_Virginia_Fairfax Confirmed 5/28/2020   127    10503    12695    21340       16    18526    69649    22278
TAB:  US_Virginia_Fairfax Confirmed .           128    10738    12695    22747       10    18995    48074    24154
TAB:  US_Virginia_Fairfax Confirmed 5/30/2020   129    10906    12695    23216       10    12429    91224    24623
TAB:  US_Virginia_Fairfax Confirmed .           130    11110    12695    19933       10    11960    69649    24623
TAB:  US_Virginia_Fairfax Confirmed 6/1/2020    131    11219    12695    19933       11    11490    79967    23216
TAB:  US_Virginia_Fairfax Confirmed .           132    11426    12695    21838       11    12271    68012    23086
TAB:  US_Virginia_Fairfax Confirmed 6/3/2020    133    11596    12695    22242       10    12460    36216    22009
TAB:  US_Virginia_Fairfax Confirmed .           134    11815    12695    21809       21    12898    28375    21809
TAB:  US_Virginia_Fairfax Confirmed 6/5/2020    135    11904    12695    21542       16    13067    26628    20271
TAB:  US_Virginia_Fairfax Confirmed .           136    12056    12695    21189       13    12994    21405    17523
TAB:  US_Virginia_Fairfax Confirmed 6/7/2020    137    12455    12695    20871       23    14774    21340    18995
TAB:  US_Virginia_Fairfax Confirmed .           138    12603    12695    20871       22    15243    21340    18995
TAB:  US_Virginia_Fairfax Confirmed 6/9/2020    139    12695    12695    19933       19    15243    21340    18995
