TAB:  US_Pennsylvania_Lehigh Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Lehigh Deaths    .            38        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/1/2020     39        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            40        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/3/2020     41        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            42        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/5/2020     43        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            44        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/7/2020     45        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            46        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/9/2020     47        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            48        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/11/2020    49        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            50        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/13/2020    51        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            52        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/15/2020    53        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            54        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/17/2020    55        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            56        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/19/2020    57        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            58        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/21/2020    59        0      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            60        1      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/23/2020    61        1      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    .            62        1      253        0        0        0        0        0
TAB:  US_Pennsylvania_Lehigh Deaths    3/25/2020    63        1      253        0        0       71       71       71
TAB:  US_Pennsylvania_Lehigh Deaths    .            64        1      253        0        0       71      359      215
TAB:  US_Pennsylvania_Lehigh Deaths    3/27/2020    65        2      253        0        0      215      934      503
TAB:  US_Pennsylvania_Lehigh Deaths    .            66        3      253        0        0      215      790      503
TAB:  US_Pennsylvania_Lehigh Deaths    3/29/2020    67        3      253        0        0      359     1077      646
TAB:  US_Pennsylvania_Lehigh Deaths    .            68        3      253        3        1        3        9        5
TAB:  US_Pennsylvania_Lehigh Deaths    3/31/2020    69        4      253        4        2        4        7        6
TAB:  US_Pennsylvania_Lehigh Deaths    .            70        5      253        8        1        8       52       11
TAB:  US_Pennsylvania_Lehigh Deaths    4/2/2020     71        5      253        4        3        4       23       14
TAB:  US_Pennsylvania_Lehigh Deaths    .            72        5      253        6        3        6        9        9
TAB:  US_Pennsylvania_Lehigh Deaths    4/4/2020     73        7      253       14        1       14      294       32
TAB:  US_Pennsylvania_Lehigh Deaths    .            74        8      253       23        2       14      247       32
TAB:  US_Pennsylvania_Lehigh Deaths    4/6/2020     75        8      253       23        3        4      200       32
TAB:  US_Pennsylvania_Lehigh Deaths    .            76       10      253       23        3       23     1677       88
TAB:  US_Pennsylvania_Lehigh Deaths    4/8/2020     77       12      253       42        3       42      471       70
TAB:  US_Pennsylvania_Lehigh Deaths    .            78       13      253       51        2       32     1640       88
TAB:  US_Pennsylvania_Lehigh Deaths    4/10/2020    79       16      253       98        1       98      331      182
TAB:  US_Pennsylvania_Lehigh Deaths    .            80       16      253       60        1       60      266      107
TAB:  US_Pennsylvania_Lehigh Deaths    4/12/2020    81       18      253      107        2       23      761      107
TAB:  US_Pennsylvania_Lehigh Deaths    .            82       19      253       23        2       23      658      116
TAB:  US_Pennsylvania_Lehigh Deaths    4/14/2020    83       23      253      116        2       88     1144      228
TAB:  US_Pennsylvania_Lehigh Deaths    .            84       25      253      154        2      107     1023      303
TAB:  US_Pennsylvania_Lehigh Deaths    4/16/2020    85       28      253      154        1      154     1163      256
TAB:  US_Pennsylvania_Lehigh Deaths    .            86       29      253      163        2       42     1331      313
TAB:  US_Pennsylvania_Lehigh Deaths    4/18/2020    87       29      253       30        2       30      551      143
TAB:  US_Pennsylvania_Lehigh Deaths    .            88       32      253       73        2       38      348      125
TAB:  US_Pennsylvania_Lehigh Deaths    4/20/2020    89       33      253      149        2       38      219       73
TAB:  US_Pennsylvania_Lehigh Deaths    .            90       49      253      359        2      359     1593      509
TAB:  US_Pennsylvania_Lehigh Deaths    4/22/2020    91       49      253      453        1      453      640      518
TAB:  US_Pennsylvania_Lehigh Deaths    .            92       49      253      443        2      443     1780      612
TAB:  US_Pennsylvania_Lehigh Deaths    4/24/2020    93       49      253      387        2      387     1621      920
TAB:  US_Pennsylvania_Lehigh Deaths    .            94       50      253       48        2       48      823      433
TAB:  US_Pennsylvania_Lehigh Deaths    4/26/2020    95       51      253       51        2       51      552      355
TAB:  US_Pennsylvania_Lehigh Deaths    .            96       56      253      314        2      249      421      309
TAB:  US_Pennsylvania_Lehigh Deaths    4/28/2020    97       64      253      258        1      258      408      314
TAB:  US_Pennsylvania_Lehigh Deaths    .            98       72      253      415        2      154      490      359
TAB:  US_Pennsylvania_Lehigh Deaths    4/30/2020    99       74      253      163        2      163      752      369
TAB:  US_Pennsylvania_Lehigh Deaths    .           100       80      253      210        2       98      939      397
TAB:  US_Pennsylvania_Lehigh Deaths    5/2/2020    101       83      253      200        2       88     1200      406
TAB:  US_Pennsylvania_Lehigh Deaths    .           102       83      253       88        2       88      630      387
TAB:  US_Pennsylvania_Lehigh Deaths    5/4/2020    103       83      253      322        4       79      425      256
TAB:  US_Pennsylvania_Lehigh Deaths    .           104       94      253      331        4      144      415      331
TAB:  US_Pennsylvania_Lehigh Deaths    5/6/2020    105      102      253      247        3      247      481      387
TAB:  US_Pennsylvania_Lehigh Deaths    .           106      111      253      434        3      369      733      471
TAB:  US_Pennsylvania_Lehigh Deaths    5/8/2020    107      114      253      499        3      163      827      499
TAB:  US_Pennsylvania_Lehigh Deaths    .           108      120      253      415        2      135      892      546
TAB:  US_Pennsylvania_Lehigh Deaths    5/10/2020   109      121      253      499        3      126      855      490
TAB:  US_Pennsylvania_Lehigh Deaths    .           110      121      253      481        4      116      920      425
TAB:  US_Pennsylvania_Lehigh Deaths    5/12/2020   111      123      253      125        4      125      490      385
TAB:  US_Pennsylvania_Lehigh Deaths    .           112      129      253      399        4      140      441      367
TAB:  US_Pennsylvania_Lehigh Deaths    5/14/2020   113      133      253      369        5      144      406      285
TAB:  US_Pennsylvania_Lehigh Deaths    .           114      136      253      369        7      154      387      285
TAB:  US_Pennsylvania_Lehigh Deaths    5/16/2020   115      139      253      341       10      154     1060      266
TAB:  US_Pennsylvania_Lehigh Deaths    .           116      139      253      322        8      144      527      266
TAB:  US_Pennsylvania_Lehigh Deaths    5/18/2020   117      173      253      412        3      384      459      421
TAB:  US_Pennsylvania_Lehigh Deaths    .           118      182      253      485        4      435      658      518
TAB:  US_Pennsylvania_Lehigh Deaths    5/20/2020   119      188      253      537        4      200      827      649
TAB:  US_Pennsylvania_Lehigh Deaths    .           120      192      253      556        3      200     1471      696
TAB:  US_Pennsylvania_Lehigh Deaths    5/22/2020   121      197      253      518        3      200     1565      724
TAB:  US_Pennsylvania_Lehigh Deaths    .           122      202      253      527        4      210     1546      733
TAB:  US_Pennsylvania_Lehigh Deaths    5/24/2020   123      206      253      219        3      210     1425      733
TAB:  US_Pennsylvania_Lehigh Deaths    .           124      209      253      219        4      219     1780      752
TAB:  US_Pennsylvania_Lehigh Deaths    5/26/2020   125      210      253      215        6      215     1387      719
TAB:  US_Pennsylvania_Lehigh Deaths    .           126      215      253      236        3      222     1111      667
TAB:  US_Pennsylvania_Lehigh Deaths    5/28/2020   127      218      253      227        3      227      917      603
TAB:  US_Pennsylvania_Lehigh Deaths    .           128      222      253      546        5      228      920      612
TAB:  US_Pennsylvania_Lehigh Deaths    5/30/2020   129      228      253      537        6      247      780      556
TAB:  US_Pennsylvania_Lehigh Deaths    .           130      228      253      565        7      247      677      527
TAB:  US_Pennsylvania_Lehigh Deaths    6/1/2020    131      228      253      499        8      238      584      481
TAB:  US_Pennsylvania_Lehigh Deaths    .           132      235      253      490        8      247      527      471
TAB:  US_Pennsylvania_Lehigh Deaths    6/3/2020    133      239      253      481        9      256      490      443
TAB:  US_Pennsylvania_Lehigh Deaths    .           134      242      253      462       13      256     1341      397
TAB:  US_Pennsylvania_Lehigh Deaths    6/5/2020    135      245      253      453       12      256     1425      378
TAB:  US_Pennsylvania_Lehigh Deaths    .           136      248      253      440       14      256      554      375
TAB:  US_Pennsylvania_Lehigh Deaths    6/7/2020    137      248      253      424        8      257      428      328
TAB:  US_Pennsylvania_Lehigh Deaths    .           138      249      253      417        7      249      421      321
TAB:  US_Pennsylvania_Lehigh Deaths    6/9/2020    139      253      253      407        7      267      411      320
