TAB:  US_Michigan_Wayne Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Wayne Confirmed 2/28/2020    37        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            38        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/1/2020     39        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            40        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/3/2020     41        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            42        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/5/2020     43        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            44        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/7/2020     45        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            46        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/9/2020     47        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            48        0    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/11/2020    49        1    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            50        1    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/13/2020    51        2    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            52        6    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/15/2020    53        8    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            54       14    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/17/2020    55       14    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            56       23    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/19/2020    57       44    21533     1193        1     1193     3579     1988
TAB:  US_Michigan_Wayne Confirmed .            58       67    21533     4375        1     4375    29832    25855
TAB:  US_Michigan_Wayne Confirmed 3/21/2020    59      102    21533    16308        1    16308   156323   156323
TAB:  US_Michigan_Wayne Confirmed .            60      477    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/23/2020    61      638    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed .            62      876    21533        0        0        0        0        0
TAB:  US_Michigan_Wayne Confirmed 3/25/2020    63     1122    21533     1193        1     1193     1988     1988
TAB:  US_Michigan_Wayne Confirmed .            64     1389    21533     1988        2     1988     1988     1988
TAB:  US_Michigan_Wayne Confirmed 3/27/2020    65     1810    21533     2784        1     2784    43356    17899
TAB:  US_Michigan_Wayne Confirmed .            66     2316    21533     4375        1     4375    44948    10739
TAB:  US_Michigan_Wayne Confirmed 3/29/2020    67     2704    21533     4375        1     4375   154732    45743
TAB:  US_Michigan_Wayne Confirmed .            68     3195    21533     5171        2     5171   148368    21877
TAB:  US_Michigan_Wayne Confirmed 3/31/2020    69     3735    21533     6440        3     6440    45759    17286
TAB:  US_Michigan_Wayne Confirmed .            70     4470    21533     8049        2     8049    47343    20602
TAB:  US_Michigan_Wayne Confirmed 4/2/2020     71     5069    21533     9148        2     9148    36197    22672
TAB:  US_Michigan_Wayne Confirmed .            72     6096    21533    11535        2    11535    47334    23468
TAB:  US_Michigan_Wayne Confirmed 4/4/2020     73     6762    21533    13126        2    13126    97453    27446
TAB:  US_Michigan_Wayne Confirmed .            74     7518    21533    36381        2    13891    53139    21829
TAB:  US_Michigan_Wayne Confirmed 4/6/2020     75     8270    21533    32397        2    14762    36558    20310
TAB:  US_Michigan_Wayne Confirmed .            76     9045    21533    30025        2    14747    30025    19436
TAB:  US_Michigan_Wayne Confirmed 4/8/2020     77     9626    21533    17860        2    14302    26620    19640
TAB:  US_Michigan_Wayne Confirmed .            78    10093    21533    16885        2    12678    23375    17606
TAB:  US_Michigan_Wayne Confirmed 4/10/2020    79    10539    21533    16310        2    12327    20939    17064
TAB:  US_Michigan_Wayne Confirmed .            80    10951    21533    15989        3    12643    19531    16481
TAB:  US_Michigan_Wayne Confirmed 4/12/2020    81    11164    21533    15489        3    12307    17829    15489
TAB:  US_Michigan_Wayne Confirmed .            82    11648    21533    13353        4    13353    17310    15332
TAB:  US_Michigan_Wayne Confirmed 4/14/2020    83    12209    21533    14564        6    14165    20549    16160
TAB:  US_Michigan_Wayne Confirmed .            84    12544    21533    15513       12    14717    46539    17104
TAB:  US_Michigan_Wayne Confirmed 4/16/2020    85    12888    21533    15513       14    14717    29037    17104
TAB:  US_Michigan_Wayne Confirmed .            86    13233    21533    15598        5    14991    23610    16326
TAB:  US_Michigan_Wayne Confirmed 4/18/2020    87    13471    21533    15497        5    14906    18547    16284
TAB:  US_Michigan_Wayne Confirmed .            88    13692    21533    15822        7    14852    17496    15910
TAB:  US_Michigan_Wayne Confirmed 4/20/2020    89    13912    21533    15794        7    15032    16810    15964
TAB:  US_Michigan_Wayne Confirmed .            90    13912    21533    15663        9    14443    16151    15338
TAB:  US_Michigan_Wayne Confirmed 4/22/2020    91    14561    21533    15910       10    15910    17496    16439
TAB:  US_Michigan_Wayne Confirmed .            92    14994    21533    16308       19    16308    20286    18695
TAB:  US_Michigan_Wayne Confirmed 4/24/2020    93    15407    21533    17104       21    17104    24263    19490
TAB:  US_Michigan_Wayne Confirmed .            94    15577    21533    17104       20    17104    24263    20286
TAB:  US_Michigan_Wayne Confirmed 4/26/2020    95    15748    21533    17104       16    16308    24263    20286
TAB:  US_Michigan_Wayne Confirmed .            96    15872    21533    17104       15    16308    21877    18695
TAB:  US_Michigan_Wayne Confirmed 4/28/2020    97    16173    21533    17486        9    17310    32424    18892
TAB:  US_Michigan_Wayne Confirmed .            98    16494    21533    17625        8    17625    28561    19640
TAB:  US_Michigan_Wayne Confirmed 4/30/2020    99    16729    21533    17899       15    17899    26650    21877
TAB:  US_Michigan_Wayne Confirmed .           100    16970    21533    18695       11    17899    25855    21877
TAB:  US_Michigan_Wayne Confirmed 5/2/2020    101    17106    21533    18695       12    17899    24263    21081
TAB:  US_Michigan_Wayne Confirmed .           102    17298    21533    18369        8    18135    22917    20235
TAB:  US_Michigan_Wayne Confirmed 5/4/2020    103    17314    21533    18323        7    17779    21585    19519
TAB:  US_Michigan_Wayne Confirmed .           104    17391    21533    18336        7    17604    20739    19067
TAB:  US_Michigan_Wayne Confirmed 5/6/2020    105    17571    21533    18689        7    17972    20328    19099
TAB:  US_Michigan_Wayne Confirmed .           106    17667    21533    18695       23    17899    21081    19490
TAB:  US_Michigan_Wayne Confirmed 5/8/2020    107    17824    21533    18695       23    18695    20286    19490
TAB:  US_Michigan_Wayne Confirmed .           108    17960    21533    19490       22    18695    21081    19490
TAB:  US_Michigan_Wayne Confirmed 5/10/2020   109    18075    21533    19490       29    18695    21877    20286
TAB:  US_Michigan_Wayne Confirmed .           110    18194    21533    19490       34    18695    27446    21877
TAB:  US_Michigan_Wayne Confirmed 5/12/2020   111    18274    21533    19490       37    18695    22672    20286
TAB:  US_Michigan_Wayne Confirmed .           112    18389    21533    19657       13    18807    35171    19870
TAB:  US_Michigan_Wayne Confirmed 5/14/2020   113    18770    21533    20286       17    19490    21877    21081
TAB:  US_Michigan_Wayne Confirmed .           114    18882    21533    21081       12    19490    22672    21081
TAB:  US_Michigan_Wayne Confirmed 5/16/2020   115    19016    21533    21081       14    19490    29037    22672
TAB:  US_Michigan_Wayne Confirmed .           116    19065    21533    21081       15    19490    28241    22672
TAB:  US_Michigan_Wayne Confirmed 5/18/2020   117    19128    21533    21081       15    19490    64040    22672
TAB:  US_Michigan_Wayne Confirmed .           118    19292    21533    21081       16    19490    47334    22672
TAB:  US_Michigan_Wayne Confirmed 5/20/2020   119    19432    21533    21081       17    20286    42561    24263
TAB:  US_Michigan_Wayne Confirmed .           120    19538    21533    21081       12    20286    40174    26650
TAB:  US_Michigan_Wayne Confirmed 5/22/2020   121    19602    21533    21081       13    20286   118933    25855
TAB:  US_Michigan_Wayne Confirmed .           122    19697    21533    21511       14    20332    46263    23868
TAB:  US_Michigan_Wayne Confirmed 5/24/2020   123    19771    21533    21489        7    20072    29676    22591
TAB:  US_Michigan_Wayne Confirmed .           124    19816    21533    21583        8    20122    26364    22247
TAB:  US_Michigan_Wayne Confirmed 5/26/2020   125    19926    21533    21081       25    20286    25059    22672
TAB:  US_Michigan_Wayne Confirmed .           126    19999    21533    21081       27    21081    24263    22672
TAB:  US_Michigan_Wayne Confirmed 5/28/2020   127    20059    21533    21081       26    21081    36197    22672
TAB:  US_Michigan_Wayne Confirmed .           128    20227    21533    21877       22    21081    23468    22672
TAB:  US_Michigan_Wayne Confirmed 5/30/2020   129    20254    21533    21877       25    21081    23468    22672
TAB:  US_Michigan_Wayne Confirmed .           130    20415    21533    21877       24    21081    25855    23468
TAB:  US_Michigan_Wayne Confirmed 6/1/2020    131    20446    21533    21877       25    21081    25855    23468
TAB:  US_Michigan_Wayne Confirmed .           132    20468    21533    21877       27    20286    33810    22672
TAB:  US_Michigan_Wayne Confirmed 6/3/2020    133    20541    21533    22166       21    20951    48887    22773
TAB:  US_Michigan_Wayne Confirmed .           134    20590    21533    21920       16    20910    24574    22173
TAB:  US_Michigan_Wayne Confirmed 6/5/2020    135    21042    21533    21877       11    21877    25059    23468
TAB:  US_Michigan_Wayne Confirmed .           136    21163    21533    22672       12    21877    28241    24263
TAB:  US_Michigan_Wayne Confirmed 6/7/2020    137    21387    21533    23468        9    22672    37788    26650
TAB:  US_Michigan_Wayne Confirmed .           138    21455    21533    23468        8    21877    52903    26650
TAB:  US_Michigan_Wayne Confirmed 6/9/2020    139    21533    21533    23468        7    21877    75178    28241
