TAB:  US_Michigan_Macomb Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Macomb Confirmed 2/22/2020    31        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            32        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 2/24/2020    33        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            34        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 2/26/2020    35        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            36        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 2/28/2020    37        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            38        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/1/2020     39        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            40        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/3/2020     41        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            42        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/5/2020     43        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            44        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/7/2020     45        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            46        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/9/2020     47        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            48        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/11/2020    49        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            50        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/13/2020    51        0     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            52        1     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/15/2020    53        2     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            54        6     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/17/2020    55        8     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            56       10     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/19/2020    57       55     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed .            58       86     6997        0        0        0        0        0
TAB:  US_Michigan_Macomb Confirmed 3/21/2020    59      101     6997      129        1      129      129      129
TAB:  US_Michigan_Macomb Confirmed .            60      140     6997      129        2      129      646      646
TAB:  US_Michigan_Macomb Confirmed 3/23/2020    61      175     6997      243        1      243      362      279
TAB:  US_Michigan_Macomb Confirmed .            62      225     6997      334        1      334      599      444
TAB:  US_Michigan_Macomb Confirmed 3/25/2020    63      281     6997      387        2      387     3231      646
TAB:  US_Michigan_Macomb Confirmed .            64      347     6997      646        3      646     4782     3489
TAB:  US_Michigan_Macomb Confirmed 3/27/2020    65      404     6997      677        2      677     3222      841
TAB:  US_Michigan_Macomb Confirmed .            66      534     6997     1163        4     1163    26755    14088
TAB:  US_Michigan_Macomb Confirmed 3/29/2020    67      620     6997     1421        4     1163    19775    14605
TAB:  US_Michigan_Macomb Confirmed .            68      728     6997     1677        4     1480    35618    15096
TAB:  US_Michigan_Macomb Confirmed 3/31/2020    69      853     6997     1878        3     1764    19069    11783
TAB:  US_Michigan_Macomb Confirmed .            70     1088     6997     2714        4     2714    48211    30115
TAB:  US_Michigan_Macomb Confirmed 4/2/2020     71     1332     6997     3489        2     3489     4523     4006
TAB:  US_Michigan_Macomb Confirmed .            72     1560     6997     4523        2     4523     6074     5040
TAB:  US_Michigan_Macomb Confirmed 4/4/2020     73     1838     6997     6333        2     5299    16156     6333
TAB:  US_Michigan_Macomb Confirmed .            74     2003     6997     3231        1     3231    12537     6850
TAB:  US_Michigan_Macomb Confirmed 4/6/2020     75     2159     6997     2714        1     2714    27530     6850
TAB:  US_Michigan_Macomb Confirmed .            76     2414     6997     3811        2     3565    41433     8483
TAB:  US_Michigan_Macomb Confirmed 4/8/2020     77     2626     6997     4250        2     3952    26771     7382
TAB:  US_Michigan_Macomb Confirmed .            78     2783     6997     4178        2     4082    18873     6963
TAB:  US_Michigan_Macomb Confirmed 4/10/2020    79     2973     6997     4563        3     4204    13978     6576
TAB:  US_Michigan_Macomb Confirmed .            80     3164     6997     4527        2     4412    11103     6258
TAB:  US_Michigan_Macomb Confirmed 4/12/2020    81     3254     6997     4320        2     4037     8995     5690
TAB:  US_Michigan_Macomb Confirmed .            82     3418     6997     4450        2     4288     7742     5385
TAB:  US_Michigan_Macomb Confirmed 4/14/2020    83     3620     6997     5887        3     4698     7373     5404
TAB:  US_Michigan_Macomb Confirmed .            84     3792     6997     5040        6     5040    12278     6333
TAB:  US_Michigan_Macomb Confirmed 4/16/2020    85     3992     6997     6074        7     5299    32183     6591
TAB:  US_Michigan_Macomb Confirmed .            86     4145     6997     6074        7     5557    19517     6850
TAB:  US_Michigan_Macomb Confirmed 4/18/2020    87     4251     6997     5560        3     5031     9562     6149
TAB:  US_Michigan_Macomb Confirmed .            88     4360     6997     5608        3     4835     7079     5975
TAB:  US_Michigan_Macomb Confirmed 4/20/2020    89     4425     6997     6032        6     4653     6189     5719
TAB:  US_Michigan_Macomb Confirmed .            90     4544     6997     5852        5     4992     6036     5606
TAB:  US_Michigan_Macomb Confirmed 4/22/2020    91     4628     6997     5494        5     5070     6024     5671
TAB:  US_Michigan_Macomb Confirmed .            92     4862     6997     5770        5     5738     6346     6026
TAB:  US_Michigan_Macomb Confirmed 4/24/2020    93     5022     6997     6074        6     5966     7155     6326
TAB:  US_Michigan_Macomb Confirmed .            94     5139     6997     6333       12     6074    11244     7108
TAB:  US_Michigan_Macomb Confirmed 4/26/2020    95     5203     6997     6333       20     5557    19258     7367
TAB:  US_Michigan_Macomb Confirmed .            96     5245     6997     6333       20     5299    32183     7108
TAB:  US_Michigan_Macomb Confirmed 4/28/2020    97     5339     6997     6215        8     5550     7954     6573
TAB:  US_Michigan_Macomb Confirmed .            98     5430     6997     6271       13     5741     7294     6536
TAB:  US_Michigan_Macomb Confirmed 4/30/2020    99     5513     6997     6333       20     5816     7108     6591
TAB:  US_Michigan_Macomb Confirmed .           100     5623     6997     6333       21     6333     7108     6850
TAB:  US_Michigan_Macomb Confirmed 5/2/2020    101     5666     6997     6333       21     6333     6850     6591
TAB:  US_Michigan_Macomb Confirmed .           102     5701     6997     6406       14     5832     6725     6470
TAB:  US_Michigan_Macomb Confirmed 5/4/2020    103     5736     6997     6405       13     5773     6605     6205
TAB:  US_Michigan_Macomb Confirmed .           104     5789     6997     6407       11     5946     6506     6276
TAB:  US_Michigan_Macomb Confirmed 5/6/2020    105     5832     6997     6333       30     6074     6591     6333
TAB:  US_Michigan_Macomb Confirmed .           106     5876     6997     6333       38     6074     6591     6333
TAB:  US_Michigan_Macomb Confirmed 5/8/2020    107     5963     6997     6333       32     6333     6591     6591
TAB:  US_Michigan_Macomb Confirmed .           108     6019     6997     6333       22     6333     6850     6591
TAB:  US_Michigan_Macomb Confirmed 5/10/2020   109     6042     6997     6333       21     6333     9435     6850
TAB:  US_Michigan_Macomb Confirmed .           110     6064     6997     6333       21     6074     9435     6591
TAB:  US_Michigan_Macomb Confirmed 5/12/2020   111     6097     6997     6487       39     6189     7680     6487
TAB:  US_Michigan_Macomb Confirmed .           112     6137     6997     6449       20     6257     6793     6525
TAB:  US_Michigan_Macomb Confirmed 5/14/2020   113     6232     6997     6591       38     6333    13830     7108
TAB:  US_Michigan_Macomb Confirmed .           114     6274     6997     6591       28     6591    43299     7367
TAB:  US_Michigan_Macomb Confirmed 5/16/2020   115     6304     6997     6591       21     6591    16932    10210
TAB:  US_Michigan_Macomb Confirmed .           116     6345     6997     6591       20     6333    18483     7884
TAB:  US_Michigan_Macomb Confirmed 5/18/2020   117     6357     6997     6850       22     6333    10210     7625
TAB:  US_Michigan_Macomb Confirmed .           118     6367     6997     6655       14     6406     7816     7069
TAB:  US_Michigan_Macomb Confirmed 5/20/2020   119     6392     6997     6650       15     6461     7370     6840
TAB:  US_Michigan_Macomb Confirmed .           120     6420     6997     6644       17     6535     7154     6863
TAB:  US_Michigan_Macomb Confirmed 5/22/2020   121     6445     6997     6850       30     6591    11761     7108
TAB:  US_Michigan_Macomb Confirmed .           122     6482     6997     6850       33     6591     7367     7108
TAB:  US_Michigan_Macomb Confirmed 5/24/2020   123     6499     6997     6850       43     6591     7367     7108
TAB:  US_Michigan_Macomb Confirmed .           124     6516     6997     6850       52     6591    11761     7108
TAB:  US_Michigan_Macomb Confirmed 5/26/2020   125     6528     6997     6850       57     6591     9176     7108
TAB:  US_Michigan_Macomb Confirmed .           126     6558     6997     6761       44     6761     8463     7030
TAB:  US_Michigan_Macomb Confirmed 5/28/2020   127     6586     6997     6850       58     6850    13054     7625
TAB:  US_Michigan_Macomb Confirmed .           128     6616     6997     6850       54     6850    15122     8401
TAB:  US_Michigan_Macomb Confirmed 5/30/2020   129     6624     6997     6850       52     6850    13830     8659
TAB:  US_Michigan_Macomb Confirmed .           130     6695     6997     6850       36     6850     7367     7108
TAB:  US_Michigan_Macomb Confirmed 6/1/2020    131     6707     6997     6850       31     6850     7367     7108
TAB:  US_Michigan_Macomb Confirmed .           132     6720     6997     6850       30     6850     7625     7367
TAB:  US_Michigan_Macomb Confirmed 6/3/2020    133     6769     6997     6850       21     6850     7884     7367
TAB:  US_Michigan_Macomb Confirmed .           134     6790     6997     7108       20     6850    36061     7625
TAB:  US_Michigan_Macomb Confirmed 6/5/2020    135     6903     6997     7108       13     7108    13571     8142
TAB:  US_Michigan_Macomb Confirmed .           136     6940     6997     7108        6     7108    20034     8659
TAB:  US_Michigan_Macomb Confirmed 6/7/2020    137     6997     6997     7367        6     7108    50279     8659
TAB:  US_Michigan_Macomb Confirmed .           138     7007     6997     7367        5     7108    11244     8142
TAB:  US_Michigan_Macomb Confirmed 6/9/2020    139     6997     6997     7367        5     7108    11244     9176
