TAB:  US_New_York_Monroe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Monroe Confirmed 3/3/2020     41        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            42        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/5/2020     43        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            44        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/7/2020     45        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            46        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/9/2020     47        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            48        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/11/2020    49        0     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            50        2     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/13/2020    51        1     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            52        2     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/15/2020    53        2     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            54       11     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/17/2020    55       14     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed .            56       19     3243        0        0        0        0        0
TAB:  US_New_York_Monroe Confirmed 3/19/2020    57       30     3243       59        1       59       95       95
TAB:  US_New_York_Monroe Confirmed .            58       36     3243       58        2       58       78       78
TAB:  US_New_York_Monroe Confirmed 3/21/2020    59       46     3243       65        1       65      110       93
TAB:  US_New_York_Monroe Confirmed .            60       68     3243      179        1      179      299      299
TAB:  US_New_York_Monroe Confirmed 3/23/2020    61       81     3243      179        2      179     3414     2096
TAB:  US_New_York_Monroe Confirmed .            62      106     3243      299        3      299     4732     3893
TAB:  US_New_York_Monroe Confirmed 3/25/2020    63      118     3243      258        1      258     1002      391
TAB:  US_New_York_Monroe Confirmed .            64      148     3243      345        1      345     1124      472
TAB:  US_New_York_Monroe Confirmed 3/27/2020    65      166     3243      367        2      367      755      474
TAB:  US_New_York_Monroe Confirmed .            66      202     3243      461        2      461     1888      867
TAB:  US_New_York_Monroe Confirmed 3/29/2020    67      219     3243      560        2      478      967      695
TAB:  US_New_York_Monroe Confirmed .            68      246     3243      507        2      422      744      604
TAB:  US_New_York_Monroe Confirmed 3/31/2020    69      257     3243      490        2      325      610      490
TAB:  US_New_York_Monroe Confirmed .            70      349     3243      753        1      753     1347      816
TAB:  US_New_York_Monroe Confirmed 4/2/2020     71      420     3243     2349        2     1055     2673     1131
TAB:  US_New_York_Monroe Confirmed .            72      464     3243     1258        2     1258     5091     2935
TAB:  US_New_York_Monroe Confirmed 4/4/2020     73      512     3243     1497        3      658     5690     3055
TAB:  US_New_York_Monroe Confirmed .            74      548     3243     1497        2      658     7008     2935
TAB:  US_New_York_Monroe Confirmed 4/6/2020     75      574     3243      666        3      666     4343     1572
TAB:  US_New_York_Monroe Confirmed .            76      596     3243      669        3      649     2524     1473
TAB:  US_New_York_Monroe Confirmed 4/8/2020     77      651     3243     1988        2      814     2152     1445
TAB:  US_New_York_Monroe Confirmed .            78      698     3243     1812        2      918     1911     1424
TAB:  US_New_York_Monroe Confirmed 4/10/2020    79      742     3243     1737        7     1018     1737     1497
TAB:  US_New_York_Monroe Confirmed .            80      767     3243     1617        6     1018     1617     1377
TAB:  US_New_York_Monroe Confirmed 4/12/2020    81      798     3243     1456        2      902     1534     1347
TAB:  US_New_York_Monroe Confirmed .            82      823     3243     1348        3      932     1459     1289
TAB:  US_New_York_Monroe Confirmed 4/14/2020    83      850     3243     1038        2      967     1388     1203
TAB:  US_New_York_Monroe Confirmed .            84      884     3243     1258       10     1018     1377     1258
TAB:  US_New_York_Monroe Confirmed 4/16/2020    85      932     3243     1258        9     1138    16234     1377
TAB:  US_New_York_Monroe Confirmed .            86      975     3243     1377       13     1258     3055     1617
TAB:  US_New_York_Monroe Confirmed 4/18/2020    87     1008     3243     1377       16     1258     3774     1737
TAB:  US_New_York_Monroe Confirmed .            88     1032     3243     1377       18     1258     2935     1737
TAB:  US_New_York_Monroe Confirmed 4/20/2020    89     1054     3243     1377       19     1138     4492     1737
TAB:  US_New_York_Monroe Confirmed .            90     1070     3243     1345        4     1120     1765     1397
TAB:  US_New_York_Monroe Confirmed 4/22/2020    91     1112     3243     1383        6     1306     1884     1431
TAB:  US_New_York_Monroe Confirmed .            92     1152     3243     1432        7     1410     2156     1706
TAB:  US_New_York_Monroe Confirmed 4/24/2020    93     1199     3243     1497       18     1497     3055     2456
TAB:  US_New_York_Monroe Confirmed .            94     1285     3243     1617       14     1617     5930     2935
TAB:  US_New_York_Monroe Confirmed 4/26/2020    95     1316     3243     1737       11     1617    10243     3294
TAB:  US_New_York_Monroe Confirmed .            96     1331     3243     1737        9     1377     8806     2935
TAB:  US_New_York_Monroe Confirmed 4/28/2020    97     1371     3243     1737       10     1497     7967     3055
TAB:  US_New_York_Monroe Confirmed .            98     1404     3243     1857        8     1497    15275     3414
TAB:  US_New_York_Monroe Confirmed 4/30/2020    99     1441     3243     1857       10     1617    16354     3893
TAB:  US_New_York_Monroe Confirmed .           100     1478     3243     1857        7     1737    10243     3534
TAB:  US_New_York_Monroe Confirmed 5/2/2020    101     1534     3243     1976        8     1857     9884     3774
TAB:  US_New_York_Monroe Confirmed .           102     1566     3243     1976        7     1857     8326     3774
TAB:  US_New_York_Monroe Confirmed 5/4/2020    103     1595     3243     1976        9     1976     6889     4013
TAB:  US_New_York_Monroe Confirmed .           104     1623     3243     2096        8     1737    13119     3654
TAB:  US_New_York_Monroe Confirmed 5/6/2020    105     1655     3243     2245        6     1836     4810     3469
TAB:  US_New_York_Monroe Confirmed .           106     1688     3243     2096        8     1976     4373     3414
TAB:  US_New_York_Monroe Confirmed 5/8/2020    107     1735     3243     2096        7     2096     4972     3055
TAB:  US_New_York_Monroe Confirmed .           108     1775     3243     2216        7     2096     7008     3294
TAB:  US_New_York_Monroe Confirmed 5/10/2020   109     1821     3243     2216        5     2096    10243     3534
TAB:  US_New_York_Monroe Confirmed .           110     1850     3243     2216        6     2216     8925     3654
TAB:  US_New_York_Monroe Confirmed 5/12/2020   111     1890     3243     2336        7     2216     8686     3654
TAB:  US_New_York_Monroe Confirmed .           112     1959     3243     2336        6     2336    21026     3893
TAB:  US_New_York_Monroe Confirmed 5/14/2020   113     2019     3243     2456        5     2336     5810     4253
TAB:  US_New_York_Monroe Confirmed .           114     2091     3243     2575        4     2456    11082     5331
TAB:  US_New_York_Monroe Confirmed 5/16/2020   115     2192     3243     2695        3     2695    23542     7847
TAB:  US_New_York_Monroe Confirmed .           116     2258     3243     2815        2     2815    13598     8446
TAB:  US_New_York_Monroe Confirmed 5/18/2020   117     2303     3243     2935        1     2935    18870     8206
TAB:  US_New_York_Monroe Confirmed .           118     2376     3243     3893        2     2815    23542     9644
TAB:  US_New_York_Monroe Confirmed 5/20/2020   119     2465     3243     4013        2     4013    20068     9165
TAB:  US_New_York_Monroe Confirmed .           120     2530     3243     4253        1     4253    19828    10603
TAB:  US_New_York_Monroe Confirmed 5/22/2020   121     2601     3243     4732        2     4612    17072    10842
TAB:  US_New_York_Monroe Confirmed .           122     2661     3243     3294        1     3294    19828     5331
TAB:  US_New_York_Monroe Confirmed 5/24/2020   123     2697     3243     5211        2     2935    21505     4373
TAB:  US_New_York_Monroe Confirmed .           124     2733     3243     2935        3     2935    21865     5091
TAB:  US_New_York_Monroe Confirmed 5/26/2020   125     2762     3243     2935        4     2815    21266     5091
TAB:  US_New_York_Monroe Confirmed .           126     2791     3243     2935        6     2935    20068     4852
TAB:  US_New_York_Monroe Confirmed 5/28/2020   127     2824     3243     2935        5     2935    21505     5331
TAB:  US_New_York_Monroe Confirmed .           128     2860     3243     3055        7     3055    21865     5331
TAB:  US_New_York_Monroe Confirmed 5/30/2020   129     2909     3243     3174        6     3174    23303     5571
TAB:  US_New_York_Monroe Confirmed .           130     2942     3243     3294        7     3174    22823     5690
TAB:  US_New_York_Monroe Confirmed 6/1/2020    131     2964     3243     3294       10     3294    23782    11082
TAB:  US_New_York_Monroe Confirmed .           132     2989     3243     3294       10     3055    21026     7727
TAB:  US_New_York_Monroe Confirmed 6/3/2020    133     3048     3243     3414        8     3294    14556     8925
TAB:  US_New_York_Monroe Confirmed .           134     3081     3243     3534        6     3414    12400     6889
TAB:  US_New_York_Monroe Confirmed 6/5/2020    135     3117     3243     3534       10     3534    10962     5930
TAB:  US_New_York_Monroe Confirmed .           136     3167     3243     3654        5     3534    16354     6050
TAB:  US_New_York_Monroe Confirmed 6/7/2020    137     3190     3243     3654        7     3534    13358     5571
TAB:  US_New_York_Monroe Confirmed .           138     3203     3243     3654        7     3294    21865     5571
TAB:  US_New_York_Monroe Confirmed 6/9/2020    139     3243     3243     3744        4     3467    10013     4965
