TAB:  US_Michigan_Macomb Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Macomb Deaths    2/28/2020    37        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            38        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/1/2020     39        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            40        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/3/2020     41        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            42        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/5/2020     43        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            44        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/7/2020     45        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            46        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/9/2020     47        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            48        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/11/2020    49        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            50        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/13/2020    51        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            52        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/15/2020    53        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            54        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/17/2020    55        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            56        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/19/2020    57        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            58        0      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    3/21/2020    59        0      873        0        0      129      129      129
TAB:  US_Michigan_Macomb Deaths    .            60        1      873        0        0      129      646      646
TAB:  US_Michigan_Macomb Deaths    3/23/2020    61        2      873        0        0      243      362      279
TAB:  US_Michigan_Macomb Deaths    .            62        3      873        0        0      334      599      444
TAB:  US_Michigan_Macomb Deaths    3/25/2020    63        7      873        0        0      387     3231      646
TAB:  US_Michigan_Macomb Deaths    .            64       11      873        0        0      646     4782     3489
TAB:  US_Michigan_Macomb Deaths    3/27/2020    65       14      873        0        0      677     3222      841
TAB:  US_Michigan_Macomb Deaths    .            66       17      873       25        1       25       25       25
TAB:  US_Michigan_Macomb Deaths    3/29/2020    67       20      873       27        1       27       27       27
TAB:  US_Michigan_Macomb Deaths    .            68       27      873        0        0     1480    35618    15096
TAB:  US_Michigan_Macomb Deaths    3/31/2020    69       38      873        0        0     1764    19069    11783
TAB:  US_Michigan_Macomb Deaths    .            70       51      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    4/2/2020     71       58      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    .            72       65      873       94        1       94      214      128
TAB:  US_Michigan_Macomb Deaths    4/4/2020     73       78      873      133        1      133      232      172
TAB:  US_Michigan_Macomb Deaths    .            74       83      873      119        1      119      186      139
TAB:  US_Michigan_Macomb Deaths    4/6/2020     75      100      873      241        2      209      241      241
TAB:  US_Michigan_Macomb Deaths    .            76      121      873      306        1      306      467      370
TAB:  US_Michigan_Macomb Deaths    4/8/2020     77      141      873      370        1      370      693      564
TAB:  US_Michigan_Macomb Deaths    .            78      165      873      467        1      467     1080      886
TAB:  US_Michigan_Macomb Deaths    4/10/2020    79      197      873      628        1      628     1951     1693
TAB:  US_Michigan_Macomb Deaths    .            80      209      873      532        1      532     2047     1564
TAB:  US_Michigan_Macomb Deaths    4/12/2020    81      217      873      241        1      241     1467      725
TAB:  US_Michigan_Macomb Deaths    .            82      240      873      323        1      323     1229      711
TAB:  US_Michigan_Macomb Deaths    4/14/2020    83      293      873     1435        2      790     3950     1435
TAB:  US_Michigan_Macomb Deaths    .            84      330      873      951        1      951     4015     1918
TAB:  US_Michigan_Macomb Deaths    4/16/2020    85      354      873     1918        2     1015     5659     2015
TAB:  US_Michigan_Macomb Deaths    .            86      373      873     1789        2      435     5176     1822
TAB:  US_Michigan_Macomb Deaths    4/18/2020    87      384      873      400        1      400     1851     1113
TAB:  US_Michigan_Macomb Deaths    .            88      391      873      404        3      404     1357     1002
TAB:  US_Michigan_Macomb Deaths    4/20/2020    89      403      873      892        2      418     1100      892
TAB:  US_Michigan_Macomb Deaths    .            90      445      873      663        1      663     1026      924
TAB:  US_Michigan_Macomb Deaths    4/22/2020    91      473      873      716        2      716      995      881
TAB:  US_Michigan_Macomb Deaths    .            92      493      873      757        3      725      983      886
TAB:  US_Michigan_Macomb Deaths    4/24/2020    93      504      873      737        3      546      923      814
TAB:  US_Michigan_Macomb Deaths    .            94      517      873      719        2      537      883      737
TAB:  US_Michigan_Macomb Deaths    4/26/2020    95      520      873      686        2      532      840      707
TAB:  US_Michigan_Macomb Deaths    .            96      527      873      538        2      534      806      693
TAB:  US_Michigan_Macomb Deaths    4/28/2020    97      572      873      721        4      721      811      766
TAB:  US_Michigan_Macomb Deaths    .            98      597      873      773        3      764      831      806
TAB:  US_Michigan_Macomb Deaths    4/30/2020    99      603      873      790        8      790      822      822
TAB:  US_Michigan_Macomb Deaths    .           100      614      873      821        4      627      832      796
TAB:  US_Michigan_Macomb Deaths    5/2/2020    101      625      873      788        4      648      830      797
TAB:  US_Michigan_Macomb Deaths    .           102      628      873      772        7      641      811      789
TAB:  US_Michigan_Macomb Deaths    5/4/2020    103      643      873      790       17      661      822      757
TAB:  US_Michigan_Macomb Deaths    .           104      647      873      768        8      673      805      777
TAB:  US_Michigan_Macomb Deaths    5/6/2020    105      662      873      790       11      693      790      757
TAB:  US_Michigan_Macomb Deaths    .           106      678      873      790       20      757      790      790
TAB:  US_Michigan_Macomb Deaths    5/8/2020    107      682      873      790       20      757     1822     1015
TAB:  US_Michigan_Macomb Deaths    .           108      697      873      790       21      790     2531     1273
TAB:  US_Michigan_Macomb Deaths    5/10/2020   109      698      873      790       26      790     1531     1048
TAB:  US_Michigan_Macomb Deaths    .           110      699      873      790       12      702      911      782
TAB:  US_Michigan_Macomb Deaths    5/12/2020   111      710      873      788       12      744      855      788
TAB:  US_Michigan_Macomb Deaths    .           112      717      873      789       16      758      869      789
TAB:  US_Michigan_Macomb Deaths    5/14/2020   113      728      873      790       31      790      919      854
TAB:  US_Michigan_Macomb Deaths    .           114      729      873      790       32      790     5401     1112
TAB:  US_Michigan_Macomb Deaths    5/16/2020   115      739      873      790       30      790     1596      886
TAB:  US_Michigan_Macomb Deaths    .           116      740      873      800       25      766     1025      833
TAB:  US_Michigan_Macomb Deaths    5/18/2020   117      740      873      798       29      743      831      798
TAB:  US_Michigan_Macomb Deaths    .           118      753      873      790       30      790     1660      886
TAB:  US_Michigan_Macomb Deaths    5/20/2020   119      763      873      790       18      790     1370      951
TAB:  US_Michigan_Macomb Deaths    .           120      772      873      822       24      822     1144      919
TAB:  US_Michigan_Macomb Deaths    5/22/2020   121      776      873      822       23      822     1209      951
TAB:  US_Michigan_Macomb Deaths    .           122      778      873      822       23      790     2660      951
TAB:  US_Michigan_Macomb Deaths    5/24/2020   123      778      873      822       23      790     1822     1015
TAB:  US_Michigan_Macomb Deaths    .           124      778      873      822       15      781     1021      880
TAB:  US_Michigan_Macomb Deaths    5/26/2020   125      779      873      821       16      780      909      835
TAB:  US_Michigan_Macomb Deaths    .           126      784      873      821       19      786      865      830
TAB:  US_Michigan_Macomb Deaths    5/28/2020   127      787      873      822       35      790      854      822
TAB:  US_Michigan_Macomb Deaths    .           128      793      873      822       45      822      886      854
TAB:  US_Michigan_Macomb Deaths    5/30/2020   129      802      873      822       22      822      951      886
TAB:  US_Michigan_Macomb Deaths    .           130      810      873      822       16      822      951      886
TAB:  US_Michigan_Macomb Deaths    6/1/2020    131      814      873      822       11      822     1015      919
TAB:  US_Michigan_Macomb Deaths    .           132      818      873      854       16      822     1080      951
TAB:  US_Michigan_Macomb Deaths    6/3/2020    133      826      873      854       14      854     1338     1048
TAB:  US_Michigan_Macomb Deaths    .           134      828      873      854       14      854     1402     1048
TAB:  US_Michigan_Macomb Deaths    6/5/2020    135      866      873     1273        1     1273     5821     1983
TAB:  US_Michigan_Macomb Deaths    .           136      870      873        0        0        0        0        0
TAB:  US_Michigan_Macomb Deaths    6/7/2020    137      870      873      886        1      886     1951     1951
TAB:  US_Michigan_Macomb Deaths    .           138      870      873      886        1      886     2015     1564
TAB:  US_Michigan_Macomb Deaths    6/9/2020    139      873      873     1273        1     1273     2015     1467
